,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f559,-0.067567568,-1,-1,-1,-0.941933399,-1,-0.095884518,-0.860635303,-1,-0.89428567
f560,0.037245049,0.191545965,0.219923145,-0.849246231,-0.750924418,0.399940881,0.280841931,-0.0823572,-0.752882057,0.401598014
f561,0.067191372,0.179128407,0.207112666,-0.849293106,-0.669490758,0.384637808,-0.396158028,-0.656034795,-0.743186124,-0.652229069
f562,0.567164179,1,1,0.059701493,-0.466037564,0.865671642,0.52567469,0.405944566,-0.447761194,0.595514223
f563,0.978378378,1,1,-1,-0.800652155,0.091891892,-0.746012162,-0.737728034,-0.924324324,-0.74530713
f564,-0.442724458,-0.157894737,-0.157894737,0.547987616,-0.828632151,0.715170279,0.384310368,-0.069406269,-0.19504644,0.529971913
f565,0.233333333,0.233333333,0.233333333,0.033333333,-0.639184262,-0.6,-0.381740848,-0.662160109,-0.166666667,-0.660033419
f566,0.479713604,0.708830549,0.708830549,0.341288783,-0.681986657,0.861575179,0.166296022,-0.043241908,-0.22673031,0.238448233
f567,-0.966751814,-0.965637848,-0.965637848,-0.999631197,-0.241597242,-0.962370012,-0.057742028,-0.081681509,-0.997844619,-0.13147563
f568,0.191247601,0.415316699,0.415316699,0.745451056,-0.38527161,0.54806142,-0.112952668,-0.39828127,-0.382648752,-0.146764163
f569,-0.916983759,-0.915545244,-0.915545244,-0.778143852,-0.377063283,-0.923851508,-0.112952668,-0.39828127,-0.837215777,-0.146764163
f570,1,1,1,-1,-0.368926645,1,-0.112952668,-0.39828127,-1,-0.146764163
f571,-1,-1,-1,-0.75667562,-0.360718318,-1,-0.112952668,-0.39828127,0.397377153,-0.146764163
f572,-1,-1,-1,-1,-0.351936484,-1,-0.112952668,-0.39828127,-1,-0.146764163
f573,-0.489413293,-1,-1,-1,-0.34315465,-1,-0.112952668,-0.39828127,-1,-0.146764163
f574,0.291222152,0.642645302,0.642645302,0.397821351,-0.333297489,0.795600534,-0.112952668,-0.39828127,-0.533516059,-0.146764163
f575,0.4398319,0.613316698,0.613316698,0.326259111,-0.325770203,0.756228249,-0.112952668,-0.39828127,-0.448000525,-0.146764163
f576,-0.150023738,-0.129134357,0.113467321,-0.120430448,-0.318422137,0.358284539,-0.112952668,-0.39828127,-0.415413831,-0.146764163
f577,0.648523067,-0.131098573,-0.123464985,-0.461666114,-0.309461082,-0.12313309,-0.112952668,-0.39828127,-0.632260206,-0.146764163
f578,0.945741325,0.95488959,0.96214511,-0.488328076,-0.303044967,0.962460568,-0.112952668,-0.39828127,-0.642902208,-0.146764163
f579,-0.99399463,-0.993917625,-0.994614722,-0.997602715,-0.298600283,-0.994614722,-0.112952668,-0.39828127,-0.999835858,-0.146764163
f580,0.800630631,0.556936937,0.438918919,-0.786846847,0.847370417,0.438918919,0.469223443,0.171590739,-0.985405405,0.704142205
f581,-0.546610869,-0.625351027,-0.703760806,-0.816419801,0.940385256,-0.862452508,0.529387857,0.33784301,-1,0.628481834
f582,-0.13114127,-0.0893524,-0.005628928,0.136351216,0.712889856,0.314545951,0.469323057,0.119737603,-0.308461609,0.930451114
f583,0.19971537,0.201357466,0.20256167,0.238760765,0.588468956,0.349328565,0.464159211,0.13382454,-0.612100423,0.561866902
f584,0.203687766,0.213144592,0.245155355,0.321660682,0.573142812,0.470101196,0.189783416,0.306538078,-0.414151606,0.520085081
f585,-0.75399754,-0.75399754,-0.75399754,-0.20295203,0.493140188,-0.75399754,0.690862753,0.359366406,-1,0.748025958
f586,-0.139896373,-0.139896373,0.170984456,0.450777202,0.60420718,0.378238342,0.25674778,-0.41880359,-0.243523316,0.898196306
f587,0.463192182,0.463192182,0.463192182,0.990618893,0.861304054,0.348534202,0.880584892,0.179025355,-0.683387622,0.935086672
f588,0.121857923,0.121857923,0.28579235,0.776939891,0.300441812,0.346994536,-0.087158315,-0.733756864,-0.468306011,1
f589,-0.826086957,-0.826086957,-0.826086957,-0.739130435,0.410453638,-0.826086957,0.055835691,-0.316207945,-1,0.217387828
f590,-0.090909091,-0.090909091,0.272727273,0.272727273,0.858630449,0.636363636,0.562422493,0.322736989,-0.636363636,0.695235889
f591,-0.545454545,-0.545454545,-0.545454545,-0.545454545,0.549676831,-0.636363636,0.651340573,0.457674897,-0.727272727,0.752748443
f592,-0.441860465,-0.441860465,-0.348837209,-0.302325581,0.879132922,-0.302325581,0.364231684,0.132856538,-0.76744186,0.487450886
f593,0.203687766,0.213144592,0.245155355,0.321660682,0.641846669,0.470101196,0.298372376,0.127042031,-0.414151606,0.375874658
f594,0.394460297,0.405438856,0.442500086,0.155980335,-0.083244772,0.442500086,-0.273152138,-0.433242262,-0.4357846,-0.256378501
f595,0.203390166,0.212864433,0.244847502,0.321333914,0.187367053,0.469737727,0.614214885,0.736348958,-0.414296452,0.771989692
f596,0.31795129,0.381374352,0.538204314,0.138828513,0.2902178,0.633394639,0.688897143,0.680067587,0.260101432,0.88453465
f597,-0.686255516,-0.688479891,-0.672568435,-0.583414057,-0.567346939,-0.66182327,-0.069387755,-0.069387755,-0.767499013,-0.069387755
f598,-0.869101459,-0.863071366,-0.848963222,-0.704297864,-0.472329472,-0.86295759,0.160875161,0.160875161,-0.878715476,0.160875161
f599,-0.704587156,-0.697247706,-0.601834862,-0.546788991,-0.999562606,-0.588990826,-0.998744222,-0.998637105,-0.688073394,-0.998863602
f600,0.011974856,0.046448787,0.07841966,0.825013511,-0.999275159,0.126660409,-0.984186292,-0.972081411,-0.733481241,-0.982453635
f601,-0.236156205,-0.234352453,-0.231060606,0.191558442,-0.999132414,-0.224499459,-0.999697414,-0.999755089,-0.594990079,-0.999686548
f602,0.593827043,0.613993726,0.633197072,0.872421333,-0.414217153,0.728009633,-0.707294617,-0.639608998,-0.716741135,-0.723109433
f603,-0.178493841,-0.176995602,-0.17491947,0.2895562,-0.867978419,-0.164217758,-0.804577395,-0.809046828,-0.569705596,-0.815981599
f604,0.664698059,0.693775701,0.745256427,0.91367003,-0.869456183,0.794479763,-0.8242653,-0.792280857,-0.661049626,-0.834028482
f605,-1,-1,-1,-1,-0.720124731,-1,-0.115723132,0.130845517,-0.980857143,-0.11894443
f606,-1,-1,-1,0.311850753,-0.677570607,-1,-0.401918059,-0.362731258,-0.487488395,-0.317093938
f607,-1,-1,-1,-1,-0.915710855,-1,-0.714579538,-0.64038034,-0.712603062,-0.709803469
f608,0.866344034,0.920943116,1,0.773576774,-0.900645804,0.94756477,-0.828505281,-0.819017533,-0.379540384,-0.820540205
f609,-1,-0.906773489,-0.920833465,-1,-0.677015833,-0.925773457,-0.463220373,-0.470039676,-0.970296716,-0.485912306
f610,-1,-1,-1,-1,-0.473261111,-1,-0.408369466,-0.283962471,-0.996245776,-0.379797965
f611,-0.669613431,-0.659255184,-0.70200079,-0.737600523,-0.977472773,-0.685983579,-0.937430742,-0.924075564,-0.690744952,-0.933862419
f612,-0.669789146,-0.659436408,-0.652031952,-0.737917542,-0.686861419,-0.629994959,-0.388229438,-0.307840599,-0.690909427,-0.355380873
f613,0.923197913,0.965841067,-0.214603592,0.827604711,-0.776709615,0.996049332,-0.627854055,-0.582844923,-0.390329654,-0.625117477
f614,0.876876402,0.918492467,1,0.783585627,-0.937870263,0.947973147,-0.822363812,-0.749734496,-0.380273678,-0.790967624
f615,0.88900875,0.881817092,-0.26429342,0.370250509,0.137122473,0.968116984,-0.011216427,0.200729887,-0.484597866,0.021031665
f616,0.88900875,0.881817092,0.934316193,0.370250509,-0.301903897,0.968116984,-0.321783139,-0.203276869,-0.460625674,-0.319343911
f617,0.52238806,0.462686567,0.373134328,0.611940299,-0.859389483,0.52238806,-0.684079821,-0.641735626,-0.28358209,-0.665928458
f618,0.47826087,0.420289855,0.420289855,0.565217391,-0.586930916,0.47826087,-0.651970369,-0.462961018,-0.246376812,-0.643146896
f619,-0.449854245,-0.63251256,-0.656701606,0.861936364,-0.400555744,-0.599981393,-0.411958655,-0.306590996,-0.623798301,-0.414791615
f620,-0.735619012,-0.804449275,-0.756624883,-0.859078719,-0.178227138,-0.758170197,-0.645854232,-0.590996536,-0.870330683,-0.657224924
f621,-0.04795868,-0.113337969,-0.036903637,1,-0.204194978,-0.020344846,-0.678531032,-0.643357594,-0.331871215,-0.684680518
f622,0.456748018,0.175289742,0.355056281,1,-0.73979204,0.372956527,-0.878707997,-0.855345152,-0.144136228,-0.888818714
f623,0.956774196,0.946115548,0.995312559,0.719919089,0.162113892,0.93853963,-0.445965592,-0.320960256,-0.392026283,-0.466134949
f624,-0.93774344,-0.935972382,-0.934175656,-0.882134767,-0.637423823,-0.932956449,-0.760856408,-0.740771392,-0.956557729,-0.762008511
f625,0.35086251,0.372155431,0.441945455,0.509050652,-0.888597357,0.493442033,-0.906577104,-0.901140621,0.138691553,-0.90702718
f626,-0.782696177,-0.782696177,-0.782696177,-0.014084507,-0.464262239,-0.798792757,-0.721041559,-0.665356835,-0.85110664,-0.722385475
f627,-0.994633274,-0.994633274,-0.994633274,0.987477639,0.248952507,-0.994633274,-0.247926805,-0.194016294,-0.85509839,-0.251550008
f628,0.205039526,0.247035573,0.282608696,-0.330039526,-0.562650059,0.328063241,-0.716530148,-0.700257838,0.462450593,-0.717895797
f629,-0.255849749,-0.229505528,-0.209969364,-0.293137182,-0.783132295,-0.196057247,-0.704371934,-0.723633449,-0.489472672,-0.692757673
f630,-0.10073866,-0.068880043,-0.044963518,0.696059775,-0.051293866,-0.016624692,-0.14307255,-0.155245633,0.027853727,-0.102121129
f631,-0.308380768,-0.288705762,-0.268745611,1,-0.099038057,-0.255201223,-0.439524846,-0.48872685,0.054262383,-0.405521572
f632,0.6,0.6,0.6,-0.090909091,-0.751761944,0.127272727,-0.824684654,-0.82559321,-1,-0.826074946
f633,-0.834856917,-0.837953424,-0.842435366,-0.888869153,-0.947129662,-0.862277482,-0.78578919,-0.786194231,-0.989928952,-0.77614786
f634,0.971211329,1,0.984109236,0.298359026,-0.445265359,0.678060294,-0.697194139,-0.721262729,-0.90315362,-0.698652942
f635,0.807166591,0.832954676,0.818844072,0.240841701,-0.0416371,0.550938057,-0.449448174,-0.502470762,-0.904658924,-0.430312254
f636,-0.998150211,-1,-1,-0.996019211,0.293950601,-0.849397533,-0.513272618,-0.554783663,-1,-0.469537823
f637,-0.771374911,-0.748330456,-0.777773099,-0.494719146,0.32427469,-0.769613097,-0.129101602,-0.224630213,-1,-0.0633272
f638,-0.281507534,-0.280989817,-0.37402973,-0.108516657,-0.529367954,-0.501125301,0.204206183,0.275936488,-0.863795147,0.596990526
f639,-0.448686711,-0.440708755,-0.475295344,0.000463588,-0.353039326,-0.540395832,-0.539986089,-0.480139634,-0.917797922,-0.479258097
f640,-0.44875125,-0.440708755,-0.475295344,0.000602478,-0.910085342,-0.545650335,-0.786192182,-0.793925167,-0.917797922,-0.836896525
f641,-0.217797779,-0.217797779,-0.601148537,-0.984772035,-0.6086606,-0.601148537,-0.27006894,-0.242669688,-1,-0.332657868
f642,-0.907715556,-0.907715556,-0.907715556,-0.970196012,-0.231769933,-0.907715556,0.045237419,-0.216789567,-0.975236498,0.078544329
f643,-0.85645933,-0.779904306,-0.779904306,-0.76076555,-0.467673052,-0.770334928,-0.224223778,-0.432488577,-0.741626794,-0.157810927
f644,0.652447162,0.69525987,0.724120697,-0.172202579,-0.585864623,0.829578626,-0.621032573,-0.694773922,-0.645875316,-0.569675835
f645,0.669040962,0.770485587,0.837131132,-0.296998961,-0.224934627,0.904438855,-0.146153351,-0.272852498,-0.70104373,-0.116786123
f646,0.660114218,0.76346894,0.832097115,-0.305323899,-0.022648067,0.900338854,-0.311812267,-0.354118513,-0.705165961,-0.223738306
f647,-0.2325131,-0.107059356,-0.162640292,-0.620757193,-0.378511302,-0.138495617,-0.15145766,-0.357419067,-0.966925019,-0.139707722
f648,-0.810780889,-0.832121107,-0.845295106,-0.817875339,-0.455055976,-0.793068413,-0.396733045,-0.406471883,-0.815917609,-0.381895591
f649,-1,-1,-1,-1,-0.681458901,-1,-0.587309817,-0.563619746,-1,-0.589298007
f650,-0.910433931,-0.902777736,-0.897386112,-0.97152295,-0.455555556,-0.891449809,-0.321421161,-0.344277879,-0.98384597,-0.31035788
f651,-0.290129774,-0.254398388,-0.213884082,-0.765292277,-0.956339615,-0.174539032,-0.961338306,-0.960476241,-0.883776698,-0.962137718
f652,-0.276540915,-0.236337085,-0.199383781,-0.755323848,-0.907843271,-0.160088165,-0.848042878,-0.83549421,-0.885591621,-0.830771966
f653,0.623743589,0.782260386,0.841637742,-0.411786736,-0.654301287,0.893566056,-0.596506448,-0.590992199,-0.414985325,-0.598450327
f654,0.510633947,0.510633947,0.510633947,-0.975691616,-0.903617343,1,-0.946110185,-0.947007414,-0.97998773,-0.945055896
f655,-0.942289655,-0.870068966,-0.822068966,-0.985737931,-0.744740112,-0.756441379,-0.787751908,-0.781416949,-0.911544828,-0.787018158
f656,-0.88934884,-0.889448488,-0.883353332,-0.92949881,-0.890859818,-0.882788658,-0.777190995,-0.764400864,-0.975660897,-0.778264404
f657,-0.8647274,-0.864245766,-0.850311609,-0.708636603,-0.326820304,-0.834035716,-0.425902463,-0.422383303,-0.95220202,-0.421478594
f658,-1,-1,-1,0.8674,-0.935553579,-1,-0.968133935,-0.967092788,0.7566,-0.968287453
f659,-1,-1,-1,0.4174,-0.742793791,-1,-0.778196908,-0.765464516,0.6902,-0.77926547
f660,-1,-1,-1,-0.954700747,-0.83328388,-1,-1,-1,-0.969884854,-1
f661,-1,-1,-1,-0.508449399,-0.947816222,-1,-0.924037441,-0.927268398,-0.363910874,-0.958168345
f662,-1,-1,-1,-0.507614048,-0.14059053,-1,-0.247115402,-0.295333366,-0.294667728,-0.315260956
f663,-0.206425651,-0.274663413,-0.268284852,-0.77000792,-0.256904171,-0.250305015,-0.362517802,-0.507231362,-0.419615146,-0.341128815
f664,-0.302291358,-0.280718152,-0.266701933,-0.504691297,-0.844057871,-0.269454266,-0.725604001,-0.709852567,-0.683529351,-0.726925937
f665,-0.888288777,-0.897894586,-0.896996678,-0.511956792,-0.636117382,-0.894465662,-0.396644351,-0.36200931,-0.328644927,-0.399551088
f666,-0.78570076,-0.779074611,-0.909857985,-0.47775097,-0.633074527,-0.775614941,-0.593345272,-0.570001655,-0.372609718,-0.595304379
f667,-1,-1,-1,-0.999392654,-0.86891995,-1,-0.810247329,-0.799354763,-0.997157282,-0.811161485
f668,-0.948767102,-0.948617455,-0.862050079,-0.990644115,-0.479738083,-0.943126934,-0.287881122,-0.254347288,-0.99033734,-0.457587068
f669,-1,-1,-1,-1,-0.57669174,-1,-0.528351758,-0.519579885,-1,-0.526240832
f670,-1,-1,-1,-1,-0.590671235,-1,-0.744278886,-0.754975886,-1,-0.745510852
f671,-1,-1,-1,-1,-0.374490409,-1,-0.719851327,-0.713719054,-0.999634594,-0.721200976
f672,-1,-1,-1,-1,-0.161238988,-1,-0.197943345,-0.336877945,-1,-0.201807348
f673,-1,-1,-1,-1,-0.963737649,-1,-0.935244061,-0.935336456,-1,-0.932393028
f674,-1,-1,-1,-1,-0.966962222,-1,-0.946444847,-0.945206602,-0.989479041,-0.943619686
f675,-1,-1,-1,-1,-0.959061157,-1,-0.933315299,-0.925920271,-0.337093044,-0.942535001
f676,-1,-1,-1,-1,-0.885866657,-1,-0.8661459,-0.837541954,-0.647883517,-0.893837279
f677,-1,-1,-1,-1,-0.43651636,-1,-0.857923546,-0.859153127,-1,-0.863093659
f678,-1,-1,-1,-1,-0.855974466,-1,-0.897660622,-0.89527357,-0.999775458,-0.893467978
f679,-1,-1,-1,-1,-0.820268043,-1,-0.793792835,-0.756953464,-0.920062872,-0.811127014
f680,-0.898336966,-0.898773261,-0.898587594,-0.943321459,-0.786061022,-0.898645013,-0.542261221,-0.480486043,-0.983904443,-0.552888854
f681,0.234517887,0.258994263,1,-0.544787314,-0.966312715,0.337062471,-0.993809402,-0.993301888,-0.742990472,-0.993577931
f682,0.236290373,0.263208047,1,-0.526399083,-0.832999031,0.34029152,-0.748880204,-0.746442943,-0.098879634,-0.74127262
f683,0.648783646,0.787235365,1,0.234611864,-0.80425421,0.880951258,-0.797879427,-0.799445042,-0.694506639,-0.789855303
f684,-1,-1,-1,-1,-0.673414352,-1,-0.835819397,-0.827146854,-0.993637072,-0.836610357
f685,0.416792104,0.029176834,-0.23362841,-0.244059217,-0.961081457,-0.225419757,-0.990896522,-1,-0.9807938,-0.990820649
f686,1,0.784088445,0.657590488,0.14317904,-0.849671148,0.362961164,-0.326694318,-0.324201404,-0.900929874,-0.282991799
f687,0.784951864,0.761492735,0.852959888,1,-0.914199391,0.870263054,-0.732921387,-0.677233353,-0.565633135,-0.729419385
f688,0.728771235,0.834098396,0.956221617,0.267036812,-0.865354479,0.915202335,-0.57880525,-0.701893631,-0.588385656,-0.574409666
f689,0.5452031,0.490379071,0.454955051,-0.054090417,-0.998295396,0.390719614,-0.994845197,-0.994514263,-0.471285551,-0.995335238
f690,0.967137606,0.947600978,1,0.660230917,-0.999542931,0.94323957,-0.988690021,-0.974454161,-0.527617686,-0.987450823
f691,0.980493439,0.949060646,1,0.599047532,-0.999497889,0.935567172,-0.999661519,-0.999739127,-0.573131423,-0.999649364
f692,0.804426307,0.87211759,0.88541627,0.816030042,-0.404233688,0.936952063,-0.707294617,-0.648993954,-0.481619058,-0.723109433
f693,-1,-0.929824561,-0.929824561,-1,-0.846635108,-1,-0.816907,-0.819866519,-1,-0.827591691
f694,0.440860215,-0.204301075,-0.204301075,-0.075268817,-0.882357222,-0.225806452,-0.78739873,-0.756576225,-0.76344086,-0.799210085
f695,-0.978147674,-0.993683312,-0.993683312,-1,-0.680702224,-1,-0.115723132,0.082333884,-1,-0.11894443
f696,0.8192,0.8192,0.8432,0.35264,-0.764629509,0.8944,-0.401918059,-0.392244055,-0.5424,-0.317093938
f697,0.997973758,0.989399293,0.993048177,0.113897881,-0.719814026,0.991919741,-0.169607742,-0.000521593,-0.683675571,-0.155712414
f698,0.234517887,0.258994263,1,-0.544787314,-0.905582027,0.337062471,-0.743786311,-0.740614245,-0.742990472,-0.73188646
f699,0.236290373,0.263208047,1,-0.526399083,-0.585393251,0.34029152,-0.001802865,-0.061168215,-0.098828451,-0.044000857
f700,0.99784936,0.99784936,0.99784936,0.141671864,-0.600903483,0.99784936,-0.408369466,-0.312950351,-0.748333112,-0.379797965
f701,-1,-1,-1,-0.997071651,-0.754562863,-1,-0.144447937,0.00104108,-0.91588785,-0.095655824
f702,0.416792104,0.029176834,0.029176834,-0.706652539,-0.780778512,0.029176834,-0.388229438,-0.336907592,-0.978928885,-0.355380873
f703,1,0.784088445,0.657590488,0.14317904,-0.627272207,0.362961164,-0.265538811,-0.194186266,-0.900929874,-0.260137946
f704,0.784951864,0.761492735,0.852959888,1,-0.891935782,0.870263054,-0.682871734,-0.559679264,-0.565633135,-0.626821113
f705,0.728771235,0.834098396,0.956221617,0.267036812,0.025065273,0.915202335,-0.010953341,0.170669955,-0.585699843,0.021303331
f706,0.044069789,0.007026042,-0.016909419,-0.360863553,0.048753942,-0.060312308,0.11737507,0.290237602,-0.405656792,0.121393744
f707,0.858639243,0.829140421,0.87694562,0.500662631,-0.787205717,0.816477163,-0.402891326,-0.343967351,-0.52757297,-0.368584127
f708,0.804426307,0.87211759,0.88541627,0.816030042,-0.439604371,0.936952063,-0.519257621,-0.262650625,-0.481619058,-0.507069529
f709,-0.998215841,-0.999484267,-0.999484267,-1,-0.423856121,-1,-0.411958655,-0.328341539,-0.999790919,-0.414791615
f710,-0.289130639,-0.289130639,-0.279752415,-0.471443309,-0.050335774,-0.259745538,-0.645854232,-0.604732387,-0.75441558,-0.657224924
f711,-0.723705262,-0.025418168,-0.785611296,-0.963301991,0.148560943,-0.797037956,-0.616093941,-0.584511997,-0.67805466,-0.623437806
f712,-0.994155796,-0.747782463,-0.992955325,-0.317174839,-0.723296122,-0.999129735,-0.878707997,-0.861709261,-0.988212095,-0.888818714
f713,-0.515754869,-0.677297178,-0.815414182,-0.862879642,0.316752167,-0.726732509,-0.416160388,-0.31671375,-0.714601757,-0.437414789
f714,-0.680430773,-0.722803717,-0.163741788,-0.928615792,-0.372674453,0.052118234,-0.686425174,-0.672960508,-0.877933311,-0.687935858
f715,-1,-1,-1,-1,-0.775606551,-1,-0.877847123,-0.873920842,-1,-0.878435609
f716,-0.982499703,-0.884637658,-0.964571021,-1,-0.304517816,-0.992535005,-0.721041559,-0.679609558,-1,-0.722385475
f717,-1,-1,-1,-0.017294918,0.497580961,-1,-0.247926805,-0.231791013,-1,-0.251550008
f718,-0.836082062,-0.891797438,-0.980237023,-0.635031062,-0.716084916,-0.993891098,-0.661315374,-0.698029735,-0.882764988,-0.646983927
f719,-0.930473988,-0.948040894,-0.991330317,-0.941539158,-0.757134573,-0.866967244,-0.799246132,-0.808630756,-1,-0.786605738
f720,-0.665613472,-0.152434982,-0.451419312,-0.411377846,-0.14616283,-0.515687597,-0.531181053,-0.58562174,-0.724736759,-0.502798596
f721,-0.525554696,-0.315669502,-0.3012968,-0.080049955,-0.67792628,-0.225978377,-0.817044614,-0.822644378,-0.702260832,-0.818495493
f722,-0.880422125,-0.475101816,-0.847395872,-0.926469907,-0.983823525,-0.869930121,-0.945498747,-0.948155719,-0.774270551,-0.943045721
f723,-0.497165083,-0.191050657,-0.265066249,-0.062592788,-0.281978678,-0.195097801,-0.576807332,-0.620352683,-0.648669214,-0.578846112
f724,-0.672628913,-1,-0.746669898,-0.887351589,-0.19128006,-0.333283576,-0.449448174,-0.520563606,-0.59729763,-0.430312254
f725,-0.943165241,-0.644532081,-0.712815026,-0.999766883,-0.173194895,-0.725822756,-0.637312316,-0.679416691,-0.988775769,-0.604723084
f726,-0.572183794,-0.362338258,-0.850513895,-0.568411897,0.260689329,-0.768190716,-0.129101602,-0.254409275,-0.999884186,-0.0633272
f727,-0.808928515,-0.710364335,-0.933236442,-0.807242895,-0.294353949,-0.895638583,0.204206183,0.217556545,-0.99848781,0.596990526
f728,-0.767379813,-0.672350814,-0.917646975,-0.971986274,-0.289570983,-0.873218003,-0.539986089,-0.499864667,-0.978232092,-0.479258097
f729,-1,-1,-1,-1,-0.916357195,-1,-0.786192182,-0.803686984,-1,-0.836896525
f730,-0.972463768,-0.945142029,-0.966510145,-0.958028986,-0.564886748,-0.900881159,-0.139393552,-0.149386582,-1,-0.213187419
f731,-1,-0.969512689,-0.95871642,0.640951875,-0.264801044,-0.563889662,0.045237419,-0.246338949,-0.993358851,0.078544329
f732,-0.931389537,-0.939884845,-0.843451248,0.058513721,-0.472210844,-0.653135357,-0.159160013,-0.397291517,-0.947742863,-0.087177167
f733,-0.765534421,-0.540156634,-0.617795231,-0.592498706,-0.591596152,-0.623084268,-0.621032573,-0.70698353,-0.879407038,-0.569675835
f734,-0.40926375,-0.045141006,-0.07326296,-0.042266987,-0.28098587,-0.033731083,-0.146153351,-0.288655362,-0.403655428,-0.116786123
f735,-1,-1,-1,-1,-0.221390638,-1,-0.311812267,-0.384714084,-1,-0.223738306
f736,-0.727849304,-0.692429537,-0.675150873,-0.861975625,-0.472008608,-0.650782706,-0.15145766,-0.387858289,-0.939089188,-0.139707722
f737,-0.606167948,0.293079635,-0.041293601,-0.414719921,-0.458307577,-0.708817715,-0.396733045,-0.434587461,-0.944199752,-0.381895591
f738,-0.456511947,-0.040161519,-0.192455196,0.012734101,-0.999997462,-0.160189661,-0.99999692,-0.999996703,-0.631073298,-0.999996934
f739,-0.679432408,-0.810344828,-0.776472383,-0.92706744,-0.506228859,-0.786389991,-0.380888455,-0.402052984,-0.937595362,-0.370794705
f740,-0.849166401,-0.895847935,-0.896102793,-0.894361262,-0.86550927,-0.902304343,-0.882227822,-0.880736183,-0.961601359,-0.884663009
f741,0.578570537,0.578570537,0.163218582,-0.775548433,-0.850105188,0.161387004,-0.751659752,-0.734952979,-0.533447113,-0.723434274
f742,0.052852756,0.052852756,0.720219816,-0.942055924,-0.560457618,0.7162599,-0.300253708,-0.324290948,-0.923711007,-0.284268262
f743,-0.324963739,-0.324963739,-0.78451249,-0.872328767,-0.005104772,-0.780983078,-0.418367823,-0.435051697,-0.890475423,-0.406988899
f744,-0.21602053,-0.21602053,-0.463385574,-0.806892127,-0.305354514,-0.47731647,-0.484783134,-0.47277057,-0.925946293,-0.483002008
f745,0.989983713,0.989983713,0.508550489,-0.47247557,-0.808009974,0.494543974,-1,-1,-0.650298588,-1
f746,1,1,0.688090737,-0.150501672,-0.944326881,0.709320925,-0.903322821,-0.902615675,-0.493529155,-0.903788575
f747,0.299401438,0.299401438,0.214076246,-0.102558952,-0.455212349,0.215683124,-0.392432898,-0.413006157,-0.740489294,-0.387751119
f748,0.987499413,0.987499413,0.023903149,-0.581098963,-0.968997152,0.025742574,-0.96936463,-0.969889542,-0.739627422,-0.969512219
f749,1,1,0.312475133,-0.504685206,-0.658474439,0.310719039,-1,-1,-0.673338913,-1
f750,0.284458534,0.284458534,0.284458534,0.70297017,-0.946043302,0.284458534,-0.921027086,-0.922753492,-0.385736241,-0.956510579
f751,-1,-1,-1,0.718504443,0.301964965,-1,0.342598865,0.229767769,-0.746006882,0.221076731
f752,0.997973758,0.989399293,0.993048177,-0.437314158,0.14183951,0.991919741,0.035813174,-0.218391266,-0.765145338,0.070567077
f753,-0.227239488,-0.227239488,-0.227239488,-0.7316234,-0.999511039,-0.227239488,-0.378565968,-0.99986194,-0.814274223,-0.629113332
f754,-1,-1,-1,0.871541057,-0.629288849,-1,-0.757105291,-0.755328631,-0.349606299,-0.758275465
f755,0.89027859,0.882174167,0.885602961,-0.256808884,-0.945871452,0.884511981,-0.996863695,-0.996513871,-0.708084941,-0.99686229
f756,-0.883943965,-0.883943965,-0.883943965,-0.863932032,-0.980656686,-0.883953116,-0.994080943,-0.994583705,-0.914842214,-0.997433824
f757,0.6384,1,1,1,-1,1,-0.721700178,-0.778221655,1,-0.833918716
f758,0.6384,1,1,1,-0.982992283,1,-0.488616738,-0.969619585,1,0.441551433
f759,0.068010076,0.070528967,0.075251889,0.256612091,-0.996737027,0.084382872,-0.996021181,-0.995992078,0.184193955,-0.99604035
f760,0.186477308,0.188638469,0.191725841,0.404754554,-0.97696187,0.207162705,-0.981383294,-0.979425852,0.299475147,-0.981146607
f761,-0.804663558,-0.796935376,-0.791339107,-0.367888075,-0.993686626,-0.781745503,-0.849330166,-0.855084531,-0.674883411,-0.825984846
f762,0.472026251,0.512879409,0.53831009,0.591468417,-1,0.542083675,-0.672156241,-0.660537689,0.564397047,-0.041057504
f763,0.472026251,0.52337982,0.547005742,0.591468417,-0.783789038,0.550451189,-0.761015365,-0.759714765,0.575061526,-0.762166702
f764,-0.030694669,-0.2180937,-0.510731595,-0.210246942,-0.38717124,-0.086545119,-0.91893099,-0.936464487,-0.388876067,-0.912624544
f765,-0.863159647,-0.857832529,-0.85450308,-0.537206592,-0.807086171,-0.849841851,-0.747305396,-0.733098129,-0.012485434,-0.749073266
f766,-0.075687771,-0.040937212,-0.034092405,-0.506910623,-0.598623517,-0.007766224,-0.538624432,-0.466679971,-0.536132684,-0.540847163
f767,0.415127715,0.415127715,0.415127715,0.403806694,-0.506534219,0.415127715,-0.584684287,-0.563485982,0.415127715,-0.567957608
f768,0.319000198,0.319000198,0.319000198,0.319000198,-0.491392571,0.319000198,-0.760869364,-0.745485534,0.319000198,-0.745183296
f769,-0.308925758,-0.294874409,-0.255352674,0.20007415,-0.949342294,-0.257317638,-0.975012601,-0.969781904,0.056298081,-0.97853904
f770,-0.491730322,-0.493988708,-0.493058784,-0.184191299,-0.941931038,-0.493324477,-0.961717498,-0.911080012,-0.665227499,-0.992846433
