,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f399,-0.665356835,-0.687221503,-0.721041559,-0.692261146,-0.85110664,-0.722385475,-0.782696177,-0.782696177,-0.464262239,-0.798792757
f400,-0.901140621,-0.901490306,-0.906577104,-0.897066673,0.138691553,-0.90702718,0.441945455,0.35086251,-0.888597357,0.493442033
f401,-0.740771392,-0.749453577,-0.760856408,-0.769019953,-0.956557729,-0.762008511,-0.934175656,-0.93774344,-0.637423823,-0.932956449
f402,-0.320960256,-0.376413103,-0.445965592,-0.783489266,-0.392026283,-0.466134949,0.995312559,0.956774196,0.162113892,0.93853963
f403,-0.855345152,-0.86259253,-0.878707997,-0.873571049,-0.144136228,-0.888818714,0.355056281,0.456748018,-0.73979204,0.372956527
f404,-0.643357594,-0.642682069,-0.678531032,-0.539162768,-0.331871215,-0.684680518,-0.036903637,-0.04795868,-0.204194978,-0.020344846
f405,-0.590996536,-0.603937486,-0.645854232,-0.62177551,-0.870330683,-0.657224924,-0.756624883,-0.735619012,-0.178227138,-0.758170197
f406,-0.306590996,-0.29798306,-0.411958655,-0.433710206,-0.623798301,-0.414791615,-0.656701606,-0.449854245,-0.400555744,-0.599981393
f407,-0.462961018,-0.461654589,-0.651970369,-0.341991305,-0.246376812,-0.643146896,0.420289855,0.47826087,-0.586930916,0.47826087
f408,-0.641735626,-0.650741718,-0.684079821,-0.67802919,-0.28358209,-0.665928458,0.373134328,0.52238806,-0.859389483,0.52238806
f409,-0.203276869,-0.20504779,-0.321783139,0.068301162,-0.460625674,-0.319343911,0.934316193,0.88900875,-0.301903897,0.968116984
f410,0.200729887,0.169276881,-0.011216427,0.604924222,-0.484597866,0.021031665,-0.26429342,0.88900875,0.137122473,0.968116984
f411,-0.749734496,-0.763991075,-0.822363812,-0.868987109,-0.380273678,-0.790967624,1,0.876876402,-0.937870263,0.947973147
f412,-0.582844923,-0.598300995,-0.627854055,-0.566032022,-0.390329654,-0.625117477,-0.214603592,0.923197913,-0.776709615,0.996049332
f413,-0.307840599,-0.29489476,-0.388229438,-0.302005737,-0.690909427,-0.355380873,-0.652031952,-0.669789146,-0.686861419,-0.629994959
f414,-0.924075564,-0.921340149,-0.937430742,-0.924004293,-0.690744952,-0.933862419,-0.70200079,-0.669613431,-0.977472773,-0.685983579
f415,-0.283962471,-0.304052575,-0.408369466,-0.019763773,-0.996245776,-0.379797965,-1,-1,-0.473261111,-1
f416,-0.470039676,-0.463063321,-0.463220373,-0.576739375,-0.970296716,-0.485912306,-0.920833465,-1,-0.677015833,-0.925773457
f417,-0.819017533,-0.821147477,-0.828505281,-0.839666218,-0.379540384,-0.820540205,1,0.866344034,-0.900645804,0.94756477
f418,-0.64038034,-0.639684922,-0.714579538,-0.811057951,-0.712603062,-0.709803469,-1,-1,-0.915710855,-1
f419,-0.362731258,-0.346594755,-0.401918059,-0.222143677,-0.487488395,-0.317093938,-1,-1,-0.677570607,-1
f420,0.130845517,0.140479624,-0.115723132,-0.213156585,-0.980857143,-0.11894443,-1,-1,-0.720124731,-1
f421,-0.792280857,-0.804172892,-0.8242653,-0.776318179,-0.661049626,-0.834028482,0.745256427,0.664698059,-0.869456183,0.794479763
f422,-0.809046828,-0.790178034,-0.804577395,-0.755022902,-0.569705596,-0.815981599,-0.17491947,-0.178493841,-0.867978419,-0.164217758
f423,-0.639608998,-0.658564027,-0.707294617,-0.814337523,-0.716741135,-0.723109433,0.633197072,0.593827043,-0.414217153,0.728009633
f424,-0.999755089,-0.9997367,-0.999697414,-0.999896352,-0.594990079,-0.999686548,-0.231060606,-0.236156205,-0.999132414,-0.224499459
f425,-0.972081411,-0.969858859,-0.984186292,-0.998076237,-0.733481241,-0.982453635,0.07841966,0.011974856,-0.999275159,0.126660409
f426,-0.998637105,-0.99872518,-0.998744222,-0.999718816,-0.688073394,-0.998863602,-0.601834862,-0.704587156,-0.999562606,-0.588990826
f427,0.160875161,0.160875161,0.160875161,-0.415701416,-0.878715476,0.160875161,-0.848963222,-0.869101459,-0.472329472,-0.86295759
f428,-0.069387755,-0.069387755,-0.069387755,-0.46122449,-0.767499013,-0.069387755,-0.672568435,-0.686255516,-0.567346939,-0.66182327
f429,0.680067587,0.649124639,0.688897143,-0.41348567,0.260101432,0.88453465,0.538204314,0.31795129,0.2902178,0.633394639
f430,0.736348958,0.680945442,0.614214885,-0.460240131,-0.414296452,0.771989692,0.244847502,0.203390166,0.187367053,0.469737727
f431,-0.433242262,-0.381655691,-0.273152138,-0.04348008,-0.4357846,-0.256378501,0.442500086,0.394460297,-0.083244772,0.442500086
f432,0.127042031,0.228475814,0.298372376,0.712960146,-0.414151606,0.375874658,0.245155355,0.203687766,0.641846669,0.470101196
f433,0.132856538,0.240477909,0.364231684,0.543206907,-0.76744186,0.487450886,-0.348837209,-0.441860465,0.879132922,-0.302325581
f434,0.457674897,0.530747274,0.651340573,0.866465031,-0.727272727,0.752748443,-0.545454545,-0.545454545,0.549676831,-0.636363636
f435,0.322736989,0.434328561,0.562422493,0.761757099,-0.636363636,0.695235889,0.272727273,-0.090909091,0.858630449,0.636363636
f436,-0.316207945,0.035056745,0.055835691,0.462412166,-1,0.217387828,-0.826086957,-0.826086957,0.410453638,-0.826086957
f437,-0.733756864,-0.619256097,-0.087158315,0.379426695,-0.468306011,1,0.28579235,0.121857923,0.300441812,0.346994536
f438,0.179025355,0.644743938,0.880584892,0.912199881,-0.683387622,0.935086672,0.463192182,0.463192182,0.861304054,0.348534202
f439,-0.41880359,0.305095642,0.25674778,0.694241349,-0.243523316,0.898196306,0.170984456,-0.139896373,0.60420718,0.378238342
f440,0.359366406,0.542693339,0.690862753,0.455061537,-1,0.748025958,-0.75399754,-0.75399754,0.493140188,-0.75399754
f441,0.306538078,0.005039819,0.189783416,0.741327412,-0.414151606,0.520085081,0.245155355,0.203687766,0.573142812,0.470101196
f442,0.13382454,0.300515927,0.464159211,0.598664964,-0.612100423,0.561866902,0.20256167,0.19971537,0.588468956,0.349328565
f443,0.119737603,0.255430964,0.469323057,0.813796004,-0.308461609,0.930451114,-0.005628928,-0.13114127,0.712889856,0.314545951
f444,0.33784301,0.465856437,0.529387857,0.883864528,-1,0.628481834,-0.703760806,-0.546610869,0.940385256,-0.862452508
f445,0.171590739,0.363262295,0.469223443,0.860615476,-0.985405405,0.704142205,0.438918919,0.800630631,0.847370417,0.438918919
f446,-0.39828127,-0.249085435,-0.112952668,0.135975052,-0.999835858,-0.146764163,-0.994614722,-0.99399463,-0.298600283,-0.994614722
f447,-0.39828127,-0.249085435,-0.112952668,0.11812463,-0.642902208,-0.146764163,0.96214511,0.945741325,-0.303044967,0.962460568
f448,-0.39828127,-0.249085435,-0.112952668,0.119880997,-0.632260206,-0.146764163,-0.123464985,0.648523067,-0.309461082,-0.12313309
f449,-0.39828127,-0.249085435,-0.112952668,0.122103339,-0.415413831,-0.146764163,0.113467321,-0.150023738,-0.318422137,0.358284539
f450,-0.39828127,-0.249085435,-0.112952668,0.145258706,-0.448000525,-0.146764163,0.613316698,0.4398319,-0.325770203,0.756228249
f451,-0.39828127,-0.249085435,-0.112952668,0.157589118,-0.533516059,-0.146764163,0.642645302,0.291222152,-0.333297489,0.795600534
f452,-0.39828127,-0.249085435,-0.112952668,0.150097676,-1,-0.146764163,-1,-0.489413293,-0.34315465,-1
f453,-0.39828127,-0.249085435,-0.112952668,0.148986505,-1,-0.146764163,-1,-1,-0.351936484,-1
f454,-0.39828127,-0.249085435,-0.112952668,0.148699751,0.397377153,-0.146764163,-1,-1,-0.360718318,-1
f455,-0.39828127,-0.249085435,-0.112952668,0.163754324,-1,-0.146764163,1,1,-0.368926645,1
f456,-0.39828127,-0.249085435,-0.112952668,0.175367851,-0.837215777,-0.146764163,-0.915545244,-0.916983759,-0.377063283,-0.923851508
f457,-0.39828127,-0.249085435,-0.112952668,0.174184992,-0.382648752,-0.146764163,0.415316699,0.191247601,-0.38527161,0.54806142
