,or4331,or4359,or4344,or4440,or4378,or4332,or2066,or4397,or567,or2135,or4328,or4329,or73,or4413,or2096,or2070,or2738,or1,or1885,or2055,or3300,or3583,or4388,or4375,or353,or4392,or2620,or4500,or2061,or2236,or2831,or1995,or4280,or2548,or2176,or2147,or2064,or2060,or4293,or4486,or2116,or191,or2265,or3021,or187,or3017,or2058,or2084,or1416,or2099,or2203,or1992,or2903,or1036,or4149,or4321,or2451,or2222,or2065,or1985,or2029,or568,or2149,or2617,or3114,or2080,or2090,or4387,or2734,or3186,or2124,or4319,or2455,or4322,or2111,or2059,or2266,or2900,or4412,or4434,or4333,or70,or470,or4399,or636,or4325,or4411,or2057,or2095,or4363,or356,or2126,or3681,or4374,or2069,or3397,or639,or1133,or285,or2228,or1319,or4350,or851,or2128,or922,or2133,or4316,or4379,or2016,or4362,or4360,or3680,or2148,or2549,or757,or2086,or2115,or2170,or4030,or2068,or2114,or2098,or2334,or3866,or4247,or4354,or4323,or4358,or4467,or4256,or3398,or2112,or2094,or1983,or2052,or4390,or4492,or4334
f100,-1,-1,-0.94904898,-1,-0.96118211,-0.86540194,-0.907407407,-1,0.933862434,-0.955026455,-0.858939402,-0.798788329,-0.772486772,-0.542651665,-0.952380952,-0.878306878,-1,0.933862434,-0.714285714,-0.798941799,-1,-1,-0.959734694,-0.897663786,-0.759259259,-1,-1,-1,-0.915343915,-0.325396825,-0.685571034,-0.608465608,-0.945893118,-0.706992756,-0.727513228,-0.894179894,-0.894179894,-0.894179894,-1,-0.908313274,-0.939153439,-0.476190476,-0.642127297,-1,-0.714285714,-1,-0.873015873,-0.912698413,0.933862434,-0.812169312,0.878306878,-0.917989418,-1,-0.714285714,-0.994015084,-1,-1,-0.659863946,-0.94973545,-0.814814815,-0.71957672,0.915642756,-0.902116402,-1,-0.684907928,-0.825396825,-0.812169312,-0.89715145,-1,-1,-0.936507937,-1,-1,-1,-0.669312169,-0.865079365,-1,-1,-0.951071257,-1,-1,-0.759259259,-0.714285714,-1,-0.759259259,-0.974955059,-0.944223641,-0.788359788,-0.843915344,-0.959341115,-0.772486772,-0.666666667,-1,-0.898299822,-0.862433862,-0.550224916,-0.772486772,0.933862434,0.913070095,-0.481481481,-0.714285714,-0.933743581,0.933458011,-0.896815078,-0.772486772,-0.928571429,-0.934675357,-0.948423785,-0.626984127,-0.464246222,-0.977582086,-0.434366261,-0.841269841,-1,-0.443879898,-0.85978836,-0.941798942,-0.801587302,-0.985284399,-0.965608466,-0.798941799,-0.772486772,-1,-1,-0.87027958,-1,-0.95945698,-1,-0.993902323,-1,-1,-0.722222222,-0.888330542,0.851851852,-0.685185185,-1,-1,-1
f101,-0.847433818,-0.942141896,-0.662446498,-0.772539431,-0.728146857,-0.601208089,-0.910076824,-1,0.840775288,-0.964804308,-0.732459548,-0.568563881,-0.695312583,-1,-0.945315255,-0.867508628,-0.929990434,0.840775288,0.173382056,-0.697577759,-0.726093594,-0.724984049,-0.706380324,-0.511397095,-0.803485378,-0.786481757,-0.623279509,-0.964908467,-0.939801904,-0.496212243,-0.723957991,-0.708903634,-0.564450946,-0.824611288,-0.82707739,-0.93798549,-0.926937419,-0.846844248,-1,-0.813162538,-0.978096184,-0.39402293,-0.82779987,-0.848792719,0.173382056,-0.741748204,-0.960701349,-0.930698465,0.840775288,-0.784167281,-1,-0.942473101,-0.485448243,0.173382056,-0.585796162,-0.838930122,-0.909169438,-0.813604962,-0.885202637,-0.797972027,-0.742069216,-0.262089768,-0.963671721,-0.59841974,-0.633743888,-0.74792448,-0.788056544,-0.531686109,-0.856710275,-0.492668066,-1,-0.89271335,-0.803960545,-0.878193628,-0.674968747,-0.810216794,-0.805719781,-0.639776794,-0.799933959,0.166874031,-0.563361657,-0.803485378,0.173382056,-0.888098821,-0.803485378,-0.773331098,-1,-0.68892308,-0.882809244,-0.998727716,-0.695312583,-0.811904991,-0.692174489,-0.4749548,-0.778119691,-0.528558747,-0.695312583,0.840775288,-0.263080763,-0.79583507,0.173382056,-0.672435363,-0.255227289,-0.853368675,-0.695312583,-0.959867936,-0.882435293,-0.828334103,-0.584361744,-0.091995081,-0.75418986,-0.437978909,-0.925270592,-0.802888751,-0.356643943,-0.902875276,-0.91024778,-0.812524709,-0.38018859,-0.913966086,-0.863149234,-0.671891528,-0.549930584,-0.758542146,-0.587614126,-0.758987872,-0.724291063,-0.373577589,-0.790869285,-0.756713522,-0.68347883,-0.854387708,-0.899144191,-0.286662179,-0.706959002,-0.758478486,-0.436760072,-0.82178024
f102,-0.895863343,-0.91909778,-0.852298836,-0.555663133,-0.962993633,-1,-0.907761933,-0.863292872,0.913806328,-0.955849974,-1,-1,-0.539488898,-0.986839944,-0.931298438,-0.777631925,-0.707272536,0.913806328,0.785217945,-0.765062333,-0.304962971,-0.216934167,-0.925347412,-0.804558002,-0.590797562,-1,-0.889219351,-0.297847012,-0.930283407,0.096378324,-0.350924536,-0.624072258,-0.749804097,-0.340153112,-0.735695124,-0.915065576,-0.880722427,-0.886209699,-1,-0.539303628,-0.886072327,-0.092806637,-0.394217178,-0.703955269,0.785217945,-0.409105042,-0.861742113,-0.945272284,0.913806328,-0.668527557,-1,-0.912768401,-0.814052424,0.785217945,-0.238466857,-0.892884541,-0.353662646,-0.645113005,-0.878402357,-0.580280927,-0.668039121,-0.025272405,-0.939433949,-0.874712059,-0.571861074,-0.732566082,-0.685073323,-1,-0.377423851,-0.745375706,-1,-0.980455545,-0.729379315,-0.972154011,-0.360454245,-0.787995925,-0.817285109,-0.816976264,-1,-0.275085959,-1,-0.590797562,0.785217945,-0.959412841,-0.590797562,-1,-0.803681681,-0.88827792,-0.867175963,-0.602250582,-0.539488898,-0.464430037,-0.744146754,-0.829153657,-0.709991185,-0.385374889,-0.539488898,0.913806328,-0.02658144,-0.771404368,0.785217945,-1,-0.016207551,-0.822443427,-0.539488898,-0.91740091,-0.892854851,-0.983013329,-0.615028562,-0.096662095,-0.998415184,-0.433542303,-0.868603111,-0.795659317,-0.036847475,-0.906815589,-0.760742728,-0.804381423,-0.524311139,-0.880554527,-0.73790835,-0.600108372,-0.929518645,-0.170535798,-0.870894805,-0.748367305,-0.953651751,-1,-0.883447644,-1,-0.807436067,-0.771602795,-0.858002296,-0.057730834,-0.753324608,-0.639298795,-0.841585837,-0.899618748
f103,-0.861330292,-0.921177418,-0.733859642,-0.609986011,-0.838116313,-0.779020057,-0.991824816,-0.913343718,-0.802275377,-0.991259683,-0.840037134,-0.748145149,-0.963837418,-0.886028366,-0.993836104,-0.983419211,-0.781103235,-0.802275377,-0.791236954,-0.982060688,-0.428980778,-0.372665369,-0.803509384,-0.619790256,-0.96322385,-0.898312441,-0.750365821,-0.538216984,-0.995186355,-0.932431388,-0.384548753,-0.959846038,-0.621491688,-0.430599531,-0.978245381,-0.989999111,-0.98861148,-0.991551411,-1,-0.59786339,-0.992997024,-0.93510116,-0.451421747,-0.740330257,-0.791236954,-0.502450106,-0.986520912,-0.994066486,-0.802275377,-0.977966757,-1,-0.993117472,-0.637076991,-0.791236954,-0.318632803,-0.855412103,-0.547040098,-0.975282101,-0.989659181,-0.977452764,-0.9710862,-0.923949945,-0.995254542,-0.729330492,-0.481479347,-0.979385388,-0.969686857,-0.753236044,-0.537118363,-0.596982432,-1,-0.936516096,-0.735094904,-0.924338913,-0.951269811,-0.97787298,-0.791654698,-0.71242897,-0.893429537,0.01531729,-0.79205202,-0.96322385,-0.791236954,-0.920979831,-0.96322385,-0.886270772,-0.86268776,-0.99051639,-0.986436413,-0.737886253,-0.963837418,-0.951510514,-0.691217882,-0.61818632,-0.97085949,-0.282107209,-0.963837418,-0.802275377,-0.924052079,-0.962115114,-0.791236954,-0.828710561,-0.923242689,-0.980856841,-0.963837418,-0.994511017,-0.861030765,-0.895576622,-0.958485427,0.128661625,-0.876777732,-0.242760591,-0.991491303,-0.776598211,-0.931097951,-0.990422033,-0.988958601,-0.980247391,-0.399897614,-0.989642211,-0.979580943,-0.9610862,-0.740978592,-0.359223267,-0.691833851,-0.725728737,-0.829960298,-0.701667806,-0.825114533,-0.884135389,-0.727205366,-0.980264747,-0.987456805,-0.926482412,-0.98202644,-0.656333699,-0.631342319,-0.851493322
f104,-1,-1,-0.945748691,-1,-0.936623853,-0.722446429,-0.971528081,-1,0.06868704,-0.977902041,-0.45041326,-0.68952809,-0.533816262,0.549457944,-0.96571067,-0.906458615,-1,-0.064726749,0.186675611,-0.877131366,-1,-1,-0.919361868,-0.869001264,-0.747964932,-1,-1,-1,-0.946043956,-0.487294553,-0.366501623,-1,-0.930572864,-0.397419849,-0.848067747,-0.920454379,-0.954696841,-0.925023946,-1,-0.892515559,-0.962295212,-0.67279555,-0.573514017,-1,0.121488976,-1,-0.946869993,-0.951006037,-0.352134955,-0.790661093,-0.270603329,-0.969811564,-1,0.297891848,-0.95460241,-1,-1,-0.823769174,-0.945956079,-0.923723377,-0.850006884,-0.507612773,-0.963531338,-1,-0.257259763,-0.728415385,-0.815834722,-0.89480203,-1,-1,-0.955809941,-1,-1,-1,-0.829355955,-0.909030461,-1,-1,-0.947401015,-1,-1,-0.734865505,0.150177657,-1,-0.761410004,-0.946332271,-0.893994885,-0.923032084,-0.912873584,-0.922382023,-0.588281989,-0.795406413,-1,-0.72334466,-0.854330397,-0.265323486,-0.574104614,-0.036342706,-0.524118399,-0.812471989,0.34069932,-0.893449872,-0.478500009,-0.936927806,-0.561057913,-0.973543377,-0.921316357,-0.917194498,-0.748767535,0.315809524,-0.960298851,-0.269102131,-0.939505959,-1,-0.147801784,-0.911010607,-0.925510195,-0.785499826,-0.928978753,-0.794931881,-0.902381155,-0.75249349,-1,-1,-0.733085557,-1,-0.909502183,-1,-0.990883871,-1,-1,-0.891349751,-0.960763309,-0.569593631,-0.89313071,-1,-1,-1
f105,-0.870316648,-1,-0.841573566,-0.528424173,-0.833434226,-0.506933087,-0.973249249,-0.983775094,-0.145741742,-0.969957958,-0.682359376,-0.490009288,-0.709069069,-1,-0.965129129,-0.897141141,-0.903717317,-0.223015015,1,-0.892744745,-0.76528684,-0.789377386,-0.587906338,-0.651882446,-0.825861862,-0.877809656,-0.669880014,-0.848960283,-0.939687688,-0.538306306,-0.762473946,-1,-0.718186707,-0.73141816,-0.834822823,-0.9396997,-0.960132132,-0.938642643,-1,-0.824811412,-0.960528529,-0.778486486,-0.868406528,-0.648255829,0.002630631,-0.762231701,-0.929861862,-0.946654655,0.147855856,-0.806810811,-0.170078078,-0.974918919,-0.690088017,0.267183183,-0.071999377,-0.784246354,-0.923094265,-0.774186431,-0.939363363,-0.926594595,-0.870294294,-0.556511099,-0.954846847,-0.717441479,-0.530055599,-0.673897898,-0.795423423,-0.692797473,-0.7805431,-0.69314028,-0.963027027,-1,-0.597827633,-1,-0.802366366,-0.915399399,-0.798861542,-0.719524805,-0.877118989,-0.162046031,-0.698862043,-0.831315315,0.06572973,-0.733004863,-0.829117117,-0.879444427,-1,-0.908408408,-0.908996997,-1,-0.749717718,-0.735951952,-0.68208793,-0.493227676,-0.84012012,-0.535157654,-0.728684685,0.104684685,-0.697987243,-0.837345345,0.262798799,-0.494379389,-0.520895376,-0.92361999,-0.709405405,-0.963051051,-0.930371354,-0.900897001,-0.844252252,-0.315560085,-0.878266585,-0.590908259,-0.932048048,-0.730789158,-0.388674161,-0.906942943,-0.941993994,-0.845321321,-0.448319849,-0.889081081,-0.923915916,-0.782846847,-0.716116045,-0.794619125,-0.610273887,-0.845702527,-0.787258896,-0.521144788,-0.813651488,-0.811271629,-0.66702923,-0.918474474,-0.960704423,-0.644612613,-0.880696697,-0.563265686,-0.442173638,-0.800267664
f106,-0.931473647,-0.954963661,-0.824199407,-0.672942404,-0.9315435,-1,-0.951060013,-0.854465702,0.229999192,-0.950288287,-1,-1,-0.308112811,-0.738489773,-0.919249404,-0.857530585,-0.340845941,0.148819666,0.108423978,-0.796098841,-0.238694805,-0.368498914,-0.786164003,-0.782656238,-0.628299888,-1,-0.828017244,-0.393037544,-0.886769895,-0.632408716,-0.488014333,-0.683929826,-0.899791208,-0.470257398,-0.713436562,-0.904083525,-0.842031332,-0.84312378,-1,-0.594997911,-0.865268973,-0.317703799,-0.505427439,0.402050322,-0.159504044,-0.532192118,-0.855959947,-0.824374504,0.373158369,-0.801643181,0.111755427,-0.927342297,-0.563359456,0.048873232,-0.063520705,-0.860341419,-0.829046955,-1,-0.87583155,-0.573520276,-0.791254492,0.105940203,-0.909624904,-0.91983202,-0.639768051,-0.790598377,-0.769481434,-1,-0.445306241,-0.567659843,-0.904151896,-0.985292197,-0.504037026,-0.972800394,-0.665797499,-0.82135947,-0.650550592,-0.920423104,-1,-0.569513933,-1,-0.649453305,-0.138909974,-0.916603876,-0.633895775,-1,-0.891651832,-0.840887202,-0.870039569,-0.631628075,-0.260737406,-0.496771914,-0.727399941,-0.762292281,-0.811251531,-0.622186479,-0.265876368,0.373158369,0.076828883,-1,0.108423978,-1,0.124993258,-0.76446037,-0.235620651,-1,-0.919516028,-0.975561926,-0.641476831,-0.631353599,-1,-0.574786676,-0.909450209,-0.641055567,-0.193924043,-0.855559952,-0.637762076,-0.794215421,-0.411216624,-0.661642912,-0.799920459,-0.687189405,-0.919455965,-0.389722694,-0.737431222,-0.871268813,-0.853371558,-1,-0.894162286,-1,-0.724505538,-0.680141855,-0.906211317,0.087373925,-0.72533694,-0.84614931,-0.924084718,-0.926121203
f107,-0.865719156,-0.967908736,-0.759900823,-0.45621807,-0.829271321,-0.621699327,-0.956713413,-0.885606554,-0.244163523,-0.947261219,-0.68494697,-0.604213652,-0.014613284,-0.515508935,-0.909654239,-0.828111845,-0.466867739,-0.279327343,0.03369862,-0.736279041,-0.302863404,-0.411230945,-0.56057342,-0.590538852,-0.518449911,-0.919485876,-0.659927404,-0.467976873,-0.858886269,-0.789503822,-0.356767556,-0.624430103,-0.729542118,-0.329600528,-0.623227264,-0.86829577,-0.777268417,-0.778552671,-1,-0.575291979,-0.823704577,-0.081836279,-0.478810548,0.230822886,-0.221648133,-0.509985856,-0.824864972,-0.707150516,-0.223174394,-0.82047781,0.229916104,-0.923888006,-0.484657383,-0.022674742,0.287518371,-0.758319142,-0.827510033,-1,-0.839397339,-0.358634333,-0.799419182,0.435492272,-0.86190975,-0.756690669,-0.290735345,-0.839868199,-0.864601867,-0.777334641,-0.460139943,-0.489732891,-0.882575953,-0.989519753,-0.381593805,-0.980618546,-0.663355342,-0.78128475,-0.618460092,-0.758484607,-0.908909626,-0.141103414,-0.801573036,-0.533448421,-0.206373858,-0.764645494,-0.5138056,-0.910236263,-0.902397402,-0.799833449,-0.846237341,-0.722576173,0.037538225,-0.431497965,-0.596275244,-0.443459433,-0.795862788,-0.28312085,0.036639942,-0.223174394,0.400999323,-1,0.03369862,-0.646332061,0.431278228,-0.65056598,0.074395602,-1,-0.881629675,-0.901351467,-0.569412728,-0.033132712,-0.912147619,-0.286807958,-0.899970711,-0.566839768,0.071003079,-0.79942216,-0.79422781,-0.775344768,-0.203273129,-0.50295423,-0.730073967,-0.701434919,-0.755549346,-0.429808149,-0.504743229,-0.806600542,-0.737924022,-0.684470909,-0.800040275,-0.875642386,-0.584290262,-0.520614823,-0.91065135,0.346157168,-0.626189684,-0.60259694,-0.578340459,-0.815748257
f108,-1,-1,-0.903141326,-1,-0.886850152,-0.669642836,-0.933543083,-1,0.512396656,-0.921590116,-0.591160212,-0.722846468,-0.580916774,-0.308411243,-0.891528569,-0.830376631,-1,0.451320963,0.56398126,-0.818751608,-1,-1,-0.712062226,-0.81289507,-0.699923755,-1,-1,-1,-0.882119236,-0.25232133,-0.664880344,-0.712086166,-0.876046892,-0.830132408,-0.728287709,-0.932945067,-0.907279074,-0.900571376,-1,-0.821488894,-0.884674812,-0.476119787,-0.770132764,-1,0.184878743,-1,-0.850378468,-0.955658644,0.795253537,-0.743817748,0.254069447,-0.923395186,-1,0.482189969,-0.91894854,-1,-1,-1,-0.893691898,-0.814968767,-0.791475289,-0.257927228,-0.944117215,-1,-0.668483552,-0.720199339,-0.500812971,-0.624365492,-1,-1,-0.909748301,-1,-1,-1,-0.583133382,-0.807224876,-1,-1,-0.874788522,-1,-1,-0.748700165,0.177699798,-1,-0.741797722,-0.852589632,-0.81074167,-0.724639904,-0.830910344,-0.861423234,-0.520582399,-0.526416498,-1,-0.730582502,-0.739407496,-0.67208269,-0.576146427,0.795253537,-0.286622594,-1,0.56398126,-0.809768644,-0.162776165,-0.86856209,-0.540448282,-1,-0.929050798,-0.919213978,-0.697076061,-0.119047611,-0.858237534,-0.673769298,-0.882905567,-1,-0.346903524,-0.901712291,-0.865399596,-0.797921183,-0.949280326,-0.797776043,-0.83972901,-0.529604997,-1,-1,-0.863845476,-1,-0.838427956,-1,-0.97829913,-1,-1,-0.799532427,-0.815387797,-0.147328679,-0.786859269,-1,-1,-1
f109,-0.852524806,-1,-0.905415075,-0.624608552,-0.77901267,-0.516096913,-0.991812213,-0.806265811,0.150615805,-0.985698194,-0.800378845,-0.729352623,-0.904092578,-1,-0.991188767,-0.978890894,-0.808388726,-0.064059057,-0.78703759,-0.960652068,-0.829629043,-0.832336732,-0.437643153,-0.725930977,-0.936263799,-0.902732056,-0.888963063,-0.846249211,-0.957063206,-0.680951605,-0.836373624,-0.89515787,-0.636870041,-0.778826665,-0.980079085,-0.976517549,-0.964504072,-0.928126616,-1,-0.825679427,-0.95495604,-0.931610221,-0.831646694,-0.599998429,-1,-0.827411368,-0.978973885,-0.969839797,0.661539769,-0.955473217,-0.455359357,-0.960655104,-0.890094482,-0.823260197,-0.445958367,-0.742378437,-0.911702305,-0.958058274,-0.972337628,-0.914792365,-0.909038649,-0.684867803,-0.99288705,-0.693281607,-0.676265872,-0.882224406,-0.972741451,-0.266366959,-0.825304328,-0.89117698,-0.980853331,-1,-0.615827459,-1,-0.863638434,-0.97321106,-0.781663365,-0.695543073,-0.877727851,0.111736225,-0.565205449,-0.94279581,-0.865497638,-0.858308147,-0.929873479,-0.856050078,-1,-0.972282976,-0.976854574,-1,-0.885088613,-0.936061381,-0.654905188,-0.64920943,-0.973690789,-0.626410643,-0.88437408,0.642003447,-0.705276606,-0.971733412,-0.806009167,-0.628468617,-0.685724277,-0.95040276,-0.796653432,-0.972273867,-0.930716324,-0.842220846,-0.937198967,-0.139727893,-0.861565396,-0.734522958,-0.967279216,-0.700974508,-0.904084334,-0.965223666,-0.959496264,-0.979996093,-0.554238693,-0.897677968,-0.96246168,-0.965445313,-0.691842853,-0.836509406,-0.534645848,-0.89764465,-0.842220846,-0.799375724,-0.872851264,-0.849765377,-0.651241028,-0.883795166,-0.983938835,-0.4569706,-0.946646803,-0.834449337,-0.371627348,-0.880754364
f110,-0.957823136,-0.972735273,-0.972949379,-0.892640697,-0.968399592,-1,-0.980855234,-0.94459339,0.126975501,-0.928971047,-1,-1,-0.840267261,-0.806853592,-0.990993318,-0.982298441,-0.890401058,0.028071269,-0.670458797,-0.923554566,-0.878187753,-0.904099,-0.839169913,-0.921618195,-0.889398664,-1,-0.93648842,-0.846099281,-0.946129176,-0.09708686,-0.750421419,-0.780231626,-0.965382465,-0.731170461,-0.94576392,-0.934868597,-0.958155902,-0.936151448,-1,-0.900291094,-0.854138085,-0.963910913,-0.791359275,-0.828403542,-1,-0.975320445,-0.908258352,-0.945256125,0.453924276,-0.883412027,1,-0.905140312,-0.937135617,-0.743563474,-0.886820013,-0.926322052,-0.974747483,-0.824580701,-0.963884187,-0.844650334,-0.821122494,-0.644924309,-0.967492205,-0.956140353,-0.783966746,-0.656365256,-0.937229399,-1,-0.975019146,-0.906632134,-0.958013363,-0.97284276,-0.890129367,-0.974888615,-0.592917595,-0.906040089,-0.87511455,-0.956463724,-1,-0.841025635,-1,-0.904775056,-0.794200445,-0.918954241,-0.875287305,-1,-0.841432231,-0.888890869,-0.989389755,-0.961298381,-0.807269488,-0.615091314,-0.921044261,-0.974919099,-0.971830735,-0.786312165,-0.837202673,0.137844098,-0.596127298,-0.894654788,-0.723643653,-1,-0.658689973,-0.825372292,-0.793095768,-0.93857461,-0.980185358,-0.977438138,-0.815465479,-0.917989418,-1,-0.802596134,-0.929870824,-0.871721232,-0.944300614,-0.915100223,-0.919768374,-0.971420935,-0.92917523,-0.872017817,-0.927180401,-0.957844098,-0.955934616,-0.906485669,-0.923949705,-0.941454206,-0.909752552,-1,-0.909090909,-1,-0.920205918,-0.808632517,-0.974428938,-0.343545657,-0.884819599,-0.97632685,-0.92811594,-0.96589659
f111,-0.915646252,-0.972735273,-0.918848159,-0.785281394,-0.873598369,-0.769345245,-0.935519721,-0.889186781,0.757325071,-0.961388316,-0.828729279,-0.845193503,-0.692155086,-0.613707162,-0.975192301,-0.94326673,-0.835601587,0.686146344,-0.217330059,-0.826124061,-0.829462842,-0.856148489,-0.597924773,-0.790981881,-0.72836125,-0.972182055,-0.90473264,-0.802127662,-0.926169032,-0.464617542,-0.610033456,-0.564551489,-0.826912348,-0.62047593,-0.852880108,-0.903742182,-0.90359415,-0.919988695,-1,-0.800582168,-0.824705421,-0.735392771,-0.679014263,-0.714005918,-0.489832328,-0.925961316,-0.875899826,-0.908787606,0.785377138,-0.781739128,0.599288558,-0.933879033,-0.874271234,-0.249761406,-0.705732026,-0.852644084,-0.949494945,-1,-0.925367192,-0.765640646,-0.595144772,-0.015429623,-0.983161358,-0.868421059,-0.598795398,-0.534797053,-0.773177943,-0.685279197,-0.925057418,-0.875509498,-0.88684186,-0.97284276,-0.780258733,-0.974888615,-0.671862364,-0.872322386,-0.812671814,-0.869391193,-0.930062037,-0.523076927,-0.875651829,-0.74172114,-0.460855061,-0.878431372,-0.727016626,-0.917662678,-0.788576302,-0.881747091,-0.955504043,-0.922596762,-0.682310957,-0.347425529,-0.822349561,-0.799352749,-0.987663999,-0.587887738,-0.683556894,0.785377138,-0.170365678,-0.701234383,-0.217330059,-0.840616973,0.324156148,-0.793598057,-0.653938154,-0.908121462,-0.940556095,-0.909752552,-0.712324449,-0.425925924,-0.920817362,-0.63556208,-0.867141266,-0.786202053,-1,-0.843073727,-0.86768405,-0.921049591,-0.787525712,-0.887730052,-0.795691146,-0.836777679,-0.867803849,-0.859728514,-0.752836546,-0.912181299,-0.819505105,-0.942622874,-0.866666665,-0.957033959,-0.820463315,-0.79549377,-0.973964218,-1,-0.811555243,-0.92898053,-0.748405799,-0.93179318
f112,-0.861330292,-0.921177418,-0.733859642,-0.609986011,-0.838116313,-0.779020057,-0.94699963,-0.913343718,0.0044311,-0.984426798,-0.840037134,-0.748145149,-0.886004894,-0.886028366,-0.973440979,-0.873095868,-0.781103235,-0.231165526,0.20652052,-0.964674388,-0.428980778,-0.34719248,-0.803509384,-0.619790256,-0.918875935,-0.894798206,-0.750365821,-0.537101251,-0.982455786,-0.986986172,-0.384548753,-0.941066369,-0.621491688,-0.430599531,-0.87267666,-0.990736978,-0.942175063,-1,-1,-0.59786339,-0.998418778,-0.589288505,-0.443216425,-0.740330257,0.653388688,-0.502450106,-0.947650506,-1,-0.095303586,-0.963858036,-0.887499701,-0.990034621,-0.637076991,0.784637505,-0.318632803,-0.855412103,-0.547040098,-0.909944617,-0.975798104,-0.966665625,-0.922354624,-0.91792255,-0.992057115,-0.729330492,-0.342931147,-0.910539583,-0.915910223,-0.753236044,-0.537118363,-0.596982432,-0.974748245,-0.936516096,-0.723350344,-0.924338913,-0.918241607,-0.973415238,-0.791654698,-0.71242897,-0.893429537,0.01531729,-0.79205202,-0.878672435,0.82872787,-0.920979831,-0.914845656,-0.886270772,-0.86268776,-0.952138603,-0.930843582,-0.737886253,-0.840083253,-1,-0.686731505,-0.61818632,-0.887325031,-0.282107209,-0.836591693,-0.080293004,-0.905998104,-0.812242707,0.576945777,-0.828710561,-0.903068977,-0.880881589,-0.839562921,-1,-0.861030765,-0.895576622,-0.168983035,0.128661625,-0.876777732,-0.242760591,-0.974422808,-0.776598211,-0.687452296,-0.957711493,-0.981282739,-0.763524508,-0.399897614,-0.880042215,-0.951496921,-0.785722297,-0.740978592,-0.335974616,-0.691833851,-0.725728737,-0.829960298,-0.701667806,-0.81789335,-0.884135389,-0.727205366,-0.983196754,-0.974868967,-0.902559926,-0.952364755,-0.656333699,-0.631342319,-0.851493322
f113,-0.884930864,-0.938481243,-0.800646428,-0.827394338,-0.864901464,-0.767487566,-0.877557903,-0.919607886,0.00226041,-0.983641374,-0.897629858,-0.784950377,-0.770330353,-0.843058626,-0.951073535,-0.764212944,-0.791580511,-0.184736787,0.47743325,-0.966373461,-0.432829006,-0.382432522,-0.833176264,-0.77681415,-0.884610213,-0.90427251,-0.763846327,-0.61058309,-0.968580509,-0.980934858,-0.415385843,-0.863935675,-0.817721528,-0.457527694,-0.769301535,-0.978514362,-0.946424646,-1,-1,-0.753124944,-0.996328701,-0.259140361,-0.468603032,-0.739220657,0.150196692,-0.457751209,-0.888780979,-1,-0.373932495,-0.916183386,-0.822270699,-0.987329749,-0.656675212,1,-0.41692972,-0.896878793,-0.527509069,-0.947727112,-0.959679743,-0.946288039,-0.974219796,-0.904009288,-0.988046933,-0.743946928,-0.377152614,-0.941715991,-0.942394754,-0.855982891,-0.496958534,-0.618745801,-0.983935932,-0.900956626,-0.722213385,-0.941223859,-0.892879174,-0.957007379,-0.802522875,-0.727958106,-0.933170633,-0.288929542,-0.849577864,-0.827773378,0.031455777,-0.954510773,-0.906313567,-0.937028482,-0.913698782,-0.931696759,-0.924230361,-0.81586376,-0.853574928,-1,-0.728790388,-0.75242274,-0.862142715,-0.319775033,-0.931547346,-0.16658947,-0.899741356,-0.928687148,0.560579638,-0.860752279,-0.871440161,-0.908993907,-0.926386182,-1,-0.906534644,-0.936141003,-0.927107635,-0.30384226,-0.945264536,-0.323273617,-0.952802461,-0.781673961,-0.690554195,-0.980123757,-0.956542063,-0.668157243,-0.544695657,-0.822360347,-0.951043652,-0.828486293,-0.754988524,-0.397801849,-0.738770503,-0.838179279,-0.853269493,-0.856559401,-0.84824266,-0.932567613,-0.72591075,-0.974339326,-0.951711497,-0.857186461,-0.933669015,-0.730289758,-0.631168515,-0.881232091
