,or2098,or2073,or4374,or4315,or4468,or4407,or2063,or4436,or2126,or2110,or4317,or2051,or2155,or4390,or2204,or4362,or4327,or2053,or2143,or4314,or4337
f321,-0.657693163,-0.568563655,-0.951370687,-0.899841805,0.459408546,-0.928108674,-0.285113136,-0.833483546,-0.568842005,-0.646997522,-0.983728985,-0.731954804,-0.272051161,-0.958407728,0.192963117,-0.378910888,-0.789369862,-0.732003096,0.040966336,-0.905235582,-0.926207268
f322,-0.598442735,-0.980237097,-0.737849057,-0.738348089,-0.534791134,-0.461850658,-0.732674413,-0.602467057,-0.9908149,-0.937176588,-0.80924943,-0.965723304,-0.703509917,-0.667653999,-0.889368073,-0.067578848,-0.476633892,-0.905813442,-0.949142374,-0.67818953,-0.660327696
f323,-1,-0.972450123,-0.821620603,-0.798302938,-0.503187455,-0.578854832,-0.852732887,-0.81258395,-0.980308801,-0.974163664,-0.832512847,-0.90435833,-0.995981956,-0.665620965,-0.979389664,-0.702421675,-0.531329933,-0.968146892,-0.403144319,-0.478687107,-0.835100519
f324,-1,-1,-0.896494875,-0.792089679,-0.354923778,-0.753675946,-1,-0.768479312,-0.883173676,-0.961970405,-0.884809216,-1,-0.974158879,-0.731814385,-1,-0.61374819,-0.631598183,-1,-0.966900312,-0.553793241,-0.74489696
f325,-0.727771997,-0.700305805,-0.807605596,-0.790209134,-0.423430926,-0.617644855,-0.697696315,-0.622709531,-0.777519991,-0.761352539,-0.920797881,-0.820628235,-0.697761553,-0.695183579,-0.557891156,-0.232087803,-0.427006573,-0.902881888,-0.286763429,-0.633344317,-0.768591405
f326,-0.901188408,-0.737216455,-0.4055743,-0.708701596,-0.668023701,-0.757178025,-0.75598916,-0.208537513,-0.778603949,-0.705956255,-0.637777014,-0.779874114,-0.853626272,-0.720891471,-0.6570468,-0.382481523,-0.34320765,-0.849426816,-0.628892071,-0.60367274,-0.417878623
f327,-0.9105449,-0.742984249,-0.948718588,-0.916525071,-0.409906722,-0.911606064,-0.764266728,-0.942011288,-0.782031518,-0.710440149,-0.933589218,-0.789745765,-0.859406498,-0.950300961,-0.683552632,-0.757096038,-0.848335145,-0.859640925,-0.626660622,-0.873079897,-0.956413282
f328,-0.723525003,-0.730345038,-0.827231675,-0.777583673,0.128735536,-0.680225848,-0.438080177,-0.754825374,-0.44779955,-0.563880172,-0.912767062,-0.782953207,-0.691574621,-0.835744058,-0.328366569,-0.555967485,-0.663407247,-0.812547876,-0.230044396,-0.654429302,-0.796524474
f329,-0.70336,-0.652,-0.910779678,-0.809097827,-0.432302838,-0.652006364,-0.26608,-0.905090681,-0.6904,-0.65232,-0.932816506,-0.688,-0.616,-0.721180246,-0.32288,-0.557879007,-0.25791294,-0.68,-0.13968,-0.203127723,-0.910460862
f330,-1,-1,-0.730458286,-0.852620948,-0.36048495,-0.695356975,-1,-0.757492247,-0.699530516,-0.940247546,-0.897573911,-1,-1,-0.789422022,-0.961587708,-0.258677384,-0.677635644,-1,-1,-0.626820585,-0.713999257
f331,-0.741935484,-0.849462366,-0.815876194,-0.899323931,-0.461287461,-0.558477201,-0.548387097,-0.939887723,-0.784946237,-0.11827957,-0.896159907,-0.870967742,-0.827956989,-0.651628023,-0.612903226,-0.100661972,-0.198619703,-0.849462366,-0.634408602,-0.648087024,-0.717154813
f332,-1,-1,-0.853904401,-0.867523842,-0.791527485,-0.908858874,-1,-0.855119916,-0.894736842,-0.824561404,-0.908043645,-1,-1,-0.888637547,-0.824561404,-0.822676278,-0.875158419,-1,-1,-0.882648869,-0.833066415
