,or2098,or2073,or4374,or4315,or4468,or4407,or2063,or4436,or2126,or2110,or4317,or2051,or2155,or4390,or2204,or4362,or4327,or2053,or2143,or4314,or4337
f1,-0.789431222,-0.757160145,-1,-1,-1,-1,-0.469947559,-1,-0.67970956,-0.573215006,-1,-0.783783784,-0.706333199,-1,-0.293263413,-1,-1,-0.753126261,-0.269060105,-1,-1
f2,-0.796116505,-0.758899676,-1,-1,-1,-1,-0.477346278,-1,-0.684466019,-1,-1,-0.784789644,-0.708737864,-1,-0.300970874,-1,-1,-0.753236246,-0.275889968,-1,-1
f3,-0.06305479,-0.374655647,-1,-1,-1,-1,-0.251300888,-1,-0.212121212,-0.486685032,-1,-0.415365779,-0.275788185,-1,-0.338230793,-1,-1,-0.444750536,-0.272727273,-1,-1
f4,-0.690217489,-0.743910761,-1,-1,-1,-1,-0.331839216,-1,-0.621744317,-0.708669051,-1,-0.794624668,-0.75430937,-1,-1,-1,-1,-0.857046591,-0.476575118,-1,-1
f5,-0.468032403,-0.523667877,-1,-1,-1,-1,-0.324310475,-1,-0.673308915,-1,-1,-0.684517336,-1,-1,-1,-1,-1,-0.557107792,-0.454551702,-1,-1
f6,-0.993573245,-0.990318055,-1,-1,-1,-1,-0.987355295,-1,-0.990466464,-0.981078755,-1,-0.992608199,-0.990798384,-1,-1,-1,-1,-0.992999999,-0.97726116,-1,-1
f7,-0.997059688,-0.993738866,-1,-1,-1,-1,-0.992164934,-1,-0.995831676,-0.996644586,-1,-0.99590086,-0.996246779,-1,-1,-1,-1,-0.998564436,-0.935866614,-1,-1
f8,-0.548701905,-0.664667496,-1,-1,-1,-1,-0.171029268,-1,-0.536183339,-0.688847071,-1,-0.704383212,-0.803293793,-1,-1,-1,-1,-0.787644746,-0.418887059,-1,-1
f9,-0.824587492,-0.838564159,-1,-1,-1,-1,-0.558580075,-1,-0.747708486,-0.785555839,-1,-0.882180308,-0.790459243,-1,-1,-1,-1,-0.92084519,-0.625346877,-1,-1
f10,-0.999662846,-0.998988537,-1,-1,-1,-1,-0.999325691,-1,-0.999325691,-0.999325691,-1,-0.998988537,-0.999325691,-1,-1,-1,-1,-0.999662846,-0.994268375,-1,-1
f11,0.234573661,0.10952992,-1,-1,-1,-1,0.051207279,-1,0.039076169,-0.095065905,-1,0.219643065,-0.321591042,-1,-1,-1,-1,0.25883588,-0.059139158,-1,-1
f12,-0.0586,0.048,-1,-1,-1,-1,0.0984,-1,0.109,0.2238,-1,-0.0462,0.418,-1,-1,-1,-1,-0.0794,0.19,-1,-1
f13,-0.997059688,-0.993738866,-1,-1,-1,-1,-0.992164934,-1,-0.995831676,-0.996644586,-1,-0.99590086,-0.996246779,-1,-1,-1,-1,-0.998564436,-0.935866614,-1,-1
f14,-1,-1,-1,-1,-1,-1,-0.987101449,-1,-0.874176548,-1,-1,-1,-0.998155468,-1,-1,-1,-1,-1,-0.980500659,-1,-1
f15,-0.674364167,-0.678662495,-1,-1,-1,-1,-0.574916064,-1,-0.704308722,-0.743113459,-1,-0.68481014,-0.926151756,-1,-1,-1,-1,-0.785907404,-0.670449922,-1,-1
f16,-0.848458711,-0.837820631,-1,-1,-1,-1,-0.729016491,-1,-0.751278418,-0.663832584,-1,-0.895919331,-0.873205594,-1,-1,-1,-1,-0.889737745,-0.723368862,-1,-1
f17,-0.448717512,-0.829108333,-0.992230521,-0.986001581,-0.989136302,-0.982130092,0.519769277,-0.972369786,-0.350857831,-0.740659241,-0.973865428,-0.938817545,-0.566676886,-0.981680534,-1,-0.973353237,-0.957448734,-0.923763781,-0.038770992,-0.968870324,-0.98372012
f18,-0.775980789,-0.82039922,-0.90468374,-0.868174362,-0.910348171,-0.858184377,-0.708047426,-0.904164753,-0.794074741,-0.744193306,-0.789092646,-0.936950323,-0.853168243,-0.751232213,-1,-0.958153768,-0.920311992,-0.955665616,-0.673042173,-0.896817385,-0.919025121
f19,-0.91967232,-0.962008122,-0.961077049,-0.952541105,-0.976076526,-0.96100148,-0.581903109,-0.965182323,-0.826841308,-0.948173212,-0.912071028,-0.93238051,-0.930045593,-0.933878408,-1,-0.984570228,-0.964078299,-0.98217734,-0.775447516,-0.964348599,-0.941274942
f20,-0.85246054,-0.858004736,-0.845581392,-0.815701554,-0.922949746,-0.891353229,-0.663230504,-0.881872209,-0.827901611,-0.832550734,-0.591908193,-0.88473366,-0.855382154,-0.771093662,-1,-0.935157085,-0.826648625,-0.960087446,-0.622637049,-0.863585374,-0.698971426
f21,-0.790474948,-0.934457203,-0.974413488,-0.993451546,-0.958816912,-0.984121863,-0.611800626,-0.976586507,-0.866722338,-0.863105428,-0.976273644,-0.86973382,-0.852296451,-0.98548736,-1,-0.996648682,-0.992713077,-0.919363257,-0.729201461,-0.986599104,-0.98205207
f22,-0.881233172,-0.742332221,-0.953832564,-0.969820328,-0.98364688,-0.970559209,-0.612318076,-0.965364197,-0.820002606,-0.627250394,-0.991293545,-0.896568731,-0.692069804,-0.988767206,-1,-1,-0.993319829,-0.894115166,-0.834134645,-0.980684654,-0.944651842
f23,-0.75786013,-0.845709694,-0.995722158,-0.997900592,-0.998359441,-0.997027827,-0.450641822,-0.994057021,-0.722668005,-0.829349405,-0.995356743,-0.889210602,-0.808750372,-0.998978803,-1,-0.999072216,-0.995568082,-0.965630318,-0.571802437,-0.997708949,-0.991122014
f24,-0.906948606,-0.886391109,-0.955893974,-0.984721898,-0.91708182,-0.989395595,-0.732870357,0.795695178,-0.792766471,-0.925580183,-0.966844396,-0.919197458,-0.914772373,-0.991779979,-1,-0.995407016,-0.906225891,-0.959691626,-0.78924317,-0.966742352,-0.93467958
f25,-0.94518294,-0.948122357,-0.971351231,-0.950439779,-0.9596606,-0.936342101,-0.733787539,-0.901632138,-0.794915701,-0.896788533,-0.906874677,-0.935383024,-0.830620973,-0.934832428,-1,-0.906133346,-0.850007042,-0.95504421,-0.724470089,-0.889848413,-0.941825144
f26,-0.692840815,-0.845087602,-0.992611774,-0.990324591,-0.993487199,-0.989640147,-0.518461377,-0.99276148,-0.73452128,-0.76280907,-0.985158314,-0.886509584,-0.867850306,-0.982478522,-1,-0.997083099,-0.99433765,-0.943553664,-0.370382636,-0.992496284,-0.993463457
f27,-0.843334547,-0.962701129,-0.996336123,-0.995763792,-0.997821387,-0.996426472,-0.835638879,-0.996565581,-0.968227157,-0.962424463,-0.992095469,-0.968387332,-0.955056425,-0.99423916,-1,-0.99860454,-0.99658274,-0.99434292,-0.935595195,-0.9967648,-0.994292337
f28,-0.743645411,-0.749036499,-0.837707784,-0.84045648,-0.863344134,-0.904486194,-0.32740962,0.734711668,-0.638119719,-0.654758452,-0.6473397,-0.799734267,-0.627997534,-0.811672128,-1,-0.944581953,-0.7773523,-0.798796384,-0.322334633,-0.861845453,-0.702508341
f29,-0.795467051,-0.708748966,-0.998243432,-0.997745254,-0.999064357,-1,-0.263323568,-1,-0.473383604,-0.637923561,-0.99369689,-0.789448121,-0.611573068,-0.976431113,-1,-1,-0.998495776,-0.794286628,-0.310909387,-0.999823321,-0.998336646
f30,-0.907168871,-0.931396198,-0.995039618,-0.995967059,-0.997108233,-0.993878549,-0.749360157,-0.99053509,-0.824974643,-0.882594689,-0.996597535,-0.921663224,-0.757768774,-0.989229104,-1,-0.984679202,-0.993490362,-0.941938501,-0.746574803,-0.991233566,-0.994997401
f31,-0.752436306,-0.755143312,-0.999393597,-0.997963442,-0.999779947,-0.999880516,-0.494355096,-0.998716413,-0.644175955,-0.626210191,-1,-0.840776274,-0.665262739,-0.999583734,-1,-1,-0.997997584,-0.862460191,-0.578479299,-0.99853537,-0.997123453
f32,-0.720207254,-0.769430052,-0.981770058,-0.970247412,-0.969033613,-0.984069815,-0.341968912,-0.97330046,-0.629533679,-0.720207254,-0.975375933,-0.803108808,-0.766839378,-0.95053108,-1,-0.978916471,-0.975627275,-0.857512953,-0.484455959,-0.966017337,-0.985105674
f33,-0.826689721,-0.83642817,-0.990001627,-0.98839594,-0.990055117,-0.98991136,-0.511884377,-0.983920192,-0.787251196,-0.816181398,-0.988629517,-0.86894401,-0.849435086,-0.968349013,-1,-0.978607231,-0.987046376,-0.909038371,-0.690807256,-0.983128947,-0.990554537
f34,0.129055166,0.336716607,-1,-1,-1,-1,0.401784013,-1,-1,0.244294333,-1,0.253612771,0.213891054,-1,-1,-1,-1,0.214318293,0.132103577,-1,-1
f35,-0.921364677,-0.827566281,-0.998544915,-0.999682549,-0.993020466,-1,-0.616670134,-1,-0.953308832,-0.758407877,-1,-0.923999723,-0.900561681,-0.99765317,-0.830016411,-0.985425916,-1,-0.868802441,-0.603864734,-0.999617905,-0.999975825
f36,-0.763868288,-0.789380006,-0.999921876,-0.977735644,-0.99655137,-1,-0.615544349,-1,-0.655295165,-0.550281815,-0.974075402,-0.794126372,-0.712844853,-1,-0.43636903,-1,-1,-0.838030258,-0.518243845,-0.999973836,-1
f37,-0.731967625,-0.859035835,-0.998766938,-0.997125203,-0.993250328,-0.997680919,-0.861593293,-1,-0.313374081,-0.823177581,-0.996131207,-0.715236684,-0.704394824,-0.993954754,-0.583838848,-0.998748155,-0.99134482,-0.811652398,-0.815307562,-0.976622423,-0.995604543
f38,-0.599581809,-0.584945112,-0.990829323,-0.998623596,-0.99725552,-0.999842749,-0.360167277,-0.998416196,-0.411395714,-0.319393623,-0.997208889,-0.686356508,-0.590172504,-1,-0.081024569,-0.996653267,-0.982776085,-0.714584422,-1,-0.997912257,-0.97611428
f39,-0.53653015,-0.781024902,-0.996327286,-0.99679926,-0.998115623,-0.996572308,-0.848116896,-0.995408169,0.147149619,-0.743568636,-0.99592248,-0.624408314,-0.625025725,-0.993019133,-0.507923441,-0.998233649,-0.996816803,-0.802016876,-1,-0.997550683,-0.995585617
f40,-0.623188406,-0.670289855,-0.835430756,-0.839559141,-0.877494276,-0.841152803,-0.31884058,-0.803734039,-0.485507246,-0.40942029,-0.795677764,-0.666666667,-0.384057971,-0.66784187,0.09057971,-0.907833223,-0.817887851,-0.778985507,-1,-0.770648637,-0.787911877
f41,-0.685763707,-0.597913827,-0.956492654,-0.954080272,-0.950230316,-0.955891028,-0.247877136,-0.957476613,-0.582084076,-0.510221197,-0.679978471,-0.681255897,-0.6128525,-0.87957038,-0.288290177,-0.991044458,-0.93421422,-0.665059231,-0.14964881,-0.929816917,-0.933093867
f42,-0.955545223,-0.946273935,-0.999349743,-0.998836019,-0.999501546,-0.998945845,-0.949473057,-0.999319788,-0.958880444,-0.954547054,-0.998323078,-0.9484534,-0.94878197,-0.999235371,-0.961701477,-0.999772731,-0.999293851,-0.949852393,-0.954671319,-0.999403613,-0.998539454
f43,-0.812165872,-0.817945384,-0.99732268,-0.996683446,-0.99760278,-0.99699004,-0.81751192,-0.996367621,-0.815537254,-0.820353513,-0.995166726,-0.818908636,-0.811106295,-0.993423274,-0.814092376,-0.996571154,-0.996737075,-0.817945384,-0.814574002,-0.9961076,-0.99644349
f44,-0.984988059,-0.95769362,-0.991854427,-0.985908769,-0.988530483,-0.981900441,-0.946093483,-0.972031516,-0.991811668,-0.935516888,-0.973522103,-0.979529171,-0.969293756,-0.981471203,-0.949164108,-0.973311324,-0.957353189,-0.944046401,-0.920163767,-0.968681103,-0.983459409
f45,-0.072980501,-0.020612813,-0.992719694,-0.99046592,-0.993582332,-0.989791474,-0.311197772,-0.992867213,-0.191532033,-0.23454039,-0.985375107,-0.024623955,-0.287130919,-0.982734459,-0.37091922,-0.997125706,-0.99442036,0.051587744,-0.177270195,-0.992605891,-0.993558937
f46,0.387931034,0.312260536,-0.993293995,-0.992246456,-0.996012479,-0.993459362,0.616618774,-0.993713973,0.519875479,0.52658046,-0.985532315,0.332136015,0.607279693,-0.989455919,0.682950192,-0.997445886,-0.993745379,0.225574713,0.454741379,-0.994078605,-0.989553248
f47,-0.737777525,-0.525978082,-0.936640453,-0.937713555,-0.946648989,-0.962711018,-0.43399012,-0.322761443,-0.913576742,-0.744705014,-0.862319971,-0.625347794,-0.895292715,-0.926476026,-0.752086764,-0.978364567,-0.913077424,-0.518028505,-0.671796037,-0.946063898,-0.883858035
f48,-0.713077892,-0.405828386,-0.996377345,-0.986627278,-0.995451708,-0.993521129,-0.228818133,-0.975654392,-0.873358518,-0.703004137,-0.98410072,-0.547220723,-0.84367692,-0.999257582,-0.649217485,-0.981784843,-0.984067049,-0.346824969,-0.537326857,-0.975189974,-0.993237119
f49,-0.746354697,-0.721939641,-0.994773823,-0.993009743,-0.993323331,-0.993169166,-0.815530688,-0.990124771,-0.982366904,-0.911156324,-0.992903917,-0.833163784,-0.97965412,-0.981290935,-0.948457104,-0.987331468,-0.991731227,-0.859613428,-0.950491692,-0.988611187,-0.994581238
f50,-0.850450847,-0.797228942,-0.984845176,-0.980642567,-0.971252778,-0.991378883,-0.813063558,-0.981760171,-0.986364636,-0.79502969,-0.976293208,-0.764240158,-0.98988344,-0.949450708,-0.930943479,-0.967769842,-0.974952856,-0.821420717,-0.89223664,-0.973668007,-0.979281752
f51,-0.675408156,-0.410115609,-0.990786977,-0.981950325,-0.990947934,-0.986120305,-0.339844634,-0.976688356,-0.644769071,-0.48369381,-0.97557005,-0.601051371,-0.69483687,-0.983542427,-0.441377269,-0.984832873,-0.983901715,-0.329562821,-0.392234235,-0.976127892,-0.989405093
f52,-0.80931027,-0.373601098,-0.985423232,-0.981942899,-0.986948249,-0.983612163,-0.203182678,-0.980223377,-0.724920832,-0.341993675,-0.97368506,-0.700909061,-0.515631066,-0.964192774,-0.466420164,-0.981331523,-0.982234887,-0.239645904,-0.313875979,-0.978807687,-0.980636449
f53,-0.581966766,-0.331481085,-0.804034311,-0.784161314,-0.758787251,-0.872029906,-0.639952898,0.40943529,-0.211901087,-0.87426666,-0.618138536,-0.773529629,-0.937410381,-0.615469307,-0.586028862,-0.804118212,-0.710867032,-0.555346561,-0.888137097,-0.769157468,-0.674443023
f54,-0.749441754,-0.848055219,-0.321459988,-0.291389564,-0.145070157,-0.214266816,-0.76245772,-0.880023527,-0.966879277,-0.782580509,0.168238816,-0.634381165,-0.984279045,-0.410304958,-0.676941565,-0.340653852,-0.398390955,-0.736056885,-0.616996397,1,-0.428360371
f55,-0.638643068,-0.468969821,-1,-1,-1,-1,-0.403335602,-1,-0.885693215,-0.7398457,-1,-0.576242342,-0.920297254,-1,-0.701213978,-1,-1,-0.55377808,-0.658554572,-1,-1
f56,-0.811548061,-0.574572994,-1,-1,0.019585252,-1,-0.237372071,-1,-0.993599733,-0.773569804,-1,-0.740900449,-0.993599733,-1,-0.573216896,-1,-1,-0.577617045,-0.301413929,-1,-1
f57,-0.690039498,-0.446689071,-1,-1,-1,-1,-0.305953707,-1,-0.704398009,-0.658046867,-1,-0.530902601,-0.892098886,-1,-0.576310699,-1,-1,-0.562590052,-0.402364184,-1,-1
f58,-0.723571376,-0.540806782,-1,-1,-1,-1,-0.268911388,-0.942899565,-0.623279267,-0.616095886,-1,-0.634445714,-1,-1,-0.534234883,-1,-1,-0.608288857,-0.432157047,-1,-1
f59,-0.687507461,-0.424429405,-0.930043275,-0.960053482,-0.902301758,-0.979943407,-0.39684347,-0.992773717,-0.733220343,-0.685012196,-0.962471132,-0.529737509,-1,-0.993242526,0.061395945,-0.977259032,-0.891784005,-0.601420147,-0.139002838,-0.928012305,-0.954107481
f60,-0.821234266,-0.356971571,-0.930043275,-0.960053482,-0.897204458,-0.979943407,-0.473299956,-0.991272152,-1,-0.733163816,-0.962471132,-0.923321594,-1,-0.993242526,-0.468883701,-0.977259032,-0.891784005,-0.922053318,0.171982841,-0.928012305,-0.954107481
f61,-0.706809761,-0.582068314,-0.301888472,-0.739512195,-0.015293082,-0.745333153,-0.327059016,-0.419848985,-0.465699475,-0.468145658,-0.915205793,-0.575799694,-0.481226054,-0.515128651,-0.257457449,0.33517228,-0.184247317,-0.576666039,-0.286720915,-0.258925166,-0.605972797
f62,-0.575325234,-0.440125317,-0.709825515,-1,-0.934856209,-0.956677556,0.547653234,-0.812896586,0.287476737,-0.30858072,-0.949513561,-0.554219268,-0.410550263,-1,0.046877719,-0.794848755,-0.967071268,-0.617084511,0.400360164,-0.963230363,-0.818715364
f63,-0.630494341,-0.462177584,-0.471208571,-0.687172414,-0.47942158,-0.754498169,0.390516496,-0.518930956,0.371836666,-0.347934264,-0.602370691,-0.499867739,-0.507943323,-0.599004621,-0.154179579,0.108374386,-0.25042829,-0.56594398,0.442569434,-0.3484083,-0.637418914
f64,-0.715045408,-0.655734989,-1,-1,-0.762096778,-1,-0.262603823,-0.947438757,-0.49140413,-0.49447398,-1,-0.770285987,-0.509376747,-1,-0.098284057,-1,-1,-0.737473615,-0.018840095,-0.932859172,-1
f65,-0.755357194,-0.620213368,-0.348888192,-0.707354839,-0.372528616,-0.746981439,-0.555517654,-0.425820822,-0.89659273,-0.872095636,-0.600806453,-0.888630194,-0.931753805,-0.624875291,-0.829172217,0.147465437,-0.281035545,-0.921814871,-0.777141691,-0.340889277,-0.563078889
f66,-0.51558669,-0.252189142,-0.870760767,-1,-0.969209615,-0.990515051,-0.109281961,-0.943417762,-0.640455342,-0.637127846,-0.990820037,-0.642206655,-0.776357268,-0.996703738,-0.673730298,-0.887602496,-0.984224055,-0.631348511,-0.599824869,-0.936026518,-0.940574962
f67,-0.82176082,-0.919778886,-0.362639919,-0.694215523,-0.355036732,-0.69988255,-0.904004314,-0.403056855,-0.990697047,-0.88742079,-0.659005956,-0.955912094,-0.96979911,-0.625880905,-1,0.167064626,-0.027669243,-0.952945935,-0.961170284,-0.321548626,-0.672182328
f68,-0.871538716,-0.87965469,-0.964307755,-1,-0.978650016,-1,-0.622257193,-0.941604338,-0.78653283,-0.711174759,-0.973627163,-0.850153914,-0.694506811,-1,-1,-0.882741536,-1,-0.848964644,-0.201381448,-0.9259984,-1
f69,-0.785522806,-0.707661042,-1,-1,-1,-1,-0.475228477,-1,-0.740487221,-0.712122837,-1,-0.816918858,-0.8032204,-1,-0.707014296,-1,-1,-0.854919955,-0.563406889,-1,-1
f70,-0.781363101,-0.69813882,-1,-1,-0.983218354,-1,-0.57381767,-1,-0.654672039,-0.693003382,-1,-0.82390337,-0.762333021,-1,-0.726321348,-1,-1,-0.867742513,-0.464266161,-1,-1
f71,-0.861497415,-0.720850976,-1,-1,-1,-1,-0.489023512,-1,-0.799458613,-0.7725716,-1,-0.854031223,-0.880508132,-1,-0.74832071,-1,-1,-0.924449401,-0.36420354,-1,-1
f72,-0.740017438,-0.717280484,-1,-1,-1,-1,-0.414132956,-0.796197972,-0.711407165,-0.6348607,-1,-0.805098244,-0.749430489,-1,-0.68674577,-1,-1,-0.843350967,-0.487339687,-1,-1
f73,-0.700866519,-0.556893104,-0.193655135,-0.746927968,-0.40039917,-0.73156301,0.081467543,-0.441737282,-0.370476457,-0.577062435,-0.69424673,-0.770720931,-0.493943812,-0.683403513,-1,0.221902845,-0.161926975,-0.795025565,-0.171823234,-0.291645178,-0.603044007
f74,-0.864971369,-0.825359909,-0.193655135,-0.746927968,-0.397770493,-0.73156301,-0.48668904,-0.377175302,-0.75273687,-0.816650269,-0.69424673,-0.869151161,-0.780625569,-0.683403513,-1,0.221902845,-0.161926975,-0.883346913,-0.65950086,-0.291645178,-0.603044007
f75,-0.835848819,-0.768210551,-1,-1,-1,-1,-0.417300242,-1,-0.685839461,-0.712098296,-1,-0.80631887,-0.733565736,-1,-1,-1,-1,-0.802434355,-0.517928795,-1,-1
f76,-0.617977528,-0.685393258,-0.889695839,-1,-1,-0.08601607,-0.168539326,-0.855407857,-0.101123596,-0.505617978,-1,-0.775280899,-0.123595506,-1,-0.168539326,-1,-1,-0.797752809,0.775280899,-0.722950742,-1
f77,-0.762470309,-0.617577197,-1,-1,-1,-1,-0.296912114,-1,-0.342042755,-0.501187648,-1,-0.762470309,-0.662707838,-1,-0.16152019,-1,-1,-0.686460808,-0.102137767,-1,-1
f78,-0.732247852,-0.825418363,-1,-1,-1,-1,-0.647218453,-1,-0.603799186,-0.568521031,-1,-0.899592944,-0.659882406,-1,-0.656264134,-1,-1,-0.838082316,-0.436454093,-1,-1
f79,-0.811320755,-0.830188679,-0.946046321,-0.829578313,-0.616571123,-0.263175607,-0.650943396,-0.977309013,-0.245283019,-0.575471698,-1,-0.773584906,-0.518867925,-0.948721001,-0.339622642,-0.950994454,-0.45253626,-0.830188679,0.179245283,-0.300844916,-0.813536324
f80,-0.725118062,-1,-0.94467342,-0.833343152,-0.62504157,-0.258200936,-0.17801892,-0.974448209,0.366504315,-0.403366445,-1,-0.838221143,-0.158507158,-0.949853821,-1,-0.952077051,-0.464630451,-0.825963375,-1,-0.309848179,-0.817655551
f81,-0.703980611,-0.701968585,-0.902030014,-0.757818182,-0.439393936,0.32290502,-0.359512541,-0.88013768,-0.405309006,-0.409195875,-1,-0.727896289,-0.594370899,-0.506820785,-0.191668381,-0.733044732,-0.760046322,-0.709170725,-0.260420239,-0.483253588,-0.733573361
f82,-0.596210605,-0.667090413,-1,-0.71962227,-0.91625516,-0.112398253,-0.264340117,-1,-0.437162155,-0.44686778,-1,-0.673789284,-0.532339188,-0.875102189,-0.083271614,-0.938188331,-0.801572724,-0.682942197,-0.262615655,0.063547573,-0.563034346
f83,-0.636894248,-0.581752554,-0.881692925,-0.672095808,-0.517577746,-0.118723444,-0.287458721,-0.851966447,0.144458951,-0.196528684,-1,-0.352891483,-0.389294217,-0.568560472,0.045849013,-0.595570764,-0.316983868,-0.478227479,-0.0312572,-0.294043491,-0.75138831
f84,-0.729593173,-1,-0.504160891,-1,-0.987519201,0.245011965,-0.231933611,-0.586382437,0.22829787,-0.355185613,-1,-0.806393948,-0.08852046,-1,-1,-1,-1,-0.765786011,-1,-0.207478161,-1
f85,-0.707317073,-0.739837398,-0.803648397,-0.661704036,-0.577426587,0.18736378,-0.495934959,-0.795260021,-0.479674797,-0.577235772,-1,-0.772357724,-0.62601626,-0.612490305,-0.333333333,-0.649797139,-0.386364285,-0.739837398,-0.447154472,-0.00618107,-0.69053856
f86,-0.54248366,-0.647058824,-1,-0.985681711,-0.993955625,-0.953767944,-0.281045752,-1,-0.320261438,-0.450980392,-1,-0.673202614,-0.503267974,-0.990535925,-0.032679739,-0.994273143,-0.995009974,-0.647058824,-0.189542484,-0.888888375,-0.970197661
f87,-0.738216092,-0.880042431,-0.902923208,-0.730586285,-0.54729091,-0.067866712,-0.459304941,-0.845570858,-0.735255678,-0.576262583,-1,-0.895522297,-0.528953703,-0.534834264,-0.344775811,-0.668227379,-0.313184414,-0.893188008,-0.315317561,-0.135449863,-0.789750089
f88,-0.752129653,-0.794843967,-0.860635863,-0.997381162,-0.926433174,-0.349679614,-0.573590488,-0.810440451,0.417466486,-0.628994804,-1,-0.703461406,-0.530379002,-0.980951175,-0.13865024,-0.91686229,-0.996663902,-0.659467784,-0.413016194,-0.547756842,-1
f89,-0.861872465,-1,-1,-1,-1,-1,-0.421778092,-1,-0.476518921,-0.413753086,-1,-0.901712841,-0.425380038,-1,0.276753212,-1,-1,-0.791601662,-0.103421849,-1,-1
f90,-0.431290134,-1,-0.8127974,-1,-1,-0.034475671,-0.292536069,-0.745371791,0.459544658,-0.279176049,-1,-0.656192144,0.207822534,-1,-1,-1,-1,-0.706413143,-1,-0.585921994,-1
f91,-0.729728284,-0.817148284,-1,-1,-1,-1,-0.767727093,-1,-0.194655289,-0.723468712,-1,-0.828035658,-0.718840909,-1,-0.646387706,-1,-1,-0.863693816,-1,-1,-1
f92,-0.962121212,-0.545454545,-1,-1,-1,-1,-0.5,-1,-0.916666667,-0.772727273,-1,-0.772727273,-0.886363636,-1,-1,-1,-1,-0.962121212,-0.537878788,-1,-1
f93,-0.820369901,-0.788700279,-0.922230006,-0.71180989,-0.592470205,-0.034808677,-0.409171523,-0.876283989,-0.791993919,-0.819356473,-1,-0.866480872,-0.750950089,-0.576100055,-0.411451735,-0.689057521,-0.424083622,-0.883709146,-0.772738789,0.278534446,-0.682034568
f94,-0.764413296,-0.806893147,-0.894706084,-0.71180989,-0.592470205,0.107149921,-0.69556412,-0.838846651,-0.857409973,-0.877086391,-1,-0.886750877,-0.78851508,-0.576100055,-1,-0.689057521,-0.424083622,-0.913312212,-1,0.339415287,-0.682034568
f95,-0.955307263,-0.575418994,-0.706520825,-0.900513709,-0.825907888,-0.697664595,-0.173184358,-0.877158476,-0.675977654,-0.899441341,-0.891429173,-0.530726257,-0.910614525,-0.605754815,0.251396648,-0.634857647,-0.88591649,-0.709497207,-0.061452514,-0.849447534,-0.918137052
f96,-0.138686131,-0.854014599,-0.776515845,-0.111855346,-0.79167512,-0.709585046,-0.693430657,-0.795359359,-0.708029197,-0.912408759,-0.421531054,-0.503649635,-0.080291971,-0.581854662,-1,-0.159628631,-0.590449866,-0.167883212,-1,-0.78443687,-0.789816718
f97,-0.886995516,-0.788340807,-0.815863733,-0.271389773,-0.796909464,-0.761956957,-0.45470852,-0.83226318,-0.678923767,-0.476233184,-0.525849112,-0.748878924,-0.673542601,-0.657260801,-0.207174888,0.088140997,-0.656294201,-0.87264574,-0.269955157,-0.757778681,-0.827720069
f98,-0.754197382,-0.654076856,-0.999058352,-1,-0.999923316,-1,0.025899039,-0.999796694,-0.058132691,-0.396403846,-0.999391717,-0.598186507,-0.281161533,-1,0.276116265,-1,-0.999834121,-0.71721277,0.160915996,-0.999767034,-0.996367052
f99,-0.737291722,-0.677794957,-0.963673896,-0.864526003,-0.990289994,-1,-0.225332769,-0.99204169,-0.432241235,-0.475412668,-0.976534153,-0.75275328,-0.607811974,-1,-0.079907749,-1,-0.919054427,-0.781897021,-0.286056093,-0.964051338,-0.859851187
f100,-0.772486772,-0.666666667,-0.898299822,-1,-0.97088241,-0.765892124,-0.555555556,-1,-0.666666667,-0.82010582,-0.854554219,-0.759259259,-0.391534392,-1,-0.526455026,-0.464246222,-0.97228,-0.751322751,-0.412698413,-0.966983099,-0.900574958
f101,-0.671891528,-0.651440844,-0.4749548,-0.265779432,-0.57913789,-0.328740743,-0.397292475,-0.830632635,-0.811904991,-0.681935229,-0.485996306,-0.803485378,-0.626459809,-0.758478486,-0.370644613,-0.091995081,-0.335014665,-0.755873962,-0.455075809,0.016250722,-0.467428325
f102,-0.600108372,-0.646273196,-0.829153657,-0.931565082,-0.703139051,-0.747815666,-0.230263183,-0.630366954,-0.464430037,-0.537802267,-0.933077351,-0.590797562,-0.52946833,-0.639298795,-0.259012215,-0.096662095,-0.65128704,-0.676571485,-0.199423035,-0.960239973,-0.968078994
f103,-0.9610862,-0.938884886,-0.61818632,-0.606927163,-0.604679501,-0.466442629,-0.922512215,-0.685035202,-0.951510514,-0.960298454,-0.67922668,-0.96322385,-0.965543177,-0.656333699,-0.943697333,0.128661625,-0.455863272,-0.971112254,-0.914572864,-0.483191707,-0.70318917
f104,-0.75249349,-0.688273494,-0.72334466,-1,-0.930362903,-0.305340782,-0.550852547,-1,-0.795406413,-0.746342149,-0.88126875,-0.797913817,-0.618886373,-1,-0.445729066,0.315809524,-0.8944,-0.840592403,-0.320669383,-0.911561878,-0.658019802
f105,-0.782846847,-0.729681682,-0.493227676,-0.491641259,-0.694965233,-0.503001231,-0.570234234,-0.150848428,-0.735951952,-0.778102102,-0.432635333,-0.795471471,-0.433993994,-0.563265686,-0.23027027,-0.315560085,-0.398665729,-0.81803003,-0.318654655,-0.397393621,-0.505662469
f106,-0.687189405,-0.439324774,-0.762292281,-0.910458898,-0.905975826,-0.774896671,-0.214056877,-0.373187359,-0.496771914,-0.673517853,-0.795967541,-0.594224304,-0.763140604,-0.84614931,-0.514807069,-0.631353599,-0.696230386,-0.519276591,-0.43858979,-0.980098439,-0.949208327
