,or2228,or2334,or3469,or4334,or1995,or4411,or4333,or1205,or4412,or3680,or2123,or757,or4486,or285,or1134,or2738,or4413,or2900,or1417,or4379,or4360,or2099,or636,or4249,or2548,or356,or2115,or1416,or2052,or2065,or1133,or2128,or4380,or2066,or4293,or4492,or4332,or2112,or4259,or3398,or2057,or2124,or2147,or4392,or3115,or191,or474,or922,or4322,or2337,or3021,or2,or2222,or2549,or2086,or2617,or4256,or639,or4358,or2266,or2831,or1885,or1983,or4399,or2068,or70,or2620,or2148,or4376,or3186,or2029,or4149,or4387,or2832,or4247,or2135,or4363,or2094,or4316,or4321,or568,or1992,or1985,or353,or284,or2096
f11,-0.201679692,-1,-1,-1,0.038842879,-1,-1,0.649130993,-1,-1,0.256036393,0.846212825,-1,0.267914932,0.112096116,-1,-1,-1,0.013180917,-1,-1,0.191414907,0.531085968,-1,-1,0.6810918,0.095299195,-0.591974805,-0.235973405,0.365916249,-0.568412458,0.019348406,-1,-0.340487577,-1,-1,-1,0.056572962,-1,-1,0.064738131,0.346553132,0.108830048,-1,-1,0.349352619,0.776859279,0.692523037,-1,-1,-1,0.31732854,0.092180719,-1,0.231774175,-1,-1,0.712819316,-1,-1,-1,-0.292429721,-0.113029278,-1,0.776740931,0.503324391,-1,0.193281232,-1,-1,-0.068937361,-1,-1,-1,-1,0.022512539,-1,0.54229681,-1,-1,0.196015343,0.212411058,0.038842879,0.541117462,-0.49492593,-0.245305027
f12,0.3122,-1,-1,-1,0.1092,-1,-1,-0.414,-1,-1,-0.0768,-0.45960293,-1,-0.023966942,0.0408,-1,-1,-1,0.1268,-1,-1,-0.0224,-0.3134,-1,-1,-0.4414,0.061,0.6418,0.3422,-0.1716,0.6206,0.126312631,-1,0.4286,-1,-1,-1,0.0884,-1,-1,0.0858,-0.1566,0.02,-1,-1,-0.1574,-0.510417715,-0.4512,-1,-1,-1,-0.128744615,0.103061224,-1,-0.058,-1,-1,-0.4686,-1,-1,-1,0.3926,0.2378,-1,-0.5232,-0.2902,-1,-0.0254,-1,-1,0.1982,-1,-1,-1,-1,0.122,-1,-0.312562814,-1,-1,0.040239992,-0.04,0.061,-0.3222,0.5592,0.3516
f13,-0.970648771,-1,-1,-1,-0.998235813,-1,-1,-0.997716934,-1,-1,-0.999878928,-0.996584513,-1,-0.924955584,-0.853416815,-1,-1,-1,-0.892315409,-1,-1,-0.990591003,-0.994499888,-1,-1,-0.998270405,-0.99991352,-0.409931335,-0.990781258,-0.9987201,-0.362350174,-0.999792428,-1,-0.992286006,-1,-1,-1,-0.977117457,-1,-1,-0.9957279,-0.993531314,-0.911652282,-1,-1,-0.994811215,-0.996518178,-0.997111576,-1,-1,-1,-0.925485834,-0.987681047,-1,-0.994136673,-1,-1,-0.997647751,-1,-1,-1,-0.976425619,-0.956448795,-1,-0.99944653,-0.99308162,-1,-0.992337894,-1,-1,-0.966411263,-1,-1,-1,-1,-0.99799367,-1,-0.998557222,-1,-1,-0.93022219,-0.999066019,-0.770776761,-0.99308162,-0.517442967,-0.997872598
f14,-0.902147563,-1,-1,-1,-0.20342556,-1,-1,-0.993412385,-1,-1,0.201963109,-0.994992321,-1,0.028974619,-0.420434783,-1,-1,-1,-0.130619236,-1,-1,-0.999881423,-1,-1,-1,-0.990777339,-0.990935441,-0.457180501,-0.899064559,-0.990750988,-0.402766798,-1,-1,-0.999354414,-1,-1,-1,-0.93599473,-1,-1,-0.969907773,-1,-0.979038208,-1,-1,-0.997364954,-0.994695428,-0.987918314,-1,-1,-1,-0.094458655,-0.980116157,-1,-0.999051383,-1,-1,-0.986482213,-1,-1,-1,-1,-0.230039526,-1,-0.994031621,-1,-1,-0.99969697,-1,-1,-0.931949934,-1,-1,-1,-1,-0.999525692,-1,-0.999006892,-1,-1,-0.101843701,-1,0.008063241,-1,-0.173913043,-1
f15,-0.92386967,-1,-1,-1,-0.874530088,-1,-1,-0.255842871,-1,-1,-0.96676176,-8.69E-06,-1,-0.088763542,-0.231708245,-1,-1,-1,-0.395355379,-1,-1,-0.842605612,-0.631200823,-1,-1,-0.240489601,-0.901337064,-0.363368307,-0.938413042,-0.955601718,-0.328552776,-0.919146716,-1,-0.982931882,-1,-1,-1,-0.906078208,-1,-1,-0.931785487,-0.867424168,-0.963545356,-1,-1,-0.755330696,-0.037477663,-0.197052685,-1,-1,-1,-0.126464385,-0.952666629,-1,-0.885211765,-1,-1,-0.163312897,-1,-1,-1,-0.425190196,-0.479683599,-1,-0.87237706,-0.743043134,-1,-0.898124524,-1,-1,-0.779702571,-1,-1,-1,-1,-0.959484278,-1,-0.896539984,-1,-1,-0.113599331,-0.96374242,-0.910106828,-0.629132031,-0.230597728,-0.972613421
f16,0.48333436,-1,-1,-1,0.116895652,-1,-1,-0.873205594,-1,-1,-0.92504056,-0.684675999,-1,-0.138641103,-0.107161194,-1,-1,-1,-0.162384737,-1,-1,-0.807980613,-0.858028875,-1,-1,-0.876779003,-0.912923829,0.855749286,-0.888526072,-0.962273838,0.867640113,-0.847354994,-1,-0.945762225,-1,-1,-1,-0.727804818,-1,-1,-0.913950671,-0.865750724,-0.868215144,-1,-1,-0.765880106,-0.683730708,-0.873924383,-1,-1,-1,-0.193423659,0.114311783,-1,-0.927587128,-1,-1,-0.840202904,-1,-1,-1,-0.289507732,-0.143100651,-1,-0.855605529,-0.864456903,-1,-0.939190438,-1,-1,0.092559505,-1,-1,-1,-1,-0.957488756,-1,-0.968111149,-1,-1,-0.143856044,-0.794734356,-0.519664017,-0.854188487,0.735362372,-0.984248249
f17,-0.643328678,-0.985232247,-0.984290793,-0.992255115,-0.672323466,-0.995231473,-0.987825293,-0.846921234,-0.997900844,-0.991669771,-0.936271872,-0.854946246,-0.991173747,-0.605877715,-0.35996412,-0.980670566,-0.985094422,-0.989046397,-0.361431118,-0.996237201,-0.991923308,-0.261459504,-0.895686435,-0.996562744,-0.982391248,-0.788579669,-0.922069694,0.058600447,-0.938065879,-0.802261811,0.043330949,-0.874266134,-0.9977833,-0.961126818,-1,-0.989748275,-0.985851068,-0.856865484,-0.991886932,-0.992431649,-0.860158281,-0.960113999,-0.749947202,-0.998827531,-0.989107855,-0.892132484,-0.850740364,-0.779128203,-0.994530357,-0.98147379,-0.979824244,-0.354293135,-0.24657958,-0.988550596,-0.931366738,-0.988965035,-0.992490771,-0.769853868,-0.996229656,-0.989704208,-0.982630479,-0.366063744,-0.431027239,-0.99691329,-0.10412281,-0.923470836,-0.976303859,-0.8709632,-0.997045843,-0.988178978,-0.800667643,-0.982818061,-0.99722311,-0.98866797,-0.986098243,-0.952190846,-0.987559178,-0.705372476,-0.993504711,-0.995505102,-0.934224618,-0.910653904,-0.937321025,-0.885773978,-0.033734146,-0.958249594
f18,-0.791931562,-0.686018409,-0.863830467,-0.951232306,-0.920744409,-0.872159366,-0.96207603,-0.88641753,-0.939152388,-0.973346538,-0.974503977,-0.873499806,-0.788772837,-0.564326495,-0.559621792,-0.954486021,-0.753997576,-0.778664368,-0.563686027,-0.860953047,-0.878967573,-0.87019961,-0.926390515,-0.86936967,-0.932929311,-0.89974486,-0.963926159,0.731757467,-0.926276452,-0.98510881,0.747879334,-0.959482666,-0.895366062,-0.945892241,-1,-0.859819227,-0.887574037,-0.973051178,-0.914908807,-0.895074662,-0.951505328,-0.961275702,-0.975659613,-0.95689084,-0.805740973,-0.954374906,-0.892139972,-0.888260543,-0.873693259,-0.723373237,-0.952493232,-0.583780698,-0.728148441,-0.712877036,-0.935869728,-0.777020322,-0.87717653,-0.88445445,-0.973390521,-0.588386436,-0.933840529,-0.021230677,-0.551730452,-0.938417192,-0.962902596,-0.955275401,-0.773947833,-0.958475161,-0.893724937,-0.864571609,-0.833594477,-0.918544503,-0.795531534,-0.715820481,-0.899902422,-0.990625844,-0.801498846,-0.979929665,-0.890602066,-0.843910378,-0.56374061,-0.9819991,-0.916358997,-0.927960378,0.76767222,-0.983427885
f19,-0.936407835,-0.90220022,-0.933732059,-0.966181307,-0.957091526,-0.956389666,-0.974930585,-0.930562394,-0.979130114,-0.993814222,-0.990094642,-0.967904717,-0.94440466,-0.91438591,-0.887153414,-0.94287493,-0.941809942,-0.918226662,-0.875539353,-0.945315094,-0.968146184,-0.937820891,-0.947861269,-0.920335142,-0.981668566,-0.93365389,-0.97831297,0.80275185,-0.98372076,-0.992455167,0.611456227,-0.962255765,-0.971229456,-0.994338465,-1,-0.955022264,-0.94965515,-0.963933323,-0.967828563,-0.9586467,-0.987666607,-0.990541605,-0.986768025,-0.984483153,-0.937302326,-0.976022283,-0.965555485,-0.924640131,-0.93817776,-0.869800305,-0.940373759,-0.954285642,-0.944694947,-0.916721528,-0.987440798,-0.917619263,-0.96244234,-0.929999034,-0.990876437,-0.884573672,-0.981917616,-0.492331204,-0.846989574,-0.978869274,-0.991072374,-0.985566811,-0.87564489,-0.987983206,-0.972374825,-0.924678711,-0.925906526,-0.976817335,-0.940629384,-0.917575258,-0.965279787,-0.974001637,-0.940578059,-0.992028874,-0.939705355,-0.945686227,-0.90752803,-0.990860532,-0.986360637,-0.952277359,0.355788582,-0.993081381
f20,-0.873974607,-0.549923219,-0.713814873,-0.818764001,-0.908334882,-0.829409114,-0.838823317,-0.900931845,-0.864475772,-0.991536625,-0.978752637,-0.870495389,-0.862359452,-0.654556435,-0.632060566,-0.763471546,-0.844782335,-0.655209562,-0.690498897,-0.74879347,-0.8583646,-0.875912247,-0.912689016,-0.817405767,-0.953471748,-0.891096151,-0.943830668,0.551673765,-0.954466472,-0.984725174,0.583425602,-0.969055281,-0.83723251,-0.988050884,-1,-0.848592025,-0.688474972,-0.966241827,-0.887915189,-0.893987437,-0.972412372,-0.958499349,-0.91864539,-0.934737091,-0.840422045,-0.975350149,-0.884282548,-0.905310224,-0.733751786,-0.549042081,-0.753115359,-0.654245153,-0.906437363,-0.778859032,-0.948190863,-0.652648513,-0.779462045,-0.894646133,-0.960583555,-0.750175867,-0.954103878,-0.369594207,-0.596425368,-0.912283857,-0.971448603,-0.948477771,-0.457909914,-0.954559414,-0.885813376,-0.617574071,-0.876546677,-0.941613084,-0.775637148,-0.781126061,-0.919661949,-0.979182999,-0.869072015,-0.972101137,-0.770649134,-0.728304379,-0.648657683,-0.987121463,-0.957889165,-0.912715282,0.37736093,-0.986848698
f21,-0.857635699,-0.985990744,-0.998698438,-0.997089563,-0.911377871,-0.984460436,-0.956725972,-0.840965553,-0.959408583,-0.948798931,-0.985709812,-0.88071018,-0.982761794,-0.663555272,-0.735553236,-0.964155242,-0.994064728,-0.982676126,-0.742797495,-0.995896205,-0.993691687,-0.945109603,-0.905469729,-0.968822513,-0.937320465,-0.831419624,-0.976539666,0.623444676,-0.9759238,-0.972447808,0.53506785,-0.976004907,-0.984383875,-0.98210334,-1,-0.986130503,-0.976004775,-0.987734864,-0.999227005,-0.996389483,-0.98210334,-0.976435282,-0.911826722,-0.999889337,-0.98327206,-0.956158664,-0.874444852,-0.83802714,-0.998571315,-0.992410573,-0.962585812,-0.655399539,-0.952505219,-0.994797913,-0.979582463,-0.982547447,-0.989466923,-0.83874739,-0.99419332,-0.985834126,-0.938172025,-0.32473904,-0.669592902,-0.999379244,-0.971341336,-0.904488518,-0.998654343,-0.981748434,-0.993174607,-0.995460855,-0.929227557,-0.965155655,-0.986751869,-0.994851242,-0.990261221,-0.98954071,-0.982346689,-0.987017551,-0.999701481,-0.99588324,-0.69279729,-0.995960334,-0.978736952,-0.900313152,0.595511482,-0.992077244
f22,-0.863261039,-0.979937083,-0.996736414,-0.987347292,-0.764240604,-0.99214121,-0.986624056,-0.874703773,-0.951021608,-0.970148517,-0.963339206,-0.903499754,-0.947703439,-0.74364856,-0.503477177,-0.999990453,-0.947047648,-0.980664233,-0.405526881,-0.992062424,-0.984793041,-0.803454223,-0.932137673,-0.964791996,-0.864634744,-0.864449049,-0.931802673,0.688952442,-0.960590965,-0.930450265,0.594857749,-0.954128321,-0.957331839,-0.963218234,-1,-0.996644334,-0.972145784,-0.9092429,-0.989332183,-0.988783467,-0.926914153,-0.966379022,-0.985895877,-1,-0.934288761,-0.908805539,-0.90976997,-0.866263633,-0.99906659,-0.998115936,-0.999990006,-0.764432007,-0.895154223,-0.985023743,-0.95909277,-0.98052061,-0.982979449,-0.863304465,-0.980334605,-0.969920833,-0.866473807,-0.681653784,-0.385780488,-0.996895532,-0.92638994,-0.945717583,-0.991637531,-0.94367036,-0.987859032,-0.966527298,-0.781834311,-0.98904207,-0.888288258,-0.985177272,-0.998324461,-0.980805737,-0.982433229,-0.95480336,-1,-0.984043716,-0.717313335,-0.960172215,-0.854706131,-0.932689802,0.212824299,-0.924584662
f23,-0.83918498,-0.995588877,-0.999088313,-0.998949295,-0.894491108,-0.995915443,-0.996613811,-0.823984547,-0.996820014,-0.995736801,-0.974272296,-0.862253376,-0.995922841,-0.616140985,-0.664363123,-0.990175314,-0.99365311,-0.996744732,-0.655016797,-0.996870066,-0.997296718,-0.853166511,-0.9306069,-0.987470099,-0.989040081,-0.846477308,-0.954698153,0.86751076,-0.962180275,-0.981269388,0.850948024,-0.923602168,-0.997312031,-0.980008309,-1,-0.995833562,-0.997503274,-0.972273127,-0.999353107,-0.998570008,-0.970480623,-0.955668214,-0.91516606,-0.999989706,-0.994361928,-0.969632874,-0.871793435,-0.821601571,-0.99926138,-0.996286987,-0.989745148,-0.774348412,-0.78845871,-0.997349611,-0.957178135,-0.996720552,-0.998308735,-0.835313172,-0.99598646,-0.996849528,-0.989188982,-0.065405306,-0.544594335,-0.999766927,-0.978599612,-0.974694062,-0.99928183,-0.947928814,-0.997498759,-0.996881538,-0.839096409,-0.997823075,-0.992985618,-0.997376781,-0.998365726,-0.972387004,-0.997740057,-0.977733318,-0.99978715,-0.998295574,-0.722516866,-0.955453113,-0.963044895,-0.934204561,0.691701972,-0.954795159
f24,-0.893517013,-0.974827705,-0.99484057,-0.903356338,-0.914674944,-0.870343934,-0.954594123,-0.937706682,-0.927146412,-0.980780336,-0.932053541,-0.950099254,-0.986039562,-0.875943409,-0.789820946,0.09257538,-0.98485603,-0.974642315,-0.711907284,-0.967652555,-0.991130789,-0.93608891,-0.97260662,-0.877376424,-0.942788195,-0.987085007,-0.975239466,1,-0.946194325,-0.986357689,0.815476467,-0.989284016,-0.989100416,-0.982057222,-1,-0.471003251,-0.994316182,-0.964375011,-0.998172476,-0.923806117,-0.979730258,-0.984998216,-0.943772198,-0.996260949,-0.91319142,-0.98640527,-0.986316326,-0.928414685,-0.991843128,-0.985646479,0.140412817,-0.879684621,-0.92886812,-0.910676158,-0.972864919,-0.974453962,-0.989412264,-0.926568067,-0.95436982,-0.88949193,-0.943565471,-0.456997037,-0.653468072,-0.998638315,-0.984187063,-0.984139482,-0.993597487,-0.976127655,-0.941328332,-0.993027938,-0.918945955,-0.990111753,-0.984724248,-0.911591862,-0.918223755,-0.993082548,-0.974857282,-0.968793605,-0.993119771,-0.869195741,-0.848588058,-0.992946601,-0.970318173,-0.984139482,0.370801919,-0.967438356
