,or2228,or2334,or3469,or4334,or1995,or4411,or4333,or1205,or4412,or3680,or2123,or757,or4486,or285,or1134,or2738,or4413,or2900,or1417,or4379,or4360,or2099,or636,or4249,or2548,or356,or2115,or1416,or2052,or2065,or1133,or2128,or4380,or2066,or4293,or4492,or4332,or2112,or4259,or3398,or2057,or2124,or2147,or4392,or3115,or191,or474,or922,or4322,or2337,or3021,or2,or2222,or2549,or2086,or2617,or4256,or639,or4358,or2266,or2831,or1885,or1983,or4399,or2068,or70,or2620,or2148,or4376,or3186,or2029,or4149,or4387,or2832,or4247,or2135,or4363,or2094,or4316,or4321,or568,or1992,or1985,or353,or284,or2096
f63,-0.168338858,-0.706198074,-0.402367167,-1,-0.670826274,-1,-0.995518488,-0.299500052,-1,-0.597760268,-0.92381334,-0.59050142,-0.46995673,-0.208729524,0.056017588,-0.960500492,-1,-1,0.030535457,-1,-1,-0.69525838,-0.647401841,-1,-0.646650009,-0.607885639,-0.793933755,0.119711319,-0.701678186,-0.800403578,0.289075259,-0.870198813,-1,-0.895815695,-1,-0.527196401,-0.750615762,-0.873678025,-0.774591651,-0.532685397,-0.99635273,-0.850282994,-0.890037652,-0.8345776,-0.547160995,-0.714325924,-0.66415391,-0.476143601,-1,-0.618984495,-0.958771041,-0.471728692,-1,-0.711051729,-0.826029614,-0.707569815,-1,-0.509385555,-1,-0.718695169,-0.797616476,0.15406382,0.453602161,-1,-0.720682763,-0.720033204,-0.719602401,-0.927373923,-1,-0.523294193,-0.614276637,-0.298409942,-1,-0.626311475,-0.513498079,-0.830964704,-0.679194111,-0.842013584,-0.871458326,-1,-0.292485302,-0.937080309,-0.839030047,-0.682500896,0.113433568,-0.869961907
f64,-0.66451295,-1,-0.661020306,-1,-0.767772804,-1,-1,-0.677111009,-1,-0.959539554,-0.913851394,-0.678352659,-1,-0.461164798,-0.288747253,-1,-1,-1,-0.276901727,-1,-1,-0.746542043,-0.810645,-1,-0.95786467,-0.760798718,-0.892313394,0.460843829,-0.804781218,-0.908262771,0.388870572,-0.844967757,-1,-0.943175379,-1,-1,-1,-0.778111838,-1,-0.992406692,-0.84181154,-0.909821851,-0.887589321,-1,-0.991961746,-0.745133586,-0.712395518,-0.708255085,-1,-1,-1,-0.551689552,-0.832193291,-0.991861885,-0.856723016,-1,-1,-0.730721002,-1,-0.992077161,-0.958437112,0.168153506,-0.467651605,-1,-0.82070832,-0.803568223,-0.879123128,-0.883619231,-1,-0.810453186,-0.670473997,-1,-1,-0.991945313,-1,-0.934773791,-1,-0.839730272,-1,-1,-0.430066241,-0.944195233,-0.844591137,-0.77802881,0.030656001,-0.930844831
f65,-0.90433883,-0.658298371,-0.275272013,-1,-0.931380239,-1,-0.916152322,-0.961879065,-1,-0.5443578,-0.979876161,-0.91888236,-0.487344697,-0.528418084,-0.414437997,-0.963048848,-1,-1,-0.497653965,-1,-1,-0.955489163,-0.942268339,-1,-0.602802989,-0.930308232,-0.976450326,0.052325582,-0.976279957,-0.986069283,-0.08911154,-0.98261012,-1,-0.954161817,-1,-0.515287517,-0.735599079,-0.968203846,-0.789134125,-0.559471916,-1,-0.987188404,-0.989426229,-0.845250012,-0.569256692,-0.952418516,-0.939166933,-0.922171722,-1,-0.616563573,-0.961430974,-0.627282797,-0.960319885,-0.72248538,-0.971606497,-0.659893751,-1,-0.914763219,-1,-0.719300125,-0.750194171,-0.481231851,-0.490320513,-1,-0.94940689,-0.948214303,-0.684160438,-0.987581992,-1,-0.454366333,-0.962664542,-0.343673817,-1,-0.643286134,-0.5448853,-0.996177868,-0.66727075,-0.971365059,-0.879751337,-1,-0.464999756,-0.987373278,-0.974239252,-0.941147793,-0.13947615,-0.985143358
f66,-0.900525394,-0.96956261,-0.991081829,-1,-0.860245184,-1,-0.921306494,-0.698598949,-1,-0.91625644,-0.958318739,-0.662157702,-0.988769224,-0.153471509,-0.068301226,-1,-1,-1,-0.160945709,-1,-1,-0.842031524,-0.802977233,-1,-0.981928855,-0.70647986,-0.941155867,0.110507881,-0.827495622,-0.930998249,0.052539405,-0.896837319,-1,-0.917513135,-1,-0.96721996,-0.983161785,-0.839054291,-1,-1,-1,-0.933975482,-0.941330998,-1,-0.999243896,-0.775831874,-0.709142703,-0.690542907,-1,-0.988752509,-1,-0.271821364,-0.912434326,-1,-0.914711033,-0.96970472,-1,-0.704903678,-1,-0.995756229,-0.991482792,0.210157618,0.12854641,-1,-0.657443082,-0.790367776,-0.996036269,-0.938353765,-1,-0.988438762,-0.8117338,-1,-1,-0.99924235,-1,-0.975481611,-0.987355487,-0.721197934,-1,-1,-0.139651625,-0.970052539,-0.923817863,-0.776707531,0.253590193,-0.935901926
f67,-0.985843333,-0.766377756,-0.444436668,-1,-0.997303492,-1,-1,-0.940272347,-1,-0.475446569,-0.996224889,-0.966361642,-0.498987352,-0.923951788,-0.850883106,-0.953353466,-1,-1,-0.871781044,-1,-1,-1,-0.976675206,-1,-0.623499224,-0.934474855,-0.991371174,-1,-0.984629904,-0.976270729,-1,-0.998651611,-1,-0.99002292,-1,-0.556879756,-0.74229841,-0.988674666,-0.836587153,-0.605897412,-0.987461238,-0.969124983,-0.999325873,-0.856369402,-0.619050405,-0.979102063,-0.972179963,-0.935823109,-1,-0.660833468,-0.951311088,-0.916114043,-0.994221769,-0.750511295,-0.99824727,-0.767468521,-1,-0.938789268,-1,-0.757110926,-0.751385638,-0.275178644,-0.90413914,-1,-0.969664285,-0.981798571,-0.737958389,-0.99676419,-1,-0.553506359,-1,-0.007540414,-1,-0.67531992,-0.574507653,-0.998651746,-0.697753969,-0.994037872,-0.893009979,-1,-0.90753156,-0.997573143,-0.996224889,-0.97802346,-0.842119455,-0.997573143
f68,-0.958877726,-0.997042035,-0.582784362,-1,-0.993695506,-1,-1,-0.785106744,-1,-0.914377822,-0.989482129,-0.817054519,-1,0.08890551,1,-1,-1,-1,-0.311751941,-1,-1,-1,-0.863255998,-1,-0.927180629,-0.697708692,-0.980379963,0.578556545,-0.909471437,-0.944251585,-0.154691729,-0.885205465,-1,-0.97554243,-1,-0.992762002,-0.967175894,-0.982240103,-1,-0.99169772,-0.956258477,-0.950471085,-0.990407333,-1,-0.965837214,-0.847539856,-0.835371865,-0.74289901,-1,-0.983011108,-1,-0.056927156,-0.896587512,-0.966560928,-0.884475354,-0.997055852,-1,-0.694019555,-1,-0.96744549,-0.928169956,-0.571066025,-0.693008059,-1,-0.962679108,-0.822114909,-0.672790452,-0.962638233,-1,-0.617893351,-1,-1,-1,-0.965767383,-1,-0.98074719,-0.987530044,-0.991282461,-1,-1,0.220495768,-0.945161867,-0.951168557,-0.857184427,-0.460618972,-0.99583723
f69,-0.856603198,-1,-1,-1,-0.971136195,-1,-1,-0.743248746,-1,-0.935713528,-0.948693042,-0.851472339,-1,-0.649574778,-0.239787133,-1,-1,-1,-0.355176783,-1,-1,-0.947659337,-0.868000194,-1,-1,-0.806113395,-0.94157127,0.515900326,-0.922280286,-0.963428499,0.418336279,-0.941995499,-1,-0.963863776,-1,-1,-1,-0.917833285,-1,-1,-0.946185833,-0.958205208,-0.960090374,-1,-1,-0.89279134,-0.876881016,-0.768448037,-1,-1,-1,-0.528487393,-0.892328123,-1,-0.940286794,-1,-1,-0.786850269,-1,-1,-1,-0.543837611,-0.327224313,-1,-0.902546237,-0.884870472,-1,-0.944365119,-1,-1,-0.889089199,-1,-1,-1,-1,-0.974533916,-1,-0.967199993,-1,-1,-0.880327449,-0.961864362,-0.908557153,-0.876617801,0.012036625,-0.976818323
f70,-0.859164714,-1,-0.413548168,-1,-0.953796884,-1,0.06224828,-0.787172667,-1,-0.910300569,-0.945885549,-0.866516381,-1,-0.664071185,-0.114071982,-1,-1,-1,-0.214305157,-1,-1,-0.916944838,-0.889723619,-1,-0.904039788,-0.850203944,-0.925037936,0.633111168,-0.904045487,-0.948620639,0.534250339,-0.926534408,-1,-0.942004994,-1,-1,-1,-0.907200595,-1,-1,-0.915860582,-0.967803361,-0.931896506,-1,-1,-0.896077803,-0.882275399,-0.799763667,-1,-1,-1,-0.513370636,-0.854944787,-1,-0.925665102,-1,-1,-0.833953377,-1,-1,-0.905343501,-0.399827359,-0.159744345,-1,-0.906586576,-0.901313822,-0.612251353,-0.906696616,-1,-0.394980381,-0.839169782,-1,-1,-1,-1,-0.96206013,-1,-0.956867563,-1,-1,-0.599796723,-0.957069216,-0.876040196,-0.892407915,-0.040896272,-0.968766705
f71,-0.941257523,-1,-1,-1,-0.983360893,-1,-1,-0.836814079,-1,-1,-0.982292029,-0.941171211,-1,-0.82855365,-0.548907649,-1,-1,-1,-0.582110185,-1,-1,-0.898150155,-0.901242509,-1,-1,-0.851053107,-0.938926275,0.303535234,-0.944883588,-0.975195218,0.02986639,-0.951922616,-1,-0.978148829,-1,-1,-1,-0.956285766,-1,-1,-0.983914425,-0.97499413,-0.95472139,-1,-1,-0.939342144,-0.940622189,-0.841542883,-1,-1,-1,-0.729340985,-0.90028831,-1,-0.841091337,-1,-1,-0.855931105,-1,-1,-1,-0.410194967,-0.603753421,-1,-0.903635021,-0.915195762,-1,-0.932991304,-1,-1,-0.959924805,-1,-1,-1,-1,-0.985064012,-1,-0.99160061,-1,-1,-0.792907675,-0.984511201,-0.971732041,-0.899058293,-0.162318685,-0.994359454
f72,-0.85335943,-1,0.427266376,-1,-0.934073961,-1,-1,-0.762496473,-1,-1,-0.931809033,-0.802354699,-1,-0.500522299,-0.115348738,-1,-1,-1,-0.233691881,-1,-1,-0.903713892,-0.889471166,-1,-1,-0.823822411,-0.905872836,0.698179563,-0.855463093,-0.942472592,0.562256425,-0.928955848,-1,-0.950351689,-1,-1,-1,-0.866142497,-1,-1,-0.897719623,-0.942307454,-0.935110212,-1,-1,-0.829840271,-0.818251859,-0.789631771,-1,-0.030446995,-1,-0.392034677,-0.831718392,-1,-0.924617425,-1,-1,-0.817651737,-1,-1,-1,-0.223919505,-0.177867438,-1,-0.858604943,-0.876674015,-0.318888175,-0.911887703,-1,0.133419205,-0.840678475,-1,-1,-1,-1,-0.950778971,-1,-0.923144963,-1,-1,-0.452334203,-0.940087243,-0.832218577,-0.876329479,0.160031989,-0.964076113
f73,-0.597657835,-0.741830085,-1,-1,-0.639376796,-1,-1,-0.620900668,-1,-0.391357699,-0.935876818,-0.781524466,-0.561607595,-0.455556831,-0.258558405,-0.961394597,-1,-1,-0.184460762,-1,-1,-0.655327449,-0.860600913,-1,-0.653817002,-0.746656888,-0.92788529,0.717132421,-0.896617377,-0.935406933,0.533895001,-0.910341681,-1,-0.94040318,-1,-0.562822499,-0.745977652,-0.924310431,-0.864756963,-0.672534045,-0.92099904,-0.944936398,-0.937212717,-0.881129063,-0.67777017,-0.833989363,-0.806083006,-0.671365367,-1,-1,-0.959704292,-0.527924575,-0.634110146,-0.788281341,-0.923426192,-0.743035463,-1,-0.714657542,-1,-0.784908781,-0.779809509,0.077281609,-0.055207005,-1,-0.840655085,-0.877009379,-1,-0.959237878,-1,-1,-0.663787073,-0.17862487,-1,-0.724325495,-0.647855856,-0.968428883,-0.721167453,-0.953829493,-0.911453379,-1,-0.391413571,-0.933051927,-0.876869066,-0.867786772,0.030583328,-0.965837267
f74,-0.84494258,-0.741830085,-0.4559978,-1,-0.853247413,-1,-0.8336096,-0.808877676,-1,-0.375391216,-0.963009338,-0.854320742,-0.561607595,-0.714821264,-0.646590189,-0.961394597,-1,-1,-0.638013356,-1,-1,-0.870750306,-0.910813308,-1,-0.63878581,-0.857163039,-0.956067188,0.678765175,-0.937367718,-0.966999666,0.615969803,-0.949955048,-1,-0.977238916,-1,-0.562822499,-0.745977652,-0.950511574,-0.864756963,-0.672534045,-0.964188632,-0.965250972,-0.972612835,-0.881129063,-0.67777017,-0.880933557,-0.86052129,-0.823099854,-1,-0.6928575,-0.959704292,-0.760107135,-0.860852741,-0.788281341,-0.965897161,-0.743035463,-1,-0.844437802,-1,-0.784908781,-0.764982528,-0.359322963,-0.626408296,-1,-0.923358741,-0.921442239,-0.723495242,-0.974860468,-1,-0.546176522,-0.859929119,-0.17862487,-1,-0.724325495,-0.647855856,-0.985155949,-0.721167453,-0.980261756,-0.911453379,-1,-0.698389637,-0.969649058,-0.92060669,-0.915106447,0.011365104,-0.984951032
f75,-0.760271324,-1,-1,-1,-0.743019965,-1,-1,-0.784238271,-1,-1,-0.925781927,-0.669515558,-1,-0.578449637,-0.510830196,-1,-1,-1,-0.487637038,-1,-1,-0.850011559,-0.861528523,-1,-1,-0.823805745,-0.914745132,0.552530275,-0.886653604,-0.931728523,0.501596189,-0.899479852,-1,-0.957863246,-1,-1,-1,-0.865542163,-1,-1,-0.938616994,-0.914861011,-0.94252709,-1,-1,-0.723135535,-0.697706666,-0.798328123,-1,-1,-1,-0.621073583,-0.847693344,-1,-0.947104943,-1,-1,-0.815979373,-1,-1,-1,-0.140058877,-0.322447215,-1,-0.844536244,-0.877206124,-1,-0.929769375,-1,-1,-0.732791862,-1,-1,-1,-1,-0.9644637,-1,-0.943187038,-1,-1,-0.560992613,-0.936116527,-0.793544897,-0.867482786,0.208237622,-0.971849189
f76,-0.101123596,-1,-0.652721024,-1,-0.033707865,-1,1,-0.707865169,-1,-0.866435526,-0.91011236,-0.928425809,-1,0.276813075,0.235955056,-1,-1,-1,0.235955056,-1,-1,-0.033707865,-0.775280899,-1,-1,-0.707865169,-0.775280899,1,-0.820224719,-0.93258427,1,-0.932577527,-1,-0.93258427,-1,-1,-1,-0.820224719,-1,-0.899734553,-0.865168539,-0.887640449,-0.887640449,-1,-0.893859253,-0.93258427,-0.9321432,-0.707865169,-1,-1,-1,0.238307841,-0.449667507,-0.892540669,-0.752808989,-1,-1,-0.707865169,-1,-0.895383261,-1,0.505617978,0.235955056,-1,-0.842696629,-0.775280899,-1,-0.887640449,-1,-0.648035132,-0.191011236,-0.900448382,-1,-0.893642294,-1,-0.93258427,-1,-0.977415166,-1,-0.398228612,0.278530109,-0.842696629,-0.797752809,-0.775280899,1,-0.842696629
f77,-0.467933492,-1,-1,-1,-0.581947743,-1,-1,-0.653206651,-1,-1,-0.819477435,-0.513289835,-1,-0.082271648,0.225653207,-1,-1,-1,0.247030879,-1,-1,-0.536817102,-0.783847981,-1,-1,-0.684085511,-0.788598575,0.541567696,-0.698337292,-0.881235154,0.534441805,-0.752944416,-1,-0.921615202,-1,-1,-1,-0.691211401,-1,-1,-0.717339667,-0.864608076,-0.852731591,-1,-1,-0.551068884,-0.543350065,-0.669833729,-1,-1,-1,-0.112327674,-0.379514276,-1,-0.809976247,-1,-1,-0.67695962,-1,-1,-1,0.251781473,0.251781473,-1,-0.798099762,-0.786223278,-1,-0.767220903,-1,-1,-0.520190024,-1,-1,-1,-1,-0.857482185,-1,-0.787536256,-1,-1,-0.095780218,-0.93824228,-0.698337292,-0.786223278,0.410926366,-0.926365796
f78,-0.667118951,-1,1,-1,-0.7421981,-1,-1,-0.819086386,-1,-1,-0.935775667,-0.610091691,-1,-0.472023803,-0.224785165,-1,-1,-1,-0.224785165,-1,-1,-0.813658978,-0.917684306,-1,-1,-0.863410222,-0.848032564,-0.10990502,-0.750339213,-0.956580733,-0.10990502,-0.843494074,-1,-0.966530981,-1,-1,-1,-0.833559475,-1,-0.332828967,-0.877883311,-0.940298507,-0.923111714,-1,-0.293734416,-0.628222524,-0.628521618,-0.819990954,-1,-0.323297877,-1,-0.492477589,-0.675093918,-0.868282202,-0.885119855,-1,-1,-0.82180009,-1,-0.871766485,-1,-0.127091814,-0.206693804,-1,-0.863410222,-0.917684306,0.481295368,-0.854364541,-1,0.451760476,-0.658977838,-1,-1,-0.292290763,-0.364131379,-0.853459973,-1,-0.660900613,-1,-1,-0.461020785,-0.880597015,-0.646313885,-0.910447761,-0.078245138,-0.923111714
f79,-0.443396226,-1,-1,-1,-0.311320755,-1,-1,-0.79245283,-1,0.208625833,-0.933962264,-0.519237511,-0.848067912,-0.093637923,-0.179245283,-0.977896784,-1,-0.820495379,-0.254716981,-1,-1,-0.688679245,-0.754716981,-1,-0.081047581,-0.754716981,-0.858490566,0.103773585,-0.839622642,-0.962264151,0.141509434,-0.68864811,-1,-0.971698113,-1,-0.953823992,-1,-0.867924528,-1,-0.833116249,-0.905660377,-0.858490566,-0.933962264,-1,-0.868764836,-0.518867925,-0.544207158,-0.867924528,-1,-1,-0.976929014,-0.083163671,-0.518675395,-0.818587504,-0.877358491,-1,-1,-0.773584906,-1,-0.823386342,0.086829013,-0.226415094,-0.301886792,-1,-0.905660377,-0.726415094,-1,-0.811320755,-1,-1,-0.216981132,-0.845801607,-1,-0.868496582,-0.706318374,-0.886792453,-0.788395154,-0.89570494,-0.959151082,-1,-0.121695869,-0.886792453,-0.698113208,-0.735849057,0.122641509,-0.952830189
f80,-0.150305704,-1,-0.859136436,-1,-0.309893559,-1,-0.953495708,-0.726124739,-1,0.185031365,-0.950317547,-0.943103592,-0.851424291,-0.054864244,-0.096685369,-0.978385073,-1,-0.824460872,-0.096685369,-1,-1,0.292483975,-0.84192216,-1,-0.101348445,-0.75709485,-0.81459385,0.958548609,-0.756709944,-0.955262106,0.958548609,-0.835332687,-1,-0.962220018,-1,-0.95484408,-1,-0.839908807,-1,-0.790175195,-0.889916949,-0.921627263,-0.892818547,-1,-0.82230399,-0.94996225,-0.947131521,-0.736872493,-1,-0.955070842,-0.977438682,-0.112171214,-0.929574933,-0.811351174,-0.798635065,-1,-1,-0.743060593,-1,-0.816341432,0.062819535,0.767724171,-0.096685369,-1,-0.889147138,-0.849531451,-0.901650444,-0.929917541,-1,-0.895427454,-0.1972346,-0.846893263,-1,-0.821940767,-0.67058814,-0.933352085,-0.793069782,-0.981312654,-0.960053488,-0.986007524,-0.050285413,-1,-0.82445336,-0.84574161,0.954906808,-0.886837703
f81,-0.629146947,-1,-0.740105368,-1,-0.630175824,-1,-1,-0.654708828,-1,-0.446396368,-0.821135423,-0.461645198,-0.675434326,-0.235971321,-0.016096211,-1,-1,-0.744910658,-0.008322473,-1,-1,-0.561629741,-0.772869653,-1,-0.598494703,-0.679264696,-0.763632622,0.523538423,-0.696869927,-0.904588792,0.475844251,-0.754188099,-1,-0.941948465,-1,-0.461818183,-1,-0.642042207,-1,-0.597402597,-0.695863914,-0.835265336,-0.883896929,-1,-0.807527723,-0.516336283,-0.501918287,-0.670530672,-1,-0.916573894,-1,-0.268931293,-0.675448751,-0.805136665,-0.887257928,-1,-1,-0.675995153,-1,-0.8102913,-0.52270841,-0.004984338,0.027253813,-1,-0.78110067,-0.77808263,-0.834609153,-0.756384754,-1,-0.777121863,-0.464938153,-0.115802055,-1,-0.807134304,-0.480137166,-0.861330224,-0.722846442,-0.768396364,-0.935500739,-1,-0.220256268,-0.91688959,-0.689782107,-0.774172897,0.271509248,-0.908978668
f82,-0.557918707,-1,-0.884275323,-1,-0.646551629,-1,-0.718835001,-0.585996485,-1,-0.24463506,-0.869161978,-0.4737293,-0.887273546,-0.300933316,-0.081458718,-1,-1,-0.704679025,-0.048826592,-1,-1,-0.774360788,-0.762665399,-1,-0.439821403,-0.692227762,-0.770381261,0.189038612,-0.621060544,-0.90243525,0.144932182,-0.826630022,-1,-0.934868399,-1,-0.810372551,-1,-0.760498767,-1,-0.563977147,-0.690237998,-0.885323281,-0.900489703,-1,-0.538427307,-0.536274499,-0.521045846,-0.618761262,-1,-1,-1,-0.334973364,-0.644549683,-0.532693212,-0.878425434,-1,-1,-0.638681008,-1,-0.59211801,-0.423918424,0.263721079,0.027978289,-1,-0.821164454,-0.779357306,-0.880327744,-0.860473343,-1,-0.882713837,-0.707416292,-0.982939171,-1,-0.537483818,-0.555774837,-0.858505687,-1,-0.767383172,-0.985065634,-1,-0.288718285,-0.888882748,-0.697843317,-0.771862529,0.018316881,-0.920144147
f83,-0.614161739,-1,-0.657623832,-1,-0.057522464,-1,-0.984003114,-0.499270409,-1,-0.098144634,-0.877582367,-0.232580584,-0.786214226,0.314627801,0.244297673,-0.835506324,-1,-0.654619556,0.134628677,-1,-1,-0.740880117,-0.465478842,-1,-0.315104582,-0.426618539,-0.872052838,0.172567391,-0.619691268,-0.890023808,0.26487981,-0.687089514,-1,-0.923354581,-1,-0.614683675,-1,-0.763151832,-1,-0.670658684,-0.708163736,-0.769910145,-0.90231165,-1,-0.760027084,-0.267490976,-0.265635973,-0.629367944,-1,-0.835146017,-0.828304116,0.354543527,-0.260221714,-0.761629958,-0.845173182,-1,-1,-0.47423393,-1,-0.767935475,-0.17056219,0.208202135,0.100069119,-1,-0.718147608,-0.436448813,-0.720841048,-0.824437447,-1,-0.726407076,-0.574687044,0.092010942,-1,-0.759536567,-0.470057126,-0.90784118,-0.568503443,-0.873571066,-0.927776279,-1,0.30114234,-0.914445895,-0.656708394,-0.44689348,0.414945089,-0.914138699
f84,-0.119507491,-1,-0.724050097,-1,-0.182366845,-1,-0.955303419,-0.69513119,-1,-0.631573427,-0.948842361,-0.906199005,-0.910399831,-0.042610868,-0.027993504,-1,-1,-1,-0.027993504,-1,-1,0.157344169,-0.810018339,-1,-0.701583905,-0.719752838,-0.778908351,0.133450804,-0.733609135,-0.949553619,0.133450804,-0.749157962,-1,-0.95361498,-1,-0.935403724,-1,-0.800374735,-1,-0.65940431,-0.868438003,-0.884377001,-0.890065177,-1,-0.639446246,-0.913404289,-0.909945527,-0.702898283,-1,-1,-1,-0.103332742,-0.885993662,-0.654179377,-0.687662977,-1,-1,-0.709602272,-1,-0.663327241,-0.705638159,1,-0.027993504,-1,-0.840804857,-0.82100312,-1,-0.905014845,-1,-0.636424655,-0.178333858,-0.369425753,-1,-0.638709255,-0.897489819,-0.9275292,-1,-0.969431402,-1,-0.238604544,-0.010257131,-1,-0.783758528,-0.816849069,0.114621373,-0.864843878
f85,-0.658536585,-1,-0.633926131,-1,-0.739837398,-1,-0.911501081,-0.756097561,-1,-0.000339372,-0.853658537,-0.46864019,-0.778240335,-0.432406101,-0.317073171,-0.863496764,-1,-0.643673938,-0.300813008,-1,-1,-0.674796748,-0.81804878,-1,-0.24032052,-0.78195122,-0.821138211,-0.300813008,-0.723577236,-0.918699187,-0.300813008,-0.804858535,-1,-0.951219512,-1,-0.622694481,-1,-0.707317073,-1,-0.556330833,-0.756097561,-0.869918699,-0.902439024,-1,-0.620509009,-0.48195122,-0.483471835,-0.763089431,-1,-0.863197767,-0.857520092,-0.453270156,-0.717935955,-0.623402647,-0.902439024,-1,-1,-0.774796748,-1,-0.644474801,-0.117422178,-0.170731707,-0.25203252,-1,-0.821138211,-0.823577236,-0.740092223,-0.788617886,-1,-0.673286742,-0.691056911,0.035073847,-1,-0.619733303,-0.435068336,-0.869918699,-0.641927412,-0.787555665,-0.936540421,-0.849244224,-0.427101336,-0.918699187,-0.756097561,-0.821788618,-0.235121951,-0.902439024
f86,-0.54248366,-1,-0.994034027,-1,-0.647058824,-1,-0.97574252,-0.529411765,-1,-0.946223925,-0.895424837,-0.341617243,-0.996518628,-0.424458489,-0.176470588,-1,-1,-0.984918592,-0.150326797,-1,-1,-0.647058824,-0.758431373,-1,-0.956223654,-0.687581699,-0.803921569,0.150326797,-0.568627451,-0.895424837,0.137254902,-0.751609148,-1,-0.947712418,-1,-0.981265706,-1,-0.803921569,-1,-0.969184421,-0.725490196,-0.895424837,-0.895424837,-1,-0.968116029,-0.408104575,-0.389890497,-0.570457516,-1,-1,-1,-0.464210759,-0.599839936,-0.967719936,-0.882352941,-1,-1,-0.60379085,-1,-0.97070213,-0.954873279,0.307189542,-0.08496732,-1,-0.816993464,-0.779346405,-0.994408658,-0.777777778,-1,-0.992960012,-0.660130719,-0.998622543,-1,-0.968050856,-0.970995337,-0.843137255,-1,-0.737248333,-0.999723266,-1,-0.402725126,-0.882352941,-0.712418301,-0.772026144,-0.010457516,-0.908496732
f87,-0.410248383,-1,-0.718780035,-1,-0.773063269,-1,-0.955832711,-0.873279677,-1,-0.025178687,-0.888254997,-0.327773634,-0.774174554,-0.216330066,-0.262239824,-0.724727209,-1,-0.71622739,-0.262239824,-1,-1,-0.855839372,-0.895522297,-1,-0.278756663,-0.698332563,-0.722578174,0.047555075,-0.862276905,-0.919989787,0.047555075,-0.592434198,-1,-0.950159267,-1,-0.631776836,-1,-0.683834436,-1,-0.702713312,-0.940241575,-0.885328016,-0.879507489,-1,-0.768975222,-0.326265623,-0.356109905,-0.873279677,-1,-0.871197935,-0.712674635,-0.2079977,-0.826441786,-0.780631804,-0.860444123,-1,-1,-0.873279677,-1,-0.786434669,-0.1204401,-0.560828308,-0.262239824,-1,-0.773911273,-0.712982663,-0.779521858,-0.80723873,-1,-0.783917873,-0.656719593,0.538507258,-1,-0.76850299,-0.522176154,-0.914579585,-0.634999742,-0.781591051,-0.934293701,-1,-0.236826134,-0.956229028,-0.719180081,-0.729942737,0.204058868,-0.882635073
f88,-0.221271668,-1,-0.652507823,-1,-0.403212213,-1,-0.952413409,-0.677584231,-1,-0.470844633,-0.8980677,-0.391240676,-0.895446112,-0.305597069,-0.255152092,-1,-1,-0.997241591,-0.297908848,-1,-1,-0.732855159,-0.702060837,-1,-0.499036268,-0.656618142,-0.86081621,-0.440518271,-0.728392741,-0.941273123,-0.265974669,-0.627181043,-1,-0.964543178,-1,-0.948306416,-1,-0.893095984,-1,-0.788040953,-0.822903846,-0.904543057,-0.932148206,-1,-0.778430451,-0.343072642,-0.409731186,-0.824904658,-1,-1,-1,-0.280365276,-0.367931344,-0.777438889,-0.871663039,-1,-1,-0.689928638,-1,-0.783326208,-0.505842326,0.193187537,-0.766171718,-1,-0.836339605,-0.644722402,-0.98410508,-0.882994913,-1,-0.668129598,-0.752675329,-0.314311905,-1,-0.777977543,-0.873876564,-0.915741544,-1,-0.926670391,-0.998869971,-0.531550098,-0.328897959,-0.941746042,-0.803568722,-0.673703868,0.264507406,-0.937883868
f89,-0.181279731,-1,-1,-1,-0.364075783,-1,-1,-0.861757509,-1,-1,-1,-0.944770984,-1,-0.583947075,-0.598864675,-1,-1,-1,-0.598864675,-1,-1,-1,-0.901712841,-1,-1,-0.84754679,-1,0.30088297,-0.767926253,-0.968803201,0.30088297,-0.984435626,-1,-0.974649522,-1,-1,-1,-0.842028914,-1,-1,-0.932947958,-1,-0.884086293,-1,-1,-0.915244774,-0.892887597,-0.861757509,-1,-1,-1,-0.621530866,-0.952397821,-1,-0.845904565,-1,-1,-0.861757509,-1,-1,-1,1,-0.598864675,-1,-0.935394873,-0.906831108,-1,-0.851794678,-1,-1,-0.397166615,-1,-1,-1,-1,-0.949912141,-1,-0.935834945,-1,-1,-0.585046731,-0.920061967,-0.823422506,-0.905829351,0.413835197,-0.974764478
f90,0.302777083,-1,-0.524602243,-1,0.232782921,-1,0.132380157,-0.616178801,-1,-0.883688169,-0.746284714,-0.892769136,-1,-0.73831958,-0.583504295,-1,-1,-1,-0.583504295,-1,-1,-1,-0.659219415,-1,-1,-0.751363523,-0.344466683,-0.632090735,-0.654974564,-0.757343007,-0.632090735,-0.463001925,-1,-0.724193145,-1,-1,-1,-0.699457927,-1,-0.867573663,-0.807063631,-0.682778751,-0.622141606,-1,-0.859813824,-0.898924193,-0.537029051,-0.616178801,-1,-1,-1,-0.513469721,-1,-0.858072303,-0.255991994,-1,-1,-0.620707197,-1,-0.861826659,-1,0.018513885,-0.583504295,-1,-0.703527646,-0.672696189,-1,-0.810824785,-1,-0.521895922,-0.18522225,-0.851659602,-1,-0.859527272,-1,-0.289125177,-1,-0.940910457,-1,-0.370748875,-0.476047503,-0.053206572,-0.722024852,-0.694570928,-0.734684347,0.006254691
