,or3867,or4150,or2169,or3018,or3584,or2735,or68,or3301,or351,or2452,or2615,or188,or1603,or4433,or2049,or1982,or754
f32,-0.989233156,-0.980240027,0.238341969,-0.991174924,-0.994046457,-0.990519903,0.314248705,-0.993197038,0.493834197,-0.993689261,-0.991455132,-0.279041451,0.155440415,-0.983282912,0.544041451,0.888601036,0.159041451
f33,-0.991032996,-0.990231892,-0.032100342,-0.99564909,-0.998219159,-0.995326154,-0.353947321,-0.998289678,-0.160787316,-0.998679629,-0.99662342,-0.739899746,-0.367393556,-0.991736107,0.513528422,1,-0.479226131
f34,-1,-1,0.475211455,-1,-1,-1,-0.071563869,-1,0.061038885,-1,-1,-0.318615744,0.15669871,-1,0.850477758,1,-0.151382697
f35,-0.999118521,-0.98336741,-0.907680928,-0.99821396,-0.998548039,-0.998081396,-0.761690128,-0.99843648,-0.761690128,-1,-0.998747945,-0.907680928,-0.907680928,-0.985928702,-0.706862677,-0.241384093,-0.907680928
f36,-1,-1,-0.449421537,-1,-1,-1,-0.474339958,-1,-1,-1,-1,-0.487985761,-0.451201424,-1,-0.265499852,-0.128448532,-0.471966775
f37,-1,-0.999400153,-0.518024908,-1,-1,-1,-0.53969413,-1,-0.537748159,-0.999937605,-0.999853624,-0.74841082,-0.619493349,-0.999492525,-0.595316867,-0.851290441,-0.709405815
f38,-0.998572566,-0.996600705,-0.017250392,-0.994253391,-0.997796335,-0.993826862,-1,-0.996065832,-1,-0.997666328,-0.996213433,-0.110297961,0.038159958,-0.997124171,0.985363304,0.093570308,-0.070569786
f39,-0.998809181,-0.998965347,-0.031282157,-0.997841231,-0.998519065,-0.997681001,-1,-0.998070967,-1,-0.998891689,-0.998596026,-0.123070591,0.023255814,-0.999124676,-0.383618028,-0.868903066,-0.083762091
f40,-0.948496214,-0.941163345,-0.22826087,-0.906502521,-0.935704192,-0.899562889,-1,-0.916474793,-1,-0.952296137,-0.938352126,-0.221014493,-0.231884058,-0.950223742,1,0.268115942,-0.130434783
f41,-0.944730168,-0.957536885,0.411416291,-0.940203256,-0.966387804,-0.935764982,0.045464409,-0.896079182,0.118522906,-0.994273716,-0.966358763,-0.321204524,0.178847814,-0.964075882,1,0.854020338,-0.161242232
f42,-0.999680767,-0.999834188,-0.936625182,-0.999735042,-0.999710122,-0.999715377,-0.97290619,-0.999783017,-0.951276301,-0.999783248,-0.999712793,-0.961615831,-0.942673677,-0.999859722,-0.95101687,-0.948855158,-0.953441127
f43,-0.998145849,-0.998184002,-0.817945384,-0.998623372,-0.999149038,-0.998521195,-0.814092376,-0.998902613,-0.816548668,-0.999433269,-0.998949682,-0.802051727,-0.807831238,-0.998463652,-0.821316765,-0.820835139,-0.807831238
f44,-0.965523191,-0.968217045,-0.996929376,-0.976801998,-0.975761863,-0.97508018,-0.981917434,-0.973157301,-0.983964517,-0.997858552,-0.989633866,-0.998294098,-0.996929376,-0.973111378,-0.990788127,-0.989082224,-0.998976459
f45,-0.997086107,-0.995993725,-0.131364903,-0.997450219,-0.999024128,-0.997260968,-0.136490251,-0.998937311,-0.171253482,-0.999106069,-0.997944667,-0.012590529,-0.076545961,-0.996610661,-0.398551532,-0.639888579,-0.051364903
f46,-0.995748602,-0.995737204,0.459051724,-0.995040081,-0.996497872,-0.994671943,0.454022989,-0.995270815,0.492576628,-0.997495686,-0.997224654,0.332614943,0.400143678,-0.996393642,0.741618774,1,0.374281609
f47,-0.966352344,-0.960273897,0.173925388,-0.947550465,-0.953114368,-0.943657521,0.093861791,-0.947348208,0.094997445,-0.975021334,-0.977464237,-0.337345977,-0.097950145,-0.966391415,-0.003350179,-0.645562433,-0.278291977
f48,-0.99588096,-0.997007946,0.438208311,-0.999401357,-0.999900486,-0.999356924,-0.050368771,-0.999704972,-0.049289441,-1,-1,-0.449001619,-0.009534089,-0.997468699,0,-0.555495593,-0.354020507
