,or3867,or4150,or2169,or3018,or3584,or2735,or68,or3301,or351,or2452,or2615,or188,or1603,or4433,or2049,or1982,or754
f247,0.234095594,0.180728564,0.469694815,0.584113587,0.298654303,0.469034985,0.606153171,0.329426209,0.626254607,-0.120065525,-0.571323791,-0.040410728,0.372625586,0.035952537,0.924857805,1,0.054350347
f248,0.860399878,0.749561791,-0.264627484,0.823527382,0.871222296,0.831108817,-0.027924717,0.86898222,-0.172961527,0.919513681,-0.367861751,-0.670113634,-0.31716708,0.552671162,-0.086085202,-0.001853093,-0.313123218
f249,-0.999766892,-1,0.802066589,-0.999703492,-0.999741932,-0.999682408,-0.046402368,-0.999722362,-0.033442647,-0.999662962,-0.999939437,-0.473903268,0.682889669,-0.999816592,0.521276689,1,0.455353103
f250,-0.999820083,-0.999879513,-1,-0.999693321,-0.999891004,-0.999740269,0.187574594,-0.999713082,0.187574594,-0.999721456,-0.999932932,0.212332338,0.212332338,-1,0.263937541,1,0.212332338
f251,-0.999759211,-0.99977815,-1,-0.999692738,-0.99973318,-0.999675345,0.220446752,-0.999712679,0.220446752,-0.999661931,-0.999935087,-0.125229776,-0.125229776,-0.999812313,0.365116649,1,-0.125229776
f252,-0.999289047,-0.999823167,1,-0.999622207,-0.999212187,-0.999578493,0.161390735,-0.999474232,0.161390735,-0.999500973,-0.992129888,0.700973606,0.354505893,-1,0.327607437,0.729340502,0.700973606
f253,-0.995623406,-0.995967633,1,-0.990952082,-0.995150261,-0.990320547,0.063784069,-0.994203915,0.063784069,-0.989495198,-1,0.604799261,0.131391461,-0.996588587,0.207461782,0.581139074,0.604799261
f254,-0.998044019,-0.998197861,-0.019293391,-0.99336298,-0.997832562,-0.992737617,-0.187531764,-0.993516293,-0.187531764,-0.991884093,-1,-0.168219549,-0.287518588,-0.998475376,-0.144126339,1,-0.168219549
f255,-0.997336796,-0.998194314,-0.106210561,-0.979340954,-0.989454581,-0.977494435,-0.501295251,-0.990119691,-0.493988708,-0.970877069,-0.900632622,-0.296446363,-0.166788442,-1,-0.491198937,-0.848953836,-0.282896048
f256,-0.98084766,-0.982786632,-0.135786449,-0.962775162,-0.970940633,-0.960352206,-0.308406711,-0.945187824,-0.288163871,-0.957578788,-0.968648275,-0.160589489,-0.142237464,-1,-0.230660858,-0.375215497,-0.124812309
f257,-0.386035119,-0.381788753,0.319000198,-0.252075191,-0.071329287,-0.212921809,0.319000198,0.061734087,0.319000198,-0.405040042,-0.805664225,0.319000198,0.318076898,-0.44908086,0.319000198,0.306601596,0.319000198
f258,0.243364655,0.273427848,0.394891389,1,0.288296025,0.62421704,0.415127715,0.451521679,0.415127715,0.760807675,-0.573976745,0.296256987,0.415127715,0.047665093,0.415127715,0.415127715,0.414703177
f259,0.431574044,0.318978333,-0.532183757,0.503408319,0.586338806,0.493108858,-0.079899961,1,-0.045412663,0.808868277,-0.445837711,-0.836777675,-0.522969593,0.1158657,-0.173357904,-0.803080163,-0.515598262
f260,-0.466538001,-0.429030054,-0.718328617,-0.072561608,-1,-0.214025848,-0.864158482,-0.373907339,-0.863159647,0.0314953,-0.781198733,-0.664391543,-0.677043449,-0.521264542,-0.842850008,-0.744298319,-0.640752455
f261,0.741139737,0.84899233,-0.26932841,0.602510562,-1,0.274319474,-0.159473806,0.244744577,-0.13085622,-0.271523428,-0.937997636,-0.442880222,-0.310870067,1,-0.18901454,-0.692591738,-0.396722825
f262,0.167154673,0.07535599,0.603281378,0.373415703,0.293333557,0.711582768,0.49778507,0.267454962,0.429368335,0.845128627,-0.755577964,0.576702215,0.588351107,-0.090240654,0.579491386,0.629368335,0.58490566
f263,-0.069411514,-0.098505826,0.603281378,-0.200686916,0.001915603,-1,0.49778507,-0.261091618,0.429368335,0.013248853,-0.649924197,0.576702215,0.588351107,-0.196766798,0.536505332,0.591468417,0.58490566
f264,-0.91126308,-0.919958425,-0.601865423,-0.886126487,-0.912966938,-0.895725454,-0.811325783,-0.901782979,-0.810792805,-0.899786773,-0.854130353,-0.557628248,-0.574950033,-0.927164784,-0.767355097,-0.562958028,-0.551232512
f265,-0.959731027,-0.961880597,0.339919728,-0.954970595,-0.955685006,-0.94874315,0.182154986,-0.950302165,0.184316147,-0.941346849,-0.978877599,0.391170114,0.392405063,-0.966711536,0.137388083,0.496140784,0.391787589
f266,-0.996856081,-0.997103356,0.176952141,-0.995988152,-0.996516198,-0.98630032,0.062972292,-0.996248525,0.065806045,-0.984872672,-0.99491261,0.233312343,0.234256927,-0.997549417,0.111775819,0.479219144,0.233942065
f267,0.405637893,0.360417789,1,-0.955747546,0.513132842,-0.952086067,0.6718,0.131615994,0.8116,-0.947119886,-0.969079915,0.9026,1,0.211819009,1,0.9996,1
f268,-0.516854715,-0.525838325,1,-0.529189212,-0.496863293,-0.552710759,0.6718,-0.510966402,0.8116,-0.567820498,-0.788850789,0.9026,1,-0.547401839,1,0.9996,1
f269,-0.975920832,-0.975339086,-0.963440793,-0.969603078,-0.974004777,-0.971596793,-0.883953116,-0.971267582,-0.883953116,-0.972927053,-0.994576171,-0.963548046,-0.963440793,-0.978492253,-0.883953116,-0.699656279,-0.963449945
f270,-0.980488435,-0.981618638,0.047262809,-0.973570981,-0.979877877,-0.128237632,0.855000974,-0.974494791,0.882057276,-0.139268917,-0.996531188,-0.178071303,-0.023728814,-0.983848587,0.892148841,0.678238847,-0.160023378
f271,-0.557979234,-0.592744913,-1,-0.435952338,-0.510193206,-0.66856162,-1,-0.472559622,-1,-0.659100681,-0.786973026,-1,-1,-0.655459099,-1,-1,-1
f272,0.078959016,0.058885172,-0.75655454,-0.999550984,0.123610192,-0.993561892,-0.227239488,0.092171965,-0.227239488,-0.993642495,-0.999872342,-0.757265082,-0.75655454,0.010708168,-0.227239488,1,-0.756638635
f273,0.860425519,0.869660442,0.106921347,0.914819745,0.891918254,0.942063999,0.960702431,0.933813612,0.989300452,0.982454848,-0.25892502,-0.131236255,0.031925672,0.755682067,1,0.536155246,-0.112168162
f274,0.489509706,0.498589773,-1,0.478781989,0.580460563,0.389883937,-1,0.40347699,-1,0.443833472,0.210549832,-1,-1,0.378307596,-1,-1,-1
f275,-0.942681802,-0.945234048,0.235202202,-0.9328179,-0.93601476,-0.930741487,0.284458534,-0.93667146,0.284458534,-0.926684426,-0.923408827,0.110428067,0.189868371,-0.952343805,0.591956943,0.889295429,0.144650286
f276,-0.430175293,-0.474992966,-0.355520037,-0.272866075,-0.368572622,-0.218896255,0.992241628,-0.320057829,1,-0.235380509,-1,-1,-0.36004061,-0.555840057,0.334193088,0.009583065,-0.39024407
f277,-0.809537204,-0.824517424,-0.600337854,-0.758150342,-0.788946632,-0.739990652,1,-0.772730657,0.987499413,-0.715047293,-0.970133934,-1,-0.602552672,-0.851540406,0.031899019,-0.19680916,-0.548646239
f278,0.137492922,-1,-0.696942916,0.088704695,0.114869808,0.092203003,0.28678745,0.093210012,0.299401438,0.11056572,-0.420479259,-1,-0.517695738,-0.004353393,0.230787772,0.391073796,-0.523078777
f279,-1,-1,-0.118074742,-1,-1,-1,0.966118947,-1,1,-0.453289177,-0.859960455,-1,-0.45819398,-1,0.81270903,0.995928457,-0.268140177
f280,-0.666124665,-0.692384521,-0.25781759,-0.573953034,-0.630030027,-0.542330692,1,-0.60160393,0.989983713,-0.507239425,-1,-1,-0.258577633,-0.739754959,0.459663409,-0.285857763,-0.148099891
f281,-0.405581044,-0.440282763,-0.814499129,-0.344210134,-0.372554383,-0.360139894,-0.209146733,-0.355558553,-0.21602053,-0.351682399,-0.473504921,-1,-0.815232334,-0.517159138,-0.520575566,-0.533681606,-0.834387316
f282,0.952034682,0.952671454,-0.616631749,0.9177745,1,0.872144018,-0.331974214,0.954461448,-0.324963739,0.203424918,-0.451551966,-1,-0.620983078,0.752333273,-0.775906527,-0.562256245,-0.789395649
f283,-0.67497733,-0.642927819,-0.806044933,-0.667872189,-0.670865753,-0.665449513,-0.047357362,-0.664091831,0.052852756,-0.665194869,-0.325868565,-1,-0.807903669,-0.681773273,1,-0.744625828,-0.836592856
f284,-0.84359756,-0.855898877,-0.394996462,-0.787114845,-0.826689187,-0.785606822,0.563917912,-0.813373109,0.578570537,-0.769168468,-0.730868773,-1,-0.403654831,-0.878089355,0.171876951,-0.03226075,-0.534446156
f285,-0.811349365,-0.825170605,-1,-0.76701214,-0.794010919,-0.746694618,-0.82142933,-0.780158674,-0.849166401,-0.728900938,-0.879927581,-1,-1,-0.853812851,-0.927960072,-0.872995646,-1
f286,0.003156385,-0.020489095,-1,0.130517566,0.063275039,0.173323893,-0.611229783,0.089673354,-0.679432408,0.215008682,-0.40427598,-1,-1,-0.11395661,-0.801190113,-0.90662191,-1
f287,-0.999997963,-0.999997967,-0.332107135,-0.999997834,-0.999997743,-0.999997673,-0.505272628,-0.999997569,-0.570212367,-0.999997495,-0.99999669,-0.717834426,-0.66205903,-0.99999828,-0.280174793,0.815344124,-0.607278112
f288,-0.024599746,0.117711535,-1,0.145494683,0.036323809,0.146050757,-0.278882123,0.039601682,-0.648788844,0.114333183,-0.45315773,-1,-1,0.123208752,-0.786078724,-0.348284302,-1
f289,0.870702633,0.836097284,-1,0.202974576,0.914622916,0.186219707,-0.703867526,1,-0.495827632,0.109310378,-0.423819239,-0.838401585,-0.992622305,0.798792841,-0.450551726,-0.670396786,-0.465433066
f290,0.845425741,1,-1,0.300658262,0.751926636,0.220474279,-1,0.740804636,-1,0.14829241,-0.428050639,-1,-1,0.962409602,-1,-0.532292846,-1
f291,0.822993656,0.928217589,0.073939276,0.511552258,0.645617407,0.412323238,-0.428461951,0.232932568,-0.611849012,0.301192829,-0.302137644,-0.614436823,-0.467198125,1,-0.332848146,0.117902376,-0.353509331
f292,0.376114054,1,-0.792600157,-0.527837214,0.748956425,-0.287006072,-0.839592625,0.000269995,-0.807926941,-0.543241343,-0.710969075,-0.860419104,-0.837912671,0.672024991,-0.714410075,-0.360107832,-0.890879015
f293,0.968930149,0.691154392,-1,0.184725811,1,-0.006597904,-0.878076909,0.801099291,-0.89280525,-0.009577432,-0.443336824,-0.995946459,-1,0.520997668,-0.293893141,-0.169953984,-1
f294,0.91745691,0.876009668,-1,0.529147101,1,0.365632449,-0.999313349,0.872389825,-1,0.258713782,-0.321792077,-0.993766147,-1,0.692515482,-0.243594484,-0.290674104,-1
f295,0.213387716,0.239056242,-1,0.214356203,0.223031354,0.228799839,-0.748405797,0.271041,-0.916823188,0.265321049,-0.211059345,-1,-1,-0.002042748,1,-0.929791304,-1
f296,-0.011215172,1,-1,-0.535034903,-0.329976059,-0.587581224,-1,-0.413472228,-1,-0.47561752,-0.843040071,-0.999272991,-1,-0.330790533,-1,-0.721196945,-1
f297,0.79684112,0.660522875,-0.998287879,0.204651078,0.498311865,-0.256726935,-0.889853542,0.225771862,-0.815972092,-0.269802508,-0.392242757,-0.990411551,-0.995292808,1,-0.943130756,1,-0.993739915
f298,0.484164986,0.462469031,-0.531899508,0.382125872,0.705089203,0.458829214,-0.848039579,0.496338098,-0.937862264,0.284183854,-0.021251864,-0.99430317,-0.99831945,-0.830622697,-0.839115526,-0.468500092,-0.981841546
f299,0.688088482,0.59478877,0.043007798,0.734407017,0.714055108,0.705286029,-0.733655493,0.680046117,-0.922650002,0.660114363,-0.352041709,-0.993484906,-0.996237187,1,-0.64989713,-0.866514368,-0.96801268
f300,-0.340034503,-0.218484234,-0.992445581,-0.393514387,-0.246703873,-0.469982099,-0.927004832,-0.303296988,-0.869756774,-0.54413346,-0.698464813,-0.88681504,-0.996732289,-0.229481985,-0.782155651,-0.834064412,-1
f301,0.118134994,0.273700782,-0.935327047,-0.285552697,0.018961143,-0.362967118,-0.622120918,-0.168539176,-0.314683416,-0.430690782,-0.576671333,-0.675186913,-0.946553663,0.24862721,-0.68816899,-0.160003386,-0.902997334
f302,-0.09847953,-0.169385635,-0.305582359,-0.233448671,-0.001017858,-0.242131873,-0.559159577,-0.129972893,-0.610193584,-0.244895691,-0.642169509,-0.73625504,-0.687550938,-0.29729393,-0.297513998,0.718851277,-0.617012519
f303,-1,-0.964411181,-0.939324068,-0.960810695,-1,-0.958977474,-0.952957501,-1,-0.839725396,-0.958334236,-0.950889102,-0.923283372,-0.960990016,-0.968295174,-0.797922372,0.262520313,-0.812456748
f304,-0.703134464,-1,-0.319987752,-0.630686703,-0.674478177,-0.608861552,-0.570328185,-0.659118025,-0.648245223,-0.587953682,-0.81846325,-0.754468739,-0.696812504,-0.734001269,-0.345490172,0.419109673,-0.661538152
f305,0.627568609,0.670387119,-0.706130381,0.47659024,0.559778673,0.348523083,-0.9483299,0.504010704,-0.9483299,0.307877592,-0.600924132,-0.834713791,-0.482954925,0.5701505,-0.243039293,0.540506431,-0.913001309
f306,-0.618358955,-0.652153954,-1,-0.645613315,-0.638230481,-0.498915364,-0.852263546,-0.606428549,-0.987702323,-0.678646315,-0.818191295,-1,-1,-0.63759483,-0.913619198,-0.842757444,-0.976266348
f307,-0.98651138,-0.226459814,-0.968480972,0.087037816,-0.98651138,0.115460683,-0.787608626,-0.98651138,-0.896672414,0.0769451,-0.69271592,-0.843910458,-0.914984748,-0.331151174,-0.976956275,-0.534527543,-0.999996195
f308,-0.286143082,-0.342289132,-1,0.442325265,-0.208969362,0.575596072,-1,-0.115466343,-1,0.733562729,-0.234359135,-1,-1,-0.443571604,-1,-0.95861636,-1
f309,0.671874505,0.540378758,-1,0.687273904,0.852617695,0.762794594,-0.790170957,1,-0.932255761,0.785547859,-0.66506321,-1,-1,0.303172143,-1,-1,-1
f310,-0.4226532,-0.468062499,-1,-0.416703996,-0.360237329,-0.453947324,-1,-0.393609801,-1,-0.494073044,-0.87582952,-1,-1,-0.549976829,-1,-1,-1
f311,-0.030601252,-0.106846097,-0.962643016,0.12303844,0.074198613,0.124480012,-0.74166184,0.082568951,-0.591822693,0.119895057,-0.673121575,-0.989878133,-0.99274447,-0.244385006,-0.404487253,-0.760981833,-0.460383159
f312,-0.50136151,-0.539093472,-0.845508003,-0.248388675,-0.437619696,-0.120710481,-0.79707049,-0.336643105,-0.26604385,-0.078299337,-0.268770466,-0.956436805,-0.97532391,-0.611956333,-0.998783177,-1,-0.901347172
f313,-0.222652462,-0.282610945,0.574254219,0.109191692,-0.139088439,0.253027944,-0.999306134,0.014766931,-0.99131038,0.260171424,-0.851823905,-1,-0.977347028,-0.425394551,-0.987834966,-0.369486789,-0.970822427
f314,0.553765113,0.432078868,-0.995601036,0.293116625,0.307096264,0.387161057,-0.779365888,0.299771965,-0.805845411,0.275697696,-0.561916896,-0.824344036,-0.998244337,0.758594617,-0.679094161,0.171536628,-0.999859345
f315,0.187989415,0.095516651,-0.564225202,0.212876816,0.098315498,0.336728008,-0.284128919,0.166997828,-0.297258433,0.288013705,-0.58041014,-0.567351277,-0.556722623,0.205093204,-0.218481353,0.214542499,-0.578292538
f316,0.562447561,0.513795745,-1,1,0.727478837,0.737763279,-0.996689549,0.889468814,-0.998076454,0.438864203,-0.412386413,-1,-1,0.305258713,-1,0.094678886,-1
f317,0.256769237,0.18300909,-0.1218086,0.497261052,0.2349033,0.587154224,0.796008183,0.37387427,0.86357443,0.682032474,-0.514694811,-0.7246615,-0.137453651,0.335901076,1,0.048875542,-0.15731291
f318,0.028061121,-0.145938697,0.069459631,0.147995343,0.11135227,0.100561105,0.814376452,0.025171369,0.869255512,0.009779587,-0.410337472,-0.060538612,0.024566592,-0.147125312,0.745357813,-0.076292418,-0.038446526
f319,0.386959777,0.375908614,-0.027827855,0.626323372,0.391360561,0.667832793,0.049615002,0.485259338,0.057448149,0.703624213,0.123775086,-0.064312342,-0.055322845,0.740126471,-0.166528379,-0.662795008,-0.072053839
f320,0.300984237,0.361040362,0.18958769,0.388384809,0.291480807,0.504498123,0.665192774,0.346204197,0.782155172,0.536606547,-0.005811638,-0.114545086,0.123095289,0.904010586,1,0.384982072,-0.032089179
f321,-0.570269047,-0.58312981,0.240619485,-0.571209894,-0.606357783,-0.535517354,0.774830744,-0.559368243,0.824463186,-0.358515203,-0.740517467,-0.038835761,0.132166186,-0.506138344,0.939938863,0.09612569,0.007835154
f322,-0.605224709,-0.582036407,-0.915830792,-0.525511587,-0.599922093,-0.491781205,0.862508789,-0.519295932,0.735484099,-0.372738113,-0.298918709,-0.713028861,-0.907198052,-0.535714429,-0.103684932,-0.710483551,-0.88285103
f323,-0.040789118,0.113839714,-0.981350852,-0.072441037,-0.035056386,0.003841183,0.416978596,-0.033632131,0.463938119,-0.165016242,-0.458263391,-0.966879598,-0.981350852,0.027366161,0.029176834,-0.964529079,-0.959916442
f324,0.794267497,0.544562583,-1,0.682280075,0.845638946,0.693384703,-1,1,-1,0.441856326,-0.302530055,-1,-1,0.520021121,-1,-0.96413162,-1
f325,0.799094134,1,-0.06868365,0.781265281,0.860121131,0.878608041,0.873039134,0.906550809,1,0.645297509,-0.43366231,-0.106249793,-0.06868365,0.761543423,0.99784936,-0.211211699,-0.06868365
f326,-0.036394926,0.631813513,-0.806131266,0.164694937,0.154159603,0.447137015,0.159461297,0.172530171,0.19474052,0.862398549,-0.146276452,-0.827363348,-0.836832854,0.83919547,0.412984625,-0.06798926,-0.827363348
f327,-0.604642634,-0.583909758,-0.850745445,-0.509972053,-0.567736624,-0.505508326,0.130986121,-0.531369147,0.180955418,-0.50327044,-0.769194383,-0.888291835,-0.874193467,-0.65606344,0.403715062,-0.054825888,-0.888291835
f328,0.046043157,0.03415547,0.106921347,0.22825577,0.20119432,0.291057896,0.960702431,0.195448113,0.989300452,-0.084884876,-0.774154429,-0.131236255,0.031242021,-0.082406018,1,0.521724448,-0.112168162
f329,0.515713888,0.924528903,0.1152,0.333242258,0.610974989,0.349399878,0.832,0.266804434,0.7984,-0.392121876,0.116408496,0.1072,0.1344,0.864117232,1,-0.08192,0.0792
f330,0.600651403,0.499799981,-1,1,0.661493861,0.76917699,-0.959453692,0.894777494,-0.976440461,0.796700237,0.171720714,-1,-1,-0.080396239,-1,0.724285105,-1
f331,-0.247534363,-0.193965013,-0.032258065,-0.117796285,-0.167435692,0.226655216,0.440860215,-0.167273392,0.440860215,-0.410218358,-0.757204171,0.182795699,0.11827957,-0.47019256,-0.204301075,0.548387097,0.11827957
f332,-0.688614959,-0.705730096,-1,-0.671729033,-0.716360527,-0.593042155,-1,-0.685385172,-1,-0.670834353,-0.778033944,-1,-1,-0.731807419,-1,0.929824561,-1
f333,0.320321279,0.165627005,-0.1218086,0.883045268,0.478033997,1,0.796008183,0.685632366,0.86357443,0.063545748,-0.6537431,-0.7246615,-0.137453651,-0.067431089,1,-0.138870222,-0.15731291
f334,-0.991669103,-0.9922487,0.139574444,-0.988801748,-0.989954743,-0.987495417,0.933328737,-0.988864535,0.991805721,-0.994278072,-0.999672739,0.001053391,0.091738174,-0.993442341,0.859785169,-0.109408254,0.024593854
f335,-0.999198889,-0.999618779,0.310411403,-0.998624651,-0.999142583,-0.998456419,0.929829407,-0.998683199,0.974938468,-0.998100644,-0.993817861,0.104703463,0.232250627,-0.999567334,0.901443011,-0.048577877,0.12687662
f336,-0.996899789,-0.996923995,0.438795977,-0.996294277,-0.996463904,-0.996015633,0.553409908,-0.996271439,0.565002814,-0.99577893,-0.994332583,0.384799642,0.398103923,-0.997079622,0.233521883,-0.631626672,0.373342376
f337,0.708411993,0.628754845,0.18958769,0.885291349,0.783009563,1,0.665192774,0.823757116,0.782155172,-0.211767774,-0.70447474,-0.114545086,0.123095289,0.42595531,1,0.173835787,-0.032089179
f338,-0.261776704,-0.293700312,0.240619485,-0.052399539,-0.223158348,-0.121238376,0.774830744,-0.20475091,0.824463186,-0.473632244,-0.730704547,-0.038835761,0.132166186,-0.380303843,0.939938863,0.076215261,0.007835154
f339,0.860399878,0.749561791,-0.915830792,0.823527382,0.871222296,0.831108817,0.862508789,0.86898222,0.735484099,0.919513681,-0.336145713,-0.713028861,-0.907198052,0.552671162,-0.103684932,-0.807440005,-0.88285103
f340,-0.962477348,-0.965520554,-0.976809664,-0.952139853,-0.958411626,-0.948587546,0.416978596,-0.955226172,0.463938119,-0.944645554,-1,-0.966879598,-0.980987557,-0.971854768,-0.321550059,-0.922280282,-0.959916442
f341,-0.373241952,-0.422537529,-0.967873832,-0.230940937,-0.306932412,-0.191484534,-1,-0.272483381,-1,-0.137495512,-0.82667628,-1,-0.980529595,-0.511462358,-1,-0.939252336,-1
f342,-0.248687128,-0.307363403,-0.392631689,-0.128990364,-0.183798152,-0.085063093,0.545780355,-0.136656374,0.650558525,-0.028341847,-0.805859185,-0.262406489,-0.310644736,-0.411532778,0.690245775,-0.229500416,-0.23140393
f343,-0.341620708,-0.393328988,-0.806131266,-0.163700974,-0.270735231,-0.108497194,0.159461297,-0.214703247,0.19474052,-0.043269058,-0.748217268,-0.827363348,-0.836832854,-0.487758275,0.412984625,-0.091978706,-0.827363348
f344,-0.8438818,-0.851273582,-0.850745445,-0.771620201,-0.818096037,-0.743854621,0.130986121,-0.797825095,0.180955418,-0.709548227,-0.993002922,-0.888291835,-0.874193467,-0.896420355,0.403715062,-0.077705157,-0.888291835
f345,-1,-1,-0.943676446,-0.290746509,-0.324799086,-0.252241619,-0.900233445,-1,-0.89877829,-0.228829514,-0.479415941,-0.955794635,-0.947527242,-1,-0.898233864,-0.928006706,-0.954824392
f346,-0.384085511,-0.434870925,-1,0.046283137,-0.244509509,0.0982045,-1,-0.107188687,-1,0.207927393,-0.751707824,-1,-1,-0.525089899,-1,0.024437708,-1
f347,-0.225743236,-0.228489697,-1,-0.135052719,-0.201554816,-0.093349855,-1,-0.18172002,-1,-0.047575486,-0.891136782,-1,-1,-0.34931884,-1,0.024437708,-1
f348,-0.458933994,-0.513879682,-1,-0.338997522,-0.411838469,-0.298298464,-1,-0.371004896,-1,-0.301474523,-0.866799777,-1,-1,-0.605225071,-1,-0.597266174,-1
f349,-0.434222325,-0.514950255,-1,-0.332339105,-0.378995694,-0.158301374,-1,-0.377196621,-1,-0.034542296,-0.847851471,-1,-1,-0.61450194,-1,-0.569005836,-1
f350,-0.774435014,-0.807027842,-1,-0.732816077,-0.734984821,-0.686263647,-1,-0.743624661,-1,-0.634865326,-0.929267834,-1,-1,-0.845343706,-1,-0.753119031,-1
f351,-0.946295389,-0.949973564,-1,-0.942096059,-0.946212186,-0.944532359,-1,-0.945248441,-1,-0.941871519,-0.945738551,-1,-1,-0.958464376,-1,-0.172890628,-1
f352,-0.895014233,-0.903545242,-1,-0.865868178,-0.892006323,-0.872274214,-1,-0.88938568,-1,-0.877951797,-0.933009824,-1,-1,-0.915555421,-1,-0.916785428,-1
f353,0.725493913,0.589780909,-1,0.973549782,0.912033796,0.851132701,-1,0.936155059,-1,1,-0.197657564,-1,-1,0.344966739,-1,-0.833448318,-1
f354,-0.401658821,-0.448719364,-1,-0.253975595,-0.336973289,-0.254480619,-1,-0.295281978,-1,-0.226765899,-0.701947009,-1,-1,-0.533612389,-1,-0.828735404,-1
f355,-0.488924168,-0.529121144,-1,-0.395971683,-0.433672727,-0.392874283,-1,-0.409384861,-1,-0.353188137,-0.742154081,-1,-1,-0.601632907,-1,-0.843724861,-1
f356,0.016361087,-0.032109335,-1,0.944895163,0.066693578,1,-1,0.135002893,-1,0.273465162,-0.506710027,-1,-1,-0.181157137,-1,-0.573120969,-1
f357,0.21894464,0.158701269,-0.838203945,0.641841213,0.477945524,0.710050078,-0.950143847,0.587348134,-0.948328638,0.855292647,-0.246673115,-1,-0.795491906,-0.019729915,-0.941417973,-0.932651695,-1
f358,-0.646257634,-0.674080067,-1,-0.5486014,-0.608015216,-0.515097392,-1,-0.577897642,-1,-0.477918034,-0.79844093,-1,-1,-0.724269258,-1,-0.952061814,-1
f359,0.265853659,0.166292135,0.674771402,0.615312792,0.402702703,0.735205617,-0.787606511,0.510477299,-0.780137434,0.86825054,-0.56804324,-1,0.861039001,-0.013307985,-0.770305714,-0.168059127,-1
f360,0.265853659,0.166292134,0.942509774,0.615312792,0.402702702,0.735205616,-0.887999518,0.510477299,-0.887430039,0.86825054,-0.3591036,-1,0.834233501,-0.013307985,-0.910067569,-0.922080857,-1
f361,0.233756098,0.136719101,-0.301257244,0.574354186,0.367135135,0.691206954,-0.308496041,0.47217695,-0.284178456,0.82087833,-0.7085311,-1,0.604069636,-0.038326996,-0.252168656,0.792604495,-1
f362,0.144982684,0.150666237,0.007341767,0.178459137,0.164364614,0.195226376,-0.204370813,0.190148747,-0.200325349,0.220084572,-0.533352518,-1,0.042402449,0.080519239,-0.361137867,-0.577281192,-1
f363,-0.164732709,-0.159640911,0.942510279,-0.170748455,-0.113730506,-0.220599513,-1,-0.212976983,-1,-0.190346415,-0.307313021,-1,0.820383221,-0.227091138,-1,-0.625713868,-1
f364,-0.944866704,-0.947321662,0.942510279,-0.935378803,-0.938453803,-0.93338154,-1,-0.93908547,-1,-0.92947913,-0.927921156,-1,0.820383221,-0.954160403,-1,-0.980136842,-1
f365,-1,-1,-0.662153613,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.08768822,-1,-1,-0.942553461,-1
f366,-1,-1,0.7438,-1,-1,-1,-1,-1,-1,-1,-0.764396331,-1,0.4706,-0.67646042,-1,-0.3236,-1
f367,-0.809537204,-0.824517424,0.854,-0.758150342,-0.788946632,-0.739990652,-1,-0.772730657,-1,-0.715047293,-0.967318279,-1,0.84,-0.851540406,-1,-0.5274,-1
f368,0.074830882,-1,-0.79230798,0.028730293,0.053454026,0.032035887,-0.835829385,0.032987422,-0.864536407,0.049387041,-0.429227207,-1,-0.774545666,-0.059201424,-0.821214298,-0.90914564,-1
f369,-1,-1,-0.910731709,-1,-1,-1,-0.898450053,-1,-0.891715487,0.275737942,-0.662742167,-1,-0.935967648,-1,-0.867567377,-0.99521688,-1
f370,-0.755123915,-0.769419591,0.411834483,-0.729841632,-0.741518293,-0.736404036,-0.912524138,-0.734516713,-0.887862069,-0.732919897,-0.772223595,-1,0.216096552,-0.801089486,-0.651351724,-0.613834483,-1
f371,-0.819138638,-0.819079639,-0.996962781,-0.822312937,-0.81469452,-0.826540727,0.510633947,-0.818913791,0.510633947,-0.888499384,-0.948578052,-0.989415133,-0.997296115,-0.837641521,1,-0.993345603,-0.986898978
f372,-0.828727777,-0.842198626,-0.607482692,-0.808485687,-0.810211861,-0.807088704,0.326256722,-0.806305826,0.442939487,-0.806941869,-0.591773431,-0.742100737,-0.610909975,-0.866498838,1,0.816453448,-0.677115724
f373,-0.90429878,-0.911825843,0.079252339,-0.869737524,-0.893952701,-0.868814779,-0.34406196,-0.885804715,-0.28195419,-0.8587563,-0.827058694,-0.044299245,-0.358868177,-0.925403993,0.011880685,1,-0.118810048
f374,-0.938070661,-0.942607833,0.107643762,-0.923515847,-0.932378878,-0.916846107,-0.358292698,-0.927831529,-0.296925344,-0.911004881,-0.960187155,-0.021736686,-0.342451998,-0.952010374,0.0025332,1,-0.096536721
f375,0.099512196,0.073595505,-0.971051117,0.239106753,0.165405405,0.286024741,-0.928521479,0.194339348,-0.920842181,0.331713463,-0.347590539,-0.97860278,-0.970823609,-0.02884981,-0.879691785,-0.894966434,-0.948745242
f376,-0.801524386,-0.817134833,-1,-0.746732031,-0.780067571,-0.7279338,-1,-0.763169383,-1,-0.707073436,-0.561632261,-1,-1,-0.845294678,-1,1,-1
f377,-0.024599746,0.117711535,-0.83339304,0.145494683,0.036323809,0.146050757,-0.914065099,0.039601682,-0.914065099,0.114333183,-0.425721215,-0.928089587,-0.942140258,0.123208752,-0.728454585,-0.238331988,-0.886494152
f378,0.870702633,0.836097284,-0.939048209,0.202974576,0.914622916,0.186219707,-0.261594655,1,-0.205200076,0.109310378,-0.394910735,-0.888586128,-0.953772151,0.798792841,-0.141691359,0.284918064,-0.930013577
