,or4378,or4319,or2451,or4434,or2061,or1,or4323,or2095,or3866,or2236,or2059,or4324,or470,or2060,or4359,or2064,or4500,or4354,or1602,or1036,or3583,or753,or2114,or4325,or1319,or2055,or2090,or2080,or2111,or4030,or2734,or1766
f18,-0.90257105,-0.859593332,-0.951721251,-0.831311407,-0.965156836,0.726249437,-0.883939371,-0.952582921,-0.954843522,-0.500228125,-0.952681975,-0.83493045,0.036470059,-0.968956926,-0.917750772,-0.977040372,-0.89502448,-0.931841356,-0.092699985,-0.104676572,-0.960844965,-0.058997449,-0.926693682,-0.847312633,-0.105369953,-0.933354345,-0.885568062,-0.859741858,-0.824283356,-0.959599854,-0.921985129,0.518349092
f19,-0.964277634,-0.922943119,-0.982001688,-0.89413822,-0.984710132,0.224958708,-0.953608718,-0.983318027,-0.987747143,-0.750121926,-0.975996676,-0.911183895,-0.78303658,-0.993919437,-0.965270476,-0.989433509,-0.972198048,-0.976120948,-0.613802784,-0.765975154,-0.986576966,-0.774995897,-0.973268337,-0.941911772,-0.697201009,-0.985857803,-0.894896122,-0.887318698,-0.839628648,-0.987483184,-0.973534495,-0.171693257
f20,-0.82387381,-0.526553553,-0.939446487,-0.598186528,-0.966552981,0.369885156,-0.737388284,-0.96221097,-0.972727592,-0.779371712,-0.961338123,-0.615052773,-0.439518964,-0.979764897,-0.834609758,-0.97880921,-0.925906736,-0.916146575,-0.431216814,-0.458762012,-0.954628951,-0.467409664,-0.940688822,-0.693703941,-0.429450914,-0.95546863,-0.861494104,-0.81917718,-0.835702682,-0.954466648,-0.928441293,0.706672836
f21,-0.986778447,-0.999725627,-0.967476437,-0.999937807,-0.984295407,0.642484342,-0.986310663,-0.981377871,-0.972640354,-0.734775574,-0.957265136,-0.998639771,-0.458768267,-0.984556367,-0.991890703,-0.987708768,-0.993975621,-0.902067788,-0.478877871,-0.468042797,-0.988637597,-0.508930063,-0.964363257,-0.997319061,-0.448872651,-0.987625261,-0.879337161,-0.907531315,-0.870897704,-0.990446327,-0.955950537,0.590871608
f22,-0.886046022,-0.999151677,-0.913907985,-1,-0.959179622,0.16319466,-1,-0.931650682,-0.998935168,-0.522429495,-0.958726752,-0.999559199,-0.769222179,-0.958720548,-0.990641031,-0.940128044,-0.973975236,-0.93693633,-0.712101567,-0.741488517,-0.983661709,-0.753182501,-0.839696267,-1,-0.635858034,-0.945140638,-0.800857972,-0.881847339,-0.751491991,-0.993259025,-0.997314591,0.035745747
f23,-0.989849151,-0.999827148,-0.991570798,-0.99981511,-0.970501711,0.551254015,-0.99671048,-0.952977349,-0.998564385,-0.616243882,-0.956996776,-0.99967305,-0.303243167,-0.971513949,-0.998432694,-0.958772409,-0.998022286,-0.992728943,-0.157987081,-0.199568956,-0.998151569,-0.234208567,-0.93811011,-0.998244116,-0.185317495,-0.970214911,-0.82563365,-0.796350462,-0.743773158,-0.999448717,-0.993459605,0.121803807
f24,-0.890627985,-0.982661334,-0.977654661,-0.998219335,-0.976270399,0.370801919,-0.862017931,-0.977691048,-0.989001777,-0.851119583,-0.96626921,-0.970849861,-0.711791729,-0.984662879,-0.983508884,-0.979435705,-0.994828495,-0.980982703,-0.451038014,-0.548500898,-0.989526717,-0.502618685,-0.980865418,-0.992621947,-0.46000827,-0.975552144,-0.864523986,-0.840264191,-0.898501747,-0.997461424,-0.97733543,0.311311382
f25,-0.989673285,-0.957632011,-0.980588509,-0.855340702,-0.986443542,0.49982779,-0.971235688,-0.989179376,-0.962292444,-0.664909245,-0.959060112,-0.938630624,-0.61793156,-0.981825255,-0.988394041,-0.982748355,-0.984150565,-0.957261302,-0.613277018,-0.51888938,-0.947135297,-0.569174607,-0.975413756,-0.978560598,-0.616567826,-0.984198542,-0.905673716,-0.858944236,-0.823891548,-0.95136757,-0.956069722,-0.24998013
f26,-0.991371929,-0.990199248,-0.99524698,-0.988241524,-0.950871978,0.416812737,-0.991909968,-0.969095065,-0.996835193,-0.558445545,-0.926122182,-0.98848647,-0.216471862,-0.956090114,-0.99411594,-0.956800943,-0.992263158,-0.99423253,-0.137779788,-0.091058894,-0.997007329,-0.142254784,-0.957172514,-0.989356893,-0.176810798,-0.948448695,-0.810192328,-0.905055776,-0.511708495,-0.997075279,-0.994518669,0.496603365
f27,-0.996175655,-0.993361898,-0.997827285,-0.990884357,-0.994197306,-0.379686931,-0.995767308,-0.994969057,-0.998840021,-0.941463415,-0.991328722,-0.992339396,-0.826720058,-0.995303968,-0.996897723,-0.996658173,-0.99746291,-0.997407567,-0.769035311,-0.825198398,-0.99870879,-0.828882417,-0.990396797,-0.994875337,-0.796133964,-0.978427375,-0.95815071,-0.969028031,-0.952537313,-0.998882921,-0.997239363,-0.480829996
