,or4378,or4319,or2451,or4434,or2061,or1,or4323,or2095,or3866,or2236,or2059,or4324,or470,or2060,or4359,or2064,or4500,or4354,or1602,or1036,or3583,or753,or2114,or4325,or1319,or2055,or2090,or2080,or2111,or4030,or2734,or1766
f253,-0.939496929,-0.961530829,-1,-0.960820842,-0.821078093,0.449141403,-0.974950875,-0.608712615,-0.970681208,-0.590382272,-0.775090181,-0.894221821,0.019716822,-0.848279505,-0.981751526,-0.666632655,-0.991339446,-0.982119661,-0.277337959,0.019716822,-0.969932932,0.019716822,-0.895791944,-0.980355715,0.019716822,-0.764274439,-0.768775996,-0.636934379,-0.697999508,-1,-0.971975588,0.109904027
f254,-0.917586271,-0.977894954,-1,-0.974344947,-0.962015548,0.834547405,-0.978676016,-0.932990758,-0.966163396,-0.66054925,-0.949366612,-0.938618671,-0.593878819,-0.914055,-0.979019673,-0.912925631,-0.995112227,-0.988382958,-0.648201479,-0.593878819,-0.965299816,-0.593878819,-0.947032582,-0.960350234,-0.593878819,-0.914770267,-0.872418921,-0.774841418,-0.817682158,-1,-0.96691455,-0.19698082
f255,-0.98308799,-0.993280324,-1,-0.979832743,-0.706675523,-0.805513119,-0.982574069,-0.663367652,-1,-0.101029558,-0.606775158,-0.981565605,0.011491199,-0.787446031,-0.984841486,-0.591497841,-0.998182853,-0.958275005,-0.250083029,-0.210893391,-0.980245247,0.051079376,-0.682763202,-0.98731585,-0.155762205,-0.447359681,-0.451212222,-0.482829625,-0.661773497,-0.994875524,-0.937104916,-0.492128861
f256,-0.98851397,-0.982288165,-1,-0.968659116,-0.343182871,-0.363092038,-0.984769005,-0.406358328,-1,-0.342775049,-0.260765595,-0.981527754,0.224246918,-0.227175827,-0.98539076,-0.282046529,-0.995889325,-0.99125333,0.188469738,0.1816109,-0.977866259,0.221911206,-0.510872185,-0.990878901,0.102678654,-0.091407915,-0.081768468,-0.004245064,-0.492742608,-0.980279679,-0.973081076,-0.246269348
f257,-0.80297697,-0.747090583,-0.625984871,-0.552506408,0.319000198,0.319000198,-0.78038973,0.309107696,-0.678955944,0.296840995,0.319000198,-0.673789718,0.315175097,0.319000198,-0.723854532,0.319000198,-0.746088096,-0.715066562,0.319000198,0.319000198,-0.68716106,0.315175097,0.303963596,-0.776894694,0.319000198,0.319000198,0.317813098,0.317681198,0.319000198,-0.673938774,-0.496601241,0.319000198
f258,-0.755594374,-0.788208555,-0.29311686,-0.433529532,0.415127715,0.415127715,-0.781875983,0.40210854,-0.336362497,0.41484469,0.412014434,-0.738531241,0.409467204,0.415127715,-0.740677156,0.415127715,-0.653636742,-0.732088507,0.401400976,0.411589896,-0.375716581,0.41229746,0.337578716,-0.814261462,0.41229746,0.415127715,0.401684002,0.414420151,0.415127715,-0.514565389,-0.269460776,0.415127715
f259,-0.906629678,-0.784424376,-0.357427704,-0.481199755,-0.5587732,-0.505857575,-0.783093371,-0.468211136,-0.552545099,-0.827036988,-0.422140319,-0.743456136,-0.555350796,-0.654073977,-0.767940203,-0.812031065,-0.724639088,-0.766339297,-0.966829011,-0.533763328,-0.541125137,-0.550875346,-0.675924707,-0.809367305,-0.52691852,-0.800974069,-0.527971568,-0.618533632,-0.806765829,-0.542735386,-0.392179449,-0.18283533
f260,-0.951478999,-0.937193039,-0.753721911,0.428066404,0.011486599,-0.747960713,-0.934250661,-0.113034793,-0.753095374,-0.386049609,-0.211253538,-0.921013709,-0.679041119,-0.022473781,-0.917944742,-0.198934576,-0.899958287,-0.90317159,-0.634426502,-0.700016647,-0.745443515,-0.686032962,-0.034126852,-0.945213522,-0.712335608,0.042450474,-0.545530215,-0.35075745,-0.316464125,-0.745446868,-0.741778145,-0.847511237
f261,-0.977079031,-0.851190407,-0.950860948,-0.646890244,-0.339949227,-0.536579737,-0.879473703,-0.712439418,-0.186167039,-0.626586661,-0.232864066,-0.848199485,-0.569351489,-0.526886684,-0.746297638,-0.431340872,-0.853824916,-0.850821058,-0.237018232,-0.619201477,-0.383945337,-0.550426956,-0.43226402,-0.913198732,-0.573967228,-0.132240942,-0.446111239,-0.277636741,-0.427186707,-0.91198685,-0.737317573,-0.212554812
f262,-0.73580139,-0.737498536,-0.851662082,-0.659072734,0.565545529,0.364397047,-0.743349799,0.594749795,-0.82343281,0.584741591,0.568170632,-0.750206271,0.49926169,0.582608696,-0.813572716,0.599507793,-0.797052085,-0.783464926,0.558654635,0.529450369,-0.818926455,0.619688269,0.604593929,-0.777360853,0.546841674,0.54585726,0.564068909,0.597374897,0.61657096,-0.763144769,-0.810555152,0.561607875
f263,-0.984544122,-0.981714421,-0.999960171,-0.992632275,0.419360131,0.345365053,-0.991085659,0.423954061,-0.507718324,0.584741591,0.493027071,-1,0.49926169,0.481378179,-0.967293808,0.599507793,-0.866231194,-0.93887227,0.558654635,0.529450369,-0.522426731,0.619688269,0.604593929,-0.991840104,0.546841674,0.471862182,0.554552912,0.551763741,0.603281378,-0.057661266,-0.5940522,0.519114028
f264,-0.97055636,-0.949175411,-0.910243818,-0.900071157,-0.588274484,-0.683677548,-0.932419576,-0.610126582,-0.810530646,-0.734043971,-0.478481013,-0.972444917,-0.469153897,-0.518187875,-0.913372301,-0.59200533,-0.872199939,-0.910742734,-0.39586942,-0.975164705,-0.843482573,-0.461958694,-0.526715523,-0.826593467,-0.411325783,-0.464623584,-0.591472352,-0.645303131,-0.653297801,-0.795213999,-0.876344158,-0.773750833
f265,-0.977637457,-0.990687952,-0.955617193,-0.947116462,0.314294535,0.426366162,-0.992628637,0.334979932,-0.939883876,0.221673356,0.360296388,-0.985670674,0.266131522,0.330040136,-0.981805058,0.20654523,-0.98027418,-0.983789272,0.312133374,0.284347021,-0.93892852,0.281259648,0.249768447,-0.993163514,0.290521766,0.370793455,0.401358444,0.330040136,0.277554801,-0.98129406,-0.950724905,0.118863847
f266,-0.982870289,-0.998719297,-0.922797788,-0.975816008,0.239609572,0.415302267,-1,0.269836272,-0.936884524,0.145151134,0.319899244,-0.991616216,0.122481108,0.279282116,-0.991981209,0.14231738,-0.989966216,-1,0.177896725,0.135390428,-0.935273688,0.123425693,0.154596977,-0.999624233,0.155541562,0.306675063,0.329345088,0.251574307,0.154596977,-0.996056634,-0.922260243,0.085957179
f267,-0.957605799,-0.961023861,-0.955552741,-0.94010317,1,0.9824,-0.974401933,1,-0.210888432,1,1,-0.986567865,0.741,1,-0.929404672,1,-0.775252416,-0.889114161,1,0.9048,-0.235329595,0.736,1,-0.964402089,1,1,1,1,1,0.420380158,-0.948360653,1
f268,-0.969992194,-0.980447878,-0.676925142,-0.9177765,1,0.9824,-0.972180451,1,-0.608954708,0.9952,1,-1,0.741,1,-0.952392811,1,-0.785218223,-0.910611642,0.93,0.9048,-0.63275284,0.736,1,-0.974618818,0.922,1,1,1,1,-0.826484182,-0.666550065,1
f269,-0.976222963,-0.989142762,-0.992052836,-0.908739238,-0.971318181,-0.699656279,-0.999491177,-0.983674187,-0.993169822,-0.893722981,-0.956842749,-1,-0.929655694,-0.9800869,-0.99960871,-0.980950777,-0.656050603,-0.994928675,-0.863932032,-0.863939353,-0.993954012,-0.929663564,-0.950144041,-0.988816401,-0.863939353,-0.968775967,-0.969176791,-0.975977993,-0.846863138,-0.997705748,-0.992343195,-0.883953116
f270,-0.989608591,-0.988706583,-0.904100213,-0.973738558,-0.872277421,0.612546269,-0.991468946,-0.808610949,-0.862285317,-0.311747516,-0.820689655,-0.985721359,-0.46624586,-0.919735048,-0.992847509,-0.922462498,-0.978357497,-0.982764524,-0.300292227,-0.334112605,-0.858770557,-0.45840639,-0.805415936,-0.984313878,-0.321644263,-0.832144944,-0.773933372,-0.773387882,-0.379076563,-0.997120975,-0.885892399,0.888797974
f271,-0.974415425,-0.987299591,-0.500400778,-0.644137161,-0.938357705,-1,-0.988155828,-0.84071991,-0.476801939,-0.95568054,-0.945106862,-0.854409359,0.459572553,-0.955455568,-0.954944256,-0.836670416,-0.857312863,-1,0.523509561,0.786276715,-0.463448856,0.544206974,-1,-0.981736274,1,-0.850618673,-0.798650169,-0.335658043,-1,-0.759269534,-0.459599143,-1
f272,-0.932911326,-0.95625787,-0.999112714,-0.816104976,-0.946198659,0.485313833,-0.937824193,-0.934308349,-0.125809777,-0.885127361,-0.949379647,-0.999861371,-0.829918342,-0.932305911,-0.893646793,-0.964290067,-0.520120218,-0.800300697,-0.744156002,-0.74415844,-0.178914704,-0.829918342,-0.888604509,-0.94321058,-0.744156002,-0.951492992,-0.907547837,-0.862692261,-0.714806825,-0.612516786,-0.998969948,-0.227239488
f273,-0.284284218,-0.372364956,-1,0.363837293,-0.929345095,0.469190409,-0.371962799,-0.914823692,0.289079149,-0.485359164,-0.911561936,-0.281489164,-0.555799913,-0.934715461,-0.462596147,-0.958807976,-0.062550252,-0.209519762,-0.468819755,-0.493357055,0.2434262,-0.548625697,-0.870534648,-0.392695274,-0.483884784,-0.902880394,-0.806049075,-0.806864514,-0.641215086,0.176710719,0.099073646,0.996408774
f274,-0.250678712,-0.266653705,-1,0.08155416,-0.969980997,-1,-0.405534266,-0.914873401,0.41541809,-0.96661702,-0.960043141,-0.339569161,0.343793334,-0.975347953,-0.372994185,-0.897077705,0.094843682,-0.277598717,0.386934415,0.622233065,0.434141057,0.42799548,-0.843099995,-0.342568502,0.816907195,-0.877638539,-0.799958913,-0.475861538,-0.588952802,0.353390636,0.234424992,-1
f275,-0.949427029,-0.947616629,-1,-0.941081465,-0.816092545,0.62187084,-0.971113779,-0.709349058,-0.952148382,-0.098866333,-0.769999936,-0.965829233,0.316455859,-0.814009118,-0.970833982,-0.800441121,-0.933517214,-0.965480384,0.624738768,0.591185303,-0.94486873,0.331091291,-0.564126472,-0.969831192,0.606438047,-0.690598214,-0.612534,-0.382045231,-0.079035193,-0.956570112,-0.94676465,0.591815475
f276,-0.339651568,-0.660861791,-0.761036908,-0.6773247,-0.903277586,-0.008759895,-0.679084668,-0.844969749,-0.758250023,-0.519344483,-0.877738753,-0.730965489,-0.528186695,-0.900794359,-0.887076301,-0.894030649,-0.509638513,-0.763023691,-0.513973302,-0.558561649,-0.75208007,-1,-0.796258695,-0.678175948,-0.542015942,-0.836408786,-0.845655723,-0.682002771,-0.518370399,-1,-0.741681398,0.302693136
f277,-0.986106617,-0.993193207,-1,-0.809918149,-0.938247853,-1,-0.987159405,-0.853596734,-0.975839871,-0.538116466,-0.908009948,-0.965418072,-0.627084604,-0.922593966,-0.988731528,-0.922819201,-0.991215198,-0.985260068,-0.589488996,-0.617099151,-0.975223255,-1,-0.862456009,-0.991484957,-0.600675707,-0.862643705,-0.819717517,-0.729979823,-0.614396321,-0.969637597,-0.977248825,0.035690488
f278,-0.847578808,-0.890966916,-1,-0.800157685,-0.867995019,-1,-0.863063247,-0.799863415,-0.661578252,-0.291206363,-0.910737958,-0.825362141,-0.201944322,-0.92343229,-0.905633954,-0.893062307,-0.824189712,-0.815360775,-0.110111276,-0.387699353,-0.681167792,-1,-0.690756438,-0.916558459,-0.382316314,-0.86823605,-0.803960953,-0.619330736,-0.254007151,-0.380777431,-0.743507261,0.213433495
f279,-0.931387563,-0.92062374,-1,-0.707930257,-0.826523193,-1,-0.977390392,-0.59560855,-0.896526094,-0.188454268,-0.821870001,-0.974431605,-0.248654937,-0.892976589,-0.922586456,-0.831758034,-0.886166241,-0.911995468,-0.179874945,-0.234113712,-0.893885228,-1,-0.663079831,-0.903736521,-0.124036644,-0.754834957,-0.809946197,-0.478551694,-0.130725607,-0.904184235,-0.887348242,0.708739276
f280,-0.733605163,-0.820119725,-0.787118502,-0.712820514,-0.90781759,-1,-0.809801065,-0.878393051,-0.802916039,-0.702144408,-0.894571118,-0.631275716,-0.5165038,-0.890879479,-0.835825273,-0.905998914,-0.814657211,-0.753226319,-0.483686211,-0.510287731,-0.797886057,-1,-0.827035831,-0.851261623,-0.494109663,-0.835260586,-0.914522258,-0.769761129,-0.631731813,-1,-0.789408653,0.486210641
f281,0.00103197,-0.433119942,-0.144021675,-0.176437983,-0.961781688,-1,-0.686096602,-0.948309046,-0.158699982,-0.813307671,-0.982403079,-0.464102564,-0.830263037,-0.948492347,-0.615054816,-0.950966914,0.026940646,-0.429423395,-0.816515443,-0.826871964,-0.162111808,-1,-0.854917056,-0.662962307,-0.818623408,-0.930712125,-0.971679956,-0.953624782,-0.892585464,-0.487789605,-0.131884933,-0.487031436
f282,-0.647266342,-0.54728065,-0.140896163,-0.054937569,-0.952232071,-1,-0.525034918,-0.964238517,-0.02225888,-0.832328767,-0.949315068,-0.402783987,-0.874101531,-0.969589041,-0.247614728,-0.961321515,-0.332405422,-0.319806962,-0.873424658,-0.874858985,-0.048328763,-1,-0.943255439,-0.552481294,-0.874520548,-0.939726027,-0.939210314,-0.892780016,-0.824721998,-0.386688777,-0.141702906,-0.778275584
f283,-0.59141873,-0.832777387,0.569435927,0.146858529,-0.955147891,-1,-0.702356926,-0.970502667,0.656770025,-0.928963957,-0.976644577,-0.452060569,-0.704460967,-0.954824632,-0.746769301,-0.985130112,0.2781258,-0.277306759,-0.942540811,-0.943348957,0.656466152,-1,-0.898900921,-0.841974142,-0.943025699,-0.978341684,-0.972523032,-0.938419266,-0.858493616,-0.269164084,0.601985399,0.602392112
f284,-0.731995415,-0.842706962,-0.5559934,-0.704038462,-0.946551222,-1,-0.943995632,-0.841818258,-0.598614252,-0.436789743,-0.743912084,-0.841666667,-0.776963743,-0.865045998,-0.819525065,-0.811347459,-0.28598404,-0.727514163,-0.77713025,-0.777879532,-0.588370069,-1,-0.710277651,-0.897808767,-0.777713025,-0.802605836,-0.8686259,-0.396911293,-0.414061524,-0.765592871,-0.560769973,0.160221454
f285,-0.897985879,-0.901927938,-0.739960079,-0.766881108,-1,-0.820919613,-0.897289728,-1,-0.754140414,-0.880981204,-0.986619943,-0.905347802,-0.960836785,-0.95760858,-0.602877153,-0.975703515,-0.724517728,-0.713936281,-0.898056706,-0.916364023,-0.749964509,-0.949070829,-0.966995859,-0.93377383,-0.929234363,-0.935988107,-0.952129128,-0.925156632,-0.835998726,-0.888237529,-0.744124415,-0.89741956
f286,-0.540295017,-0.691582283,-0.347219826,-0.33800905,-1,-0.892126945,-0.607115335,-1,-0.345089166,-0.721696674,-0.978486421,-0.548801743,-0.96673787,-0.872749466,-0.514899892,-0.948275862,-0.442365457,-0.483919347,-0.854592615,-0.925846811,-0.333560802,-0.951785169,-0.966585291,-0.594797281,-0.929356118,-0.944613976,-0.956972841,-0.467348184,-0.852303937,-0.361891707,-0.332627043,-0.801190113
f287,-0.999998404,-0.999999268,-0.999993197,-0.999994111,-0.917048101,0.773238333,-0.999998784,-0.962254259,-0.999993544,-0.509744795,-0.908924164,-0.999997938,-0.603828271,-0.925111824,-0.999998347,-0.926753203,-0.999995336,-0.99999655,-0.267362909,-0.49041857,-0.999993379,-0.566899137,-0.955322501,-0.99999903,-0.518380187,-0.872200312,-0.478840564,-0.704355231,-0.528383006,-0.999996947,-0.99999327,-0.332253952
f288,-0.714871016,-0.65400041,-0.490014906,-0.444480798,-0.995697638,-0.43274333,-0.740767785,-0.826110262,-0.389485091,-0.886927569,-0.919122965,-0.666620404,-0.956273026,-0.950779502,-0.791126515,-0.973669657,-0.624950872,-0.684979865,-0.728732803,-0.949619537,-0.400865905,-0.987558034,-0.992217744,-0.759255609,-0.597271106,-0.959009861,-0.778829655,-0.761509599,-0.556607118,-0.315308585,-0.442601188,-0.973734887
f289,-0.845052737,-0.785488101,-0.578448221,-0.203060952,-0.997557846,-0.459033086,-0.825998462,-1,-0.336264616,-0.899779907,-0.992097157,-0.752723812,-0.972423304,-0.966198374,-0.880008988,-0.986847807,-0.708140135,-0.74111225,-0.959544359,-0.952348118,-0.366170508,-0.969624647,-0.996646308,-0.834954767,-0.953838173,-0.996565188,-0.978699468,-0.954815889,-0.889970733,-0.081964292,-0.513527762,-0.457474719
f290,-0.845478163,-0.752643069,-0.59405866,-0.1128638,-1,0.176394828,-0.783677099,-1,-0.3053607,-0.859170985,-1,-0.639215352,-1,-1,-0.82709365,-1,-0.563404706,-0.552553794,-1,-1,-0.382304265,-1,-0.986008121,-0.796877238,-1,-1,-1,-0.950329168,-0.901201066,-0.146336479,-0.509453279,-1
f291,-0.711286066,-0.668037602,-0.599063464,0.176863516,-1,0.243180174,-0.68665723,-1,-0.328484794,-0.467365913,-1,-0.587614913,-0.427528791,-1,-0.707702972,-1,-0.68466254,-0.621601502,-0.187571602,-0.453107462,-0.451605969,-0.347535102,-1,-0.778140765,-0.327746093,-0.783459274,-0.519070505,-0.659653495,-0.620158079,-0.076260356,-0.549340048,-0.481257489
f292,-0.92679161,-0.930437976,-0.897877611,-0.396942513,-0.883492427,-0.108644812,-0.939285145,-0.947513416,-0.689324392,-0.822085939,-0.891538086,-0.891248333,-0.84651061,-0.932677282,-0.966710165,-0.916247531,-0.940645773,-0.93460148,-0.775121364,-0.634953653,-0.789860352,-0.85360233,-0.944357526,-0.943297007,-0.886965765,-0.992106823,-0.619999307,-0.853501384,-0.660663791,-0.531361345,-0.894954588,-0.767174792
f293,-0.791881477,-0.775400118,-0.71148991,-0.167673598,-0.998344328,-0.713976295,-0.765203016,-1,-0.565447223,-0.857476642,-0.969714054,-0.696543018,-0.929063746,-0.956054763,-0.847397909,-0.983556754,-0.766876539,-0.763597856,-0.654088082,-0.923162561,-0.603745313,-0.930570265,-0.977347271,-0.791982334,-0.804385246,-0.988905572,-0.951444574,-0.894876981,-0.959043536,0.005896125,-0.705568326,-0.045303316
f294,-0.785200442,-0.808011213,-0.682195867,-0.374803772,-1,-0.913241334,-0.83062839,-1,-0.589857631,-0.877673978,-0.985487599,-0.731867253,-0.905368908,-0.967181596,-0.857521294,-0.978166841,-0.823662555,-0.77674116,-1,-0.874596372,-0.618554812,-0.907661266,-0.98512608,-0.828140672,-0.678762291,-0.993426929,-0.996249828,-0.833769386,-0.946296838,0.14944624,-0.674376169,0.253247508
f295,-0.800555235,-0.764584001,-0.610438274,0.25343808,-1,-0.991304348,-0.796359533,-1,-0.521766963,-1,-1,-0.835799332,-1,-0.999710145,-0.943277185,-0.99942029,-0.495346327,-0.910394112,-1,-1,-0.555433432,-1,-1,-0.803352049,-1,-1,-1,-1,-1,-0.202976988,-0.60969492,0.220289855
f296,-0.968258307,-0.978949698,-0.919725015,-0.457255162,-1,-0.416324014,-0.979695236,-1,-0.833107048,-0.99696587,-1,-0.973556744,-1,-1,-0.975146236,-1,-0.98487302,-0.973655575,-1,-1,-0.877708512,-1,-1,-0.984940916,-1,-1,-1,-1,-1,-0.769838994,-0.92080617,-1
f297,-0.82609164,-0.618039595,-0.370606784,0.029126513,-0.950837013,-0.122226899,-0.752179999,-1,-0.101364628,-0.811763128,-0.948920008,-0.741607635,-0.99719897,-0.930088388,-0.489528842,-0.928747797,-0.766740023,-0.512882383,-0.947896731,-0.977420547,-0.115428458,-0.976664931,-0.977538683,-0.695654298,-0.984855147,-0.922030576,-0.949698453,-0.962594149,-0.924597045,-0.430849521,-0.121979287,-0.962495987
f298,-0.897294239,-0.819538923,-0.338273059,-0.240778401,-0.998732235,-0.751237085,-0.921931363,-1,-0.189934714,-0.88526725,-0.953190052,-0.881466202,-0.987185429,-0.95643756,-0.776038027,-0.988976528,-0.736947096,-0.693839838,-0.740598,-0.990496832,-0.223388744,-0.977350614,-1,-0.885433713,-0.856251654,-0.993914727,-0.996166278,-0.937807496,-0.928371267,0.676778097,-0.140486967,-0.786379536
f299,-0.506584639,-0.491806804,-0.159776601,-0.118334236,-1,-0.936429574,-0.642514672,-1,0.223638228,-0.743131787,-0.901699057,-0.506385294,-0.995508241,-0.902462065,-0.187742128,-0.982353155,-0.370825035,-0.31578546,-0.706698126,-1,0.161966174,-0.966234598,-1,-0.690500084,-1,-0.986374846,-1,-0.863067204,-0.865962549,-0.001072064,-0.042887748,-0.536821978
f300,-0.773055569,-0.741059569,-0.730162706,0.159359527,-1,0.638769305,-0.707139527,-1,-0.465879984,-0.834465495,-0.998473032,-0.664456951,-0.775997899,-1,-0.766740699,-0.994524294,-0.48757269,-0.512876619,-0.273380167,-0.766488962,-0.506435799,-0.777799721,-0.997619966,-0.848528632,-0.851437233,-0.998441475,-0.605301225,-0.996230426,-0.954647021,-0.592903248,-0.678612424,-0.777701995
f301,-0.782783126,-0.742100212,-0.640578586,0.474993313,-0.978533748,-0.494741492,-0.673740043,-0.990898048,-0.343729784,-0.68208479,-0.916729275,-0.679342232,-0.794406648,-0.870338522,-0.740440798,-0.956870163,-0.43719748,-0.448881745,-0.819513204,-1,-0.367327986,-0.977097678,-0.963229833,-0.849250273,-0.884380942,-0.989074952,-0.788973645,-0.881939592,-0.631016944,-0.406666755,-0.590162149,-0.548678614
f302,-0.26588272,-0.426898698,-0.583772628,-0.031076431,-0.952695532,0.594473384,-0.349194284,-0.964154127,-0.41522269,-0.533892896,-0.909157802,-0.035433476,-0.570224336,-0.880489614,-0.551847443,-0.917071729,-0.508547136,-0.334443021,-0.266191959,-0.478662382,-0.400297979,-0.387979973,-0.965035503,-0.430216085,-0.449284303,-0.857392908,-0.530670765,-0.681073422,-0.567517644,-0.580578068,-0.511982186,-0.379555116
f303,-0.99401692,-0.99588247,-0.969031898,-0.978573822,-0.993312964,-0.055234666,-0.993790283,-1,-0.965005456,-0.935319087,-1,-0.994519796,-0.884527409,-1,-0.979328985,-0.996254975,-0.996844318,-0.995220115,-0.842677497,-0.928956699,-0.966119869,-0.963096964,-1,-0.994562764,-0.860749765,-0.876162531,-0.614731895,-0.998991039,-0.955160597,-0.943390116,-0.965967408,-0.778320045
f304,-0.866281866,-0.900811708,-0.872100447,-0.696662056,-0.954283136,0.370171665,-0.910515023,-0.964154127,-0.864430211,-0.549249132,-0.909157802,-0.880084024,-0.597639293,-0.880489614,-0.902921583,-0.917960855,-0.936178603,-0.888934196,-0.303542724,-0.495529147,-0.844409707,-0.396741318,-0.965035503,-0.922012326,-0.482344435,-0.886793814,-0.622139297,-0.681312965,-0.578163204,-0.829305273,-0.862405456,-0.432185323
f305,-0.784898275,-0.809083821,-0.770981005,0.124643399,-0.989406776,0.301518794,-0.827188115,-1,-0.682713002,-0.726122939,-0.829652611,-0.694844644,-0.788725413,-1,-0.80291392,-0.881417095,-0.835188434,-0.848294286,-0.131115409,-0.599888218,-0.703434381,-0.728092683,-0.91452484,-0.808378788,-0.400975856,-0.939768755,-0.473157627,-0.497414734,-0.556645083,-0.49233976,-0.740133203,-0.410271649
f306,-0.879255883,-0.879118256,-0.857777813,-0.714591122,-1,-0.842239159,-0.889922564,-1,-0.827702619,-0.982112853,-0.959674913,-0.870415632,-0.817091811,-1,-0.803595585,-0.858798991,-0.896305761,-0.867424443,-0.988182685,-0.890532348,-0.833349112,-0.860178977,-0.98103836,-0.877474172,-0.988850556,-1,-1,-0.847786492,-0.97736823,-0.782888291,-0.838740087,-0.979148517
f307,-0.912936086,-0.876896878,-0.739666094,-0.609349996,-1,-0.654782907,-0.888662485,-1,-0.712077206,-0.907423794,-0.998365332,-0.828925658,-0.763095235,-0.880624181,-0.769223721,-0.995489411,-0.936488853,-0.900307009,-0.773728536,-0.965690582,-0.707848523,-0.940608912,-1,-0.861166242,-0.863197168,-0.947864237,-0.854934636,-0.999010407,-0.831565273,-0.699892591,-0.699069615,-0.964564449
f308,-0.453649211,-0.725875227,-0.415784635,-0.297092367,-1,-1,-0.743193275,-1,-0.345581643,-0.765730879,-1,-0.600890767,-0.998566273,-1,-0.85091267,-1,-0.946947662,-0.872023177,-1,-0.776406523,-0.32887955,0.515379182,-1,-0.767300303,-0.523801157,-1,-1,-1,-0.957901839,-0.254627937,-0.342807968,-1
f309,-0.871050529,-0.786596149,-0.675561281,-0.467584547,-1,-1,-0.757088008,-1,-0.672418256,-0.851029313,-0.980683035,-0.53651163,-1,-1,-0.510508727,-1,-0.969490249,-0.756864888,-1,-1,-0.664057701,-1,-0.991543374,-0.850182594,-1,-1,-1,-1,-1,-0.723527138,-0.639438775,-1
f310,-0.759836362,-0.807071918,-0.879032758,-0.731010039,-1,-1,-0.778548429,-1,-0.856733799,-1,-1,-0.676272107,-1,-1,-0.866263242,-1,-0.932831137,-0.887801698,-1,-1,-0.853077353,-1,-1,-0.71272202,-1,-1,-1,-1,-1,-0.878935531,-0.882337087,-1
f311,-0.634043771,-0.722029136,-0.714109236,-0.512326438,-0.926316002,-0.594936895,-0.692792306,-0.984178799,-0.677600569,-0.628552391,-0.971859235,-0.529520822,-0.935282805,-0.999753169,-0.762985087,-0.946148782,-0.918413208,-0.826325756,-0.876330333,-0.966014388,-0.669372277,-0.938627554,-0.999146302,-0.646929304,-0.920385604,-0.991105825,-0.975813695,-0.880640178,-0.924403129,-0.689219192,-0.697253369,-0.485021255
f312,-0.824983284,-0.774387124,-0.693602819,-0.511416207,-0.985543348,0.134836619,-0.893100071,-0.928427628,-0.760498141,-0.337462801,-0.952830841,-0.784359622,-0.822333325,-0.998881554,-0.884346748,-0.948071295,-0.967622661,-0.88285696,-0.688167774,-0.966864708,-0.745175023,-0.958814236,-0.996131698,-0.903787762,-0.783284906,-0.967163351,-0.91094473,-0.773154476,-0.875409755,-0.43927489,-0.692100572,-0.996750064
f313,-0.971065739,-0.934151216,-0.78590784,-0.609140177,-0.995968016,-0.188848697,-0.950267046,-0.916066956,-0.851544621,-0.91764586,-0.984510317,-0.922776482,-0.859529679,-1,-0.779481234,-0.99776503,-0.99589927,-0.93100677,-0.830032328,-0.142493917,-0.835763198,-0.042675812,-1,-0.968238277,-0.786821017,-0.900950058,-0.972805398,-0.841077704,-0.900497763,-0.889035755,-0.790752487,-0.951672241
f314,-0.721187988,-0.367375402,-0.630308821,-0.193660638,-0.99775849,0.548200039,-0.30403221,-1,-0.571360633,-0.667558788,-0.976495522,-0.289516858,-0.988516182,-1,-0.410663131,-0.998496507,-0.813280041,-0.67043553,-0.917468147,-0.971539542,-0.571829805,-0.949488683,-0.96077693,-0.460912179,-0.953870276,-0.986943202,-0.638689815,-0.957249353,-0.694765121,-0.623479667,-0.572890704,-0.714495456
f315,-0.809659961,-0.59983977,-0.672338268,-0.345276425,-0.964987965,0.027972115,-0.59391327,-0.949982807,-0.67646733,-0.824502173,-0.924098909,-0.556442074,-0.585169902,-0.962487105,-0.589033547,-0.954796961,-0.893600896,-0.779468889,-0.507455688,-0.524961706,-0.668352393,-0.590484229,-0.935227735,-0.685330966,-0.511894714,-0.773547157,-0.8801463,-0.856513176,-0.845571915,-0.65766787,-0.64332353,-0.218481353
f316,-0.81771338,-0.713111341,-0.530472194,-0.193445058,-0.999303063,-0.01681012,-0.745976445,-1,-0.486560513,-0.942711782,-0.997003171,-0.824448468,-1,-1,-0.768822761,-1,-0.698981754,-0.696865046,-0.999512144,-0.999512144,-0.481787873,-1,-0.98529463,-0.776825108,-0.999512144,-0.98585218,-0.999303063,-1,-0.915461547,-0.417198228,-0.552503031,-1
f317,-0.542128321,-0.690872485,-0.235418345,-0.138652533,-0.869410515,0.218163182,-0.614431673,-0.765119433,-0.27151874,-0.756673009,-0.797971726,-0.407135703,-0.110512054,-0.862503126,-0.664008298,-0.93476932,-0.529914529,-0.506386741,0.148753799,0.127678131,-0.283785422,-0.091624276,-0.784820724,-0.635930329,0.154776668,-0.779814101,-0.722108791,-0.641141983,-0.729530736,-0.490734698,-0.367656584,0.97659597
f318,-0.888282629,-0.896505491,-0.389673119,0.297334876,-0.932594769,-0.064729664,-0.853879253,-0.913465694,-0.367257111,-0.56509993,-0.863235229,-0.745297945,0.150177116,-0.90507656,-0.907651166,-0.923788691,-0.630154549,-0.682904293,0.397630089,0.297891149,-0.335351623,0.174272604,-0.889357494,-0.899957994,0.339303293,-0.812325538,-0.73916207,-0.624358331,-0.72452558,-0.424809417,-0.351259499,0.78979208
