,or1320,or3584,or754,or68,or3867,or3301,or1037,or2735,or3018,or1886,or4313,or4150,or1603,or471
f158,-0.698015041,-0.790546419,-0.729116412,-0.462899606,-0.992360431,-0.776641817,-0.741308906,-0.740765093,-0.759815603,-0.720886478,-0.986814868,-0.992328142,-0.690447286,-0.758252269
f159,-0.46281051,-0.812358722,-0.434410828,-0.184315287,-0.814538064,-0.788319753,-0.445,-0.77893276,-0.77362797,-0.38107086,-0.934600438,-0.858842357,-0.39419586,-0.441878981
f160,0.152849741,-0.833224563,0.159041451,0.333238342,-0.847335348,-0.791000448,0.170984456,-0.638381685,-0.705068107,0.215025907,-0.207264734,-0.862028521,0.155440415,-0.062512953
f161,-0.395265783,-0.835378405,-0.502171087,-0.375155933,-0.95274646,-0.795148332,-0.445430733,-0.919496071,-0.881709677,-0.207150288,-0.937977365,-0.916186854,-0.323238273,-0.574009699
f162,0.036425045,-1,-0.151382697,-0.074035045,-1,-1,-0.064299529,-1,-1,0.289905026,-1,-1,0.15669871,-0.102229843
f163,-0.993211931,-0.969466249,-0.993211931,-0.959862856,-0.96951423,-0.975628656,-0.993211931,-0.975937794,-0.931660323,-0.993211931,-0.964843084,-0.973772276,-0.993211931,-0.993211931
f164,0.341359141,-0.142500083,0.255007302,0.699274348,-0.210973208,0.183500986,0.341359141,0.532156549,0.383400489,0.341359141,-0.663555883,-0.247783487,0.341359141,0.172628011
f165,0.021731901,-0.144170854,-0.161242232,0.057853024,-0.212523441,0.180851303,-0.082562984,0.530203878,0.381124943,0.26962874,-0.652408223,-0.249384265,0.178847888,-0.239950194
f166,-0.284184466,-0.032968043,-0.360789654,-0.634962341,-0.079706135,-0.051879218,-0.324488134,-0.03103422,-0.025467208,-0.189445621,0.322989239,-0.059747412,-0.215203026,1
f167,-0.557875058,-0.988202857,-0.560990809,-0.581243184,-0.990417694,-0.950640319,-0.559432933,-0.943115796,-0.940753857,-0.579685309,0.982264666,-0.991175365,-0.557875058,-0.511606169
f168,-0.999598877,-1,-1,-0.975932611,-1,-1,-0.999598877,-1,-1,-0.997593261,-1,-1,-0.999598877,-0.999598877
f169,-0.260655116,-1,-0.193372961,-0.285696219,-1,-1,-0.228531681,-1,-1,-0.229796383,-1,-1,-0.260655116,-0.171620083
f170,0.363611714,-1,0.2914859,0.374457701,-1,-1,0.329175705,-1,-1,0.329175705,-1,-1,0.363611714,0.268438178
f171,-0.259801184,-1,-0.290182062,0.091477717,-1,-1,-0.269630292,-1,-1,-0.112029487,-1,-1,-0.112811348,-0.271752485
f172,-0.266022827,-1,-0.369446883,-0.050570676,-1,-1,-0.322212467,-1,-1,-0.032835821,-1,-1,-0.033187006,-0.370324846
f173,0.232960326,-1,0.379450661,-0.180739234,-1,-1,0.349610037,-1,-1,0.23567311,-1,-1,0.233638522,0.450661241
f174,-0.724183293,-1,-0.67989476,0.384345538,-1,-1,-0.697873273,-1,-1,-0.728129796,-1,-1,-0.729006797,-0.651392239
f175,0.682253544,-1,0.527186372,0.966191515,-1,-1,0.574350443,-1,-1,0.682253544,-1,-1,0.682253544,0.423443588
f176,0.712085535,-0.295489073,0.355261844,0.331327063,-0.421501616,-0.211001795,0.506843254,-0.158623903,-0.176942182,0.712085535,-0.603303107,-0.465409031,0.712085535,0.18091004
f177,0.994960847,-0.799696893,0.57776806,0.36349079,-0.96987311,-1,1,-1,-1,0.994960847,-1,-0.970577199,0.994960847,0.534493199
f178,-0.469185907,-0.922665012,-0.159531672,0.915011032,-0.948437424,-0.939648735,-0.448792735,-0.804614592,-0.861280959,-0.469185907,-0.485406402,-0.955367541,-0.469185907,-0.145309813
f179,-0.989663814,-0.884564839,0.401479482,0.612738737,-0.925997772,-0.845341389,-0.989663814,-0.834937698,-0.880793672,0.374423783,-0.800106677,-0.950003296,-0.989663814,0.339645931
f180,-0.268273949,-0.347935387,-0.370645179,-0.12634647,-0.378703395,-0.306178234,-0.245242028,-0.273984794,-0.29424911,-0.173945157,-0.702267167,-0.408333129,-0.144332907,-0.127184573
f181,0.397591988,0.651513846,0.148897581,0.270299297,0.594881754,0.740742897,0.251454838,0.760521938,0.753962726,0.800115332,-0.205686826,0.514561862,0.616009231,-0.023284588
f182,-0.403147381,-0.155343498,-0.411981565,0.246782271,-0.218603216,-0.092177751,-0.419579873,0.054495533,-0.020545836,-1,-0.807190286,-0.257621359,-0.396845032,-0.420261434
f183,-1,0.48632669,-0.961119801,-0.808561632,0.402149725,0.587980437,-1,0.70612092,0.636231853,-0.951098319,-0.394898063,0.329852683,-1,-0.962113105
f184,-0.527053294,0.477945524,-0.684859135,-0.390992526,0.370959962,0.587348134,-0.61749361,0.710039333,0.641841213,-0.527053294,-0.34684096,0.296427456,-0.527053294,-0.709956718
f185,-0.208650213,0.573773208,-0.51817418,0.072851835,0.426612988,0.677935755,-0.400341369,0.860148821,0.778538227,0.189697555,-0.074868189,0.320292253,-0.037751508,-0.600066848
f186,-0.356568169,-1,-0.550151463,-0.105605557,-1,-1,-0.44736813,-1,-1,-0.197152908,-1,-1,-0.37534507,-0.634032909
f187,-0.304276742,-0.03183183,-0.388675551,-0.064549587,-0.126287266,0.002457635,-0.366736619,0.266763249,0.114915102,-0.221473864,-0.82613309,-0.272409486,-0.240742517,-0.44046963
f188,-0.569656886,-1,-0.697082508,-0.207235356,-1,-1,-0.649289379,-1,-1,-0.556071815,-1,-1,-0.584919752,-0.702363016
f189,-0.171978984,0.139073877,-0.421891419,0.166725044,0.027944719,0.166041809,-0.370928196,0.339525127,0.247896623,0.103677758,-0.493145363,-0.06492723,0.100350263,-0.667950963
f190,-0.442901443,0.432599215,-0.664284751,-0.454900903,0.292833438,0.542670866,-0.547121478,0.686458011,0.64974077,1,-0.224363971,0.191149909,-0.088984765,-0.722798975
f191,-0.563203088,-1,-0.623385475,-0.014811376,-1,-1,-0.578446247,-1,-1,-0.467779896,-1,-1,-0.519798298,-0.645237421
f192,-0.125062364,-0.92957662,-0.419425859,0.044513036,-0.936447194,-0.924165743,-0.239461311,-0.75448887,-0.825692876,-0.012820737,-0.019120562,-0.941445729,-0.070426854,-0.517498832
f193,0.005901731,-0.884564839,-0.485062566,-0.000586964,-0.925997772,-0.845341389,-0.159610817,-0.834937698,-0.880793672,0.02306709,-0.800106677,-0.950003296,0.097798622,-0.599181052
f194,0.454114424,0.618124579,-0.659312994,-0.11569735,0.54177253,0.721746635,-0.227823287,0.801635952,0.751349237,1,-0.261163992,0.468245152,0.267781017,-0.520978313
f195,-0.273663682,0.464767607,-0.421862613,0.139932735,0.414539234,0.543907013,-0.49646454,0.561449523,0.555632,0.026035716,-0.295504418,0.343301578,-0.10702387,-0.497919567
f196,-0.048146312,-0.155343498,-0.386908006,-0.012344999,-0.218603216,-0.092177751,-0.121797066,0.054495533,-0.020545836,0.307494958,-0.807190286,-0.257621359,0.111314912,-0.464655561
f197,-0.276072556,0.477945524,-0.605657205,-0.27204781,0.370959962,0.587348134,-0.297789742,0.710039333,0.641841213,-0.164824082,-0.34684096,0.296427456,-0.216095566,-0.638132335
f198,-0.442978798,0.573773208,-0.465339218,0.045664429,0.426612988,0.677935755,-0.481086876,0.860148821,0.778538227,-0.277456049,-0.074868189,0.320292253,-0.419046668,-0.502039618
f199,-0.999992862,-1,-0.999994052,-0.999960146,-1,-1,-0.999992862,-1,-1,-0.999992267,-1,-1,-0.999992862,-0.999994052
f200,-0.460122699,-0.524037514,-0.501533742,0.165644172,-0.570472879,-0.512768953,-0.486196319,-0.440278878,-0.478565885,-0.401840491,-0.788210583,-0.609279461,-0.435582822,-0.518404908
f201,-0.905016911,-0.999996435,-0.906708005,-0.785512965,-0.998992179,-0.999997313,-0.905862458,-0.999977071,-0.999896969,-0.903043968,-0.948480711,-0.999741854,-0.903607666,-0.905580609
f202,-0.872881356,-0.052879442,-0.86440678,-0.169491525,-0.975331396,-1,-0.872881356,-0.981778392,-0.95945459,-0.872881356,-0.996295048,0.268543187,-0.872881356,-0.872881356
f203,-0.855527656,-0.901700481,-0.873402278,0.138244599,-0.966713467,-0.875549371,-0.863074719,-0.892724345,-0.83018545,-0.811493666,-0.99954094,-1,-0.841908896,-0.88128981
f204,-0.493318357,-0.977643257,-0.532202382,-0.14451841,-0.998115569,-0.813979317,-0.516807347,-0.858832509,-0.821157948,-0.412874345,-0.956743441,-1,-0.461669337,-0.553213631
f205,-0.270444256,-1,-0.392515744,-0.253500237,-1,-1,-0.337925251,-1,-1,-0.143325283,-1,-1,-0.210961585,-0.447944897
f206,-0.749263568,-1,-0.772429977,-0.168006391,-1,-1,-0.760846772,-1,-1,-0.730990064,-1,-1,-0.736781667,-0.793299715
f207,-0.840618425,-1,-0.847919417,-0.121251281,-1,-1,-0.843690427,-1,-1,-1,-1,-1,-0.860167529,-0.857066039
f208,-0.583376732,-0.999345068,-0.605561921,-0.385064056,-0.827481245,-0.999956327,-0.598791793,-0.997608657,-0.999990148,-0.531298823,-0.986921979,-1,-0.562545568,-0.612852828
f209,-0.133333333,-1,-0.244571429,-0.275809524,-1,-1,-0.176380952,-1,-0.950073644,-0.019047619,-0.960174679,-0.99968,-0.085714286,-0.304571429
f210,-0.804491533,-0.85788607,-0.804491533,-0.444887908,-0.515252652,-0.826777456,-0.804491533,-0.787582106,-0.895918657,-0.804491533,-0.801522967,-0.884960283,-0.804491533,-0.806463699
f211,-0.889269019,-0.820318039,-0.897071694,-0.597820276,-0.860301796,-0.786013142,-0.893512334,-0.818653539,-0.800995732,-0.891343219,-0.91565767,-0.803307311,-0.890472222,-0.906150155
f212,-0.866268153,-0.976462968,-0.866268153,0.005315335,-0.986309012,-0.947845851,-0.866268153,-0.936074677,-0.916008838,-0.866268153,-0.980165231,-0.975178522,-0.866268153,-0.869470492
f213,-0.607572139,-0.857422349,-0.59186513,-0.451135898,-0.890244559,-0.824469023,-0.607572139,-0.846556015,-0.828325994,-0.607572139,-0.930986446,-0.844148615,-0.607572139,-0.434192117
f214,-0.637996092,-0.987086775,-0.625766458,-0.659861195,-0.967093851,-1,-0.637996092,-0.963687721,-0.923789305,-0.637996092,-0.946305685,-0.9703277,-0.637996092,-0.635233475
f215,-0.488372093,-1,-0.488372093,-1,-0.998471043,-0.99915258,-0.488372093,-0.999755156,-1,-0.488372093,-0.971493237,-0.999572562,-0.488372093,-0.488372093
f216,-1,-0.999603716,-1,-0.272058824,-0.994190396,-1,-1,-0.903897526,-0.936979069,-1,-0.848825205,-0.999686657,-1,-1
f217,-0.086825437,-0.999629566,-0.225629592,0.824778313,-0.994569366,-0.936294073,-0.168457056,-0.78338143,-0.925122514,-1,-0.854600382,-0.999707097,0.032429693,-0.276817836
f218,0.972963168,-0.971425768,0.963275148,0.077098715,-0.984652398,-0.991795785,0.972963168,-0.978933771,-0.973954539,0.972963168,-0.948143166,-0.992408574,0.972963168,0.964854253
f219,-0.673272933,-1,-0.673272933,-1,-1,-1,-0.673272933,-1,-1,-0.673272933,-1,-1,-0.673272933,-0.673272933
f220,-0.910878113,-1,-0.918741809,-0.594364351,-1,-1,-0.918086501,-1,-1,-0.908256881,-0.429094877,-1,-0.911533421,-0.922018349
f221,-0.569302745,-1,-0.650053548,0.209142664,-1,-1,-0.644822727,-0.990055773,-1,-0.508832648,-0.587031482,-0.476716592,-0.550205738,-0.693816583
f222,-0.4720785,-1,-0.536015064,-0.186065595,-1,-1,-0.49889005,-0.991038302,-1,-0.372537164,-0.428592383,-0.528419053,-0.424743675,-0.561928289
f223,-0.095873088,-0.679724382,-0.99968625,-0.999638729,-0.703231535,-0.687010692,-0.183875939,-0.659063649,-0.745052889,0.024756968,-0.853761591,-0.797729533,-0.037942992,-0.995812193
f224,-0.663175832,-0.299787583,-0.663175832,-0.52018176,-0.471308034,-0.137965191,-0.663175832,-0.348494313,-0.181398835,-0.663175832,-0.814855187,-0.209953917,-0.663175832,-0.815754908
f225,-0.961019972,-1,-0.955541131,-0.973841156,-1,-1,-0.954117331,-1,-1,-0.957174314,-1,-1,-0.958116535,0.365152483
f226,-0.942433272,-0.942871204,-0.941545679,-0.955239967,-0.996891086,-0.930101685,-0.940911685,-0.941925374,-0.712549399,-0.934318139,-0.935246284,-1,-0.940911685,-0.949153617
f227,-0.702808778,-0.945688959,-0.758506536,-0.553394082,-1,-1,-0.73174977,-1,-1,-0.663151428,-0.92614831,-1,-0.683765059,-0.786423672
f228,-0.465419613,-0.562464562,-0.986423672,-0.956481271,-0.655406679,-0.48870897,-0.628732895,-0.571452771,-0.488996062,-0.421948474,-0.794721745,-0.536633934,-0.449710087,-0.986316019
f229,-0.991689189,-1,-0.991689189,-0.944256757,-1,-0.996491846,-0.991689189,-1,-1,-0.991689189,-0.948982074,-1,-0.991689189,-0.973581081
f230,-0.9141542,-1,-0.924251583,-0.845143386,-1,-0.989148498,-0.910595937,-1,-1,-0.911187778,-0.981326622,-1,-0.91355875,-0.919733383
f231,-0.821891248,-0.190023774,-0.797636249,0.242438838,-0.259325985,-0.30509489,-0.813345189,-1,-0.262142573,-0.80299606,-0.592937306,-0.307673167,-0.79877243,-0.827498055
f232,-0.467886006,-0.291325367,-0.631362541,-0.281015171,-0.342199808,-0.327354035,-0.635568789,-1,-0.285965671,-0.424169384,0.915379375,-0.388072603,-0.452337067,-1
f233,-0.189336235,-0.739820912,-0.252448313,-0.411316649,-0.759832692,-0.839601949,-0.262241567,-1,-0.829707406,-0.189336235,-0.960286846,-0.776181861,-0.189336235,-0.132752992
f234,-1,-0.592097039,-0.564116165,-0.922965644,-0.634790933,-0.606583012,-0.637930006,-1,-0.582282851,-0.303446855,-0.734975744,-0.662179987,-0.395666567,-0.677333506
f235,-1,0.261949592,-0.334990689,-0.359281697,0.13766632,0.57108084,-0.519908851,-1,0.66805752,-0.432971105,-0.37359989,0.049261458,-0.511888236,-0.475365788
f236,0.376200703,-0.598102364,0.132587535,0.967924266,-0.621781165,-0.386021316,0.611266041,-1,-0.348070907,0.376200703,-0.646102652,-0.432775537,0.376200703,0.047109231
f237,0.229146222,-0.646515368,0.657016683,0.476104024,-0.678969496,-0.618462516,0.286064769,-1,-0.594916102,0.461236506,-0.770882501,-0.814145326,0.314524043,0.252698724
f238,-0.755701585,-0.096940605,-0.829145729,-0.757634325,-0.172777233,0.129072502,-0.740626208,-1,0.198762348,-0.804406649,-0.399338241,-0.233592477,-0.821028218,-0.832624662
f239,-0.953655319,0.380022182,-0.948446809,-0.797021277,0.260888151,0.443913403,-0.918821277,-1,0.533039382,-0.966982979,-0.264821631,0.169923361,-0.966153191,-0.948885106
f240,-0.983795044,0.325351092,-0.972432125,-0.180709654,0.198574725,0.391242071,-0.985900426,0.547069473,0.47133697,-0.996662782,-0.551515541,0.107599097,-0.995465069,-0.972043124
f241,-0.987710617,0.367135135,-0.967321243,-1,0.056803254,0.47217695,-0.965860419,0.691206954,0.574354186,-0.987710617,-0.644957657,0.096281843,-0.987710617,-0.966712802
f242,-0.993734416,0.367135135,-0.989849187,-1,-0.130195814,0.47217695,-0.993046086,0.691206954,0.574354186,-0.993734416,-0.740383748,0.192115101,-0.993734416,-0.989890989
f243,-0.999326344,0.367135135,-0.999719471,-0.966297865,-0.01754507,0.47217695,-0.999582496,0.691206954,0.574354186,-0.99981814,-0.730690731,0.168428087,-0.999326344,-0.999708637
f244,-0.999574468,0.367135135,-0.999574468,-0.999611064,0.233756097,0.47217695,-0.999574468,0.691206954,0.574354186,-0.999574468,-0.461538111,-1,-0.999574468,-0.999581447
f245,-0.99982617,0.367135135,-0.999575277,-0.999585787,0.233756097,0.47217695,-0.999575064,0.691206954,0.574354186,-0.999768894,-0.640264646,-1,-0.999682043,-0.999665149
f246,-0.999588426,0.783009563,-0.999589362,-0.999640766,0.708411993,0.823757116,-0.999588809,1,0.885291349,-1,-0.568088205,0.628754845,-0.999588043,-0.999590553
f247,0.24591679,0.298654303,0.054350347,0.606153171,0.234095594,0.329426209,0.155633854,0.469034985,0.584113587,0.401042235,-0.538055344,0.180728564,0.372625586,-0.014418603
f248,-0.351549133,0.871222296,-0.313123218,-0.027924717,0.860399878,0.86898222,-0.383548117,0.831108817,0.823527382,-0.290925491,-0.270369884,0.749561791,-0.31716708,-0.407033247
f249,0.585019365,-0.999741932,0.455353103,-0.046402368,-0.999766892,-0.999722362,0.505564378,-0.999682408,-0.999703492,0.741385434,-1,-1,0.682889669,0.437227719
f250,0.212332338,-0.999891004,0.212332338,0.187574594,-0.999820083,-0.999713082,0.212332338,-0.999740269,-0.999693321,-1,-0.999938045,-0.999879513,0.212332338,0.212332338
f251,-0.125229776,-0.99973318,-0.125229776,0.220446752,-0.999759211,-0.999712679,-0.125229776,-0.999675345,-0.999692738,-1,-0.999932658,-0.99977815,-0.125229776,-0.125229776
f252,0.700973606,-0.999212187,0.700973606,0.161390735,-0.999289047,-0.999474232,0.700973606,-0.999578493,-0.999622207,0.748422574,-0.998480135,-0.999823167,0.354505893,0.700973606
f253,0.604799261,-0.995150261,0.604799261,0.063784069,-0.995623406,-0.994203915,0.604799261,-0.990320547,-0.990952082,0.68300632,-1,-0.995967633,0.131391461,0.604799261
f254,-0.168219549,-0.997832562,-0.168219549,-0.187531764,-0.998044019,-0.993516293,-0.168219549,-0.992737617,-0.99336298,-0.197809024,-1,-0.998197861,-0.287518588,-0.168219549
f255,-0.207970774,-0.989454581,-0.282896048,-0.501295251,-0.997336796,-0.990119691,-0.243175025,-0.977494435,-0.979340954,-0.133576885,-0.995714873,-0.998194314,-0.166788442,-0.292859515
f256,-0.148280656,-0.970940633,-0.124812309,-0.308406711,-0.98084766,-0.945187824,-0.125145982,-0.960352206,-0.962775162,-0.148873853,-0.977010781,-0.982786632,-0.142237464,-0.158105478
f257,0.319000198,-0.071329287,0.319000198,0.319000198,-0.386035119,0.061734087,0.319000198,-0.212921809,-0.252075191,0.319000198,-0.669932752,-0.381788753,0.318076898,0.319000198
f258,0.415127715,0.288296025,0.414703177,0.415127715,0.243364655,0.451521679,0.414986203,0.62421704,1,0.317483903,-0.479760405,0.273427848,0.415127715,0.415127715
f259,-0.524022641,0.586338806,-0.515598262,-0.079899961,0.431574044,1,-0.51665131,0.493108858,0.503408319,-0.522179808,-0.544918778,0.318978333,-0.522969593,-0.518230881
f260,-0.666722157,-1,-0.640752455,-0.864158482,-0.466538001,-0.373907339,-0.653737306,-0.214025848,-0.072561608,-0.697020143,-0.745074513,-0.429030054,-0.677043449,-0.639753621
f261,-0.404108008,-1,-0.396722825,-0.159473806,0.741139737,0.244744577,-0.330256174,0.274319474,0.602510562,-0.204708054,0.61152441,0.84899233,-0.310870067,-1
f262,0.601640689,0.293333557,0.58490566,0.49778507,0.167154673,0.267454962,0.585397867,0.711582768,0.373415703,0.594093519,-0.764275728,0.07535599,0.588351107,0.578671042
f263,0.601640689,0.001915603,0.58490566,0.49778507,-0.069411514,-0.261091618,0.585397867,-1,-0.200686916,0.594093519,-0.088640526,-0.098505826,0.588351107,0.578671042
f264,-0.561625583,-0.912966938,-0.551232512,-0.811325783,-0.91126308,-0.901782979,-0.549367089,-0.895725454,-0.886126487,-0.590939374,-0.786827853,-0.919958425,-0.574950033,-0.554963358
f265,0.392405063,-0.955685006,0.391787589,0.182154986,-0.959731027,-0.950302165,0.392405063,-0.94874315,-0.954970595,0.388700216,-0.981780677,-0.961880597,0.392405063,0.391478851
f266,0.234256927,-0.996516198,0.233942065,0.062972292,-0.996856081,-0.996248525,0.234571788,-0.98630032,-0.995988152,0.218513854,-0.996075463,-0.997103356,0.234256927,0.233627204
f267,1,0.513132842,1,0.6718,0.405637893,0.131615994,1,-0.952086067,-0.955747546,1,0.375418712,0.360417789,1,0.9672
f268,1,-0.496863293,1,0.6718,-0.516854715,-0.510966402,1,-0.552710759,-0.529189212,1,-0.821479657,-0.525838325,1,0.9672
f269,-0.963449945,-0.974004777,-0.963449945,-0.883953116,-0.975920832,-0.971267582,-0.963449945,-0.971596793,-0.969603078,-0.963440793,-0.998338106,-0.975339086,-0.963440793,-0.963453971
f270,-0.072043639,-0.979877877,-0.160023378,0.855000974,-0.980488435,-0.974494791,-0.113267095,-0.128237632,-0.973570981,0.015156828,-0.997119263,-0.981618638,-0.023728814,-0.171720242
f271,-1,-0.510193206,-1,-1,-0.557979234,-0.472559622,-1,-0.66856162,-0.435952338,-1,-0.760418998,-0.592744913,-1,-1
f272,-0.756578915,0.123610192,-0.756638635,-0.227239488,0.078959016,0.092171965,-0.756578915,-0.993561892,-0.999550984,-0.75655454,-0.601343956,0.058885172,-0.75655454,-0.756638635
f273,-0.019133987,0.891918254,-0.112168162,0.960702431,0.860425519,0.933813612,-0.062747618,0.942063999,0.914819745,0.072969433,0.214546267,0.869660442,0.031925672,-0.124523298
f274,-1,0.580460563,-1,-1,0.489509706,0.40347699,-1,0.389883937,0.478781989,-1,0.427061001,0.498589773,-1,-1
f275,0.187360542,-0.93601476,0.144650286,0.284458534,-0.942681802,-0.93667146,0.157459505,-0.930741487,-0.9328179,0.193417914,-0.954046392,-0.945234048,0.189868371,0.12040794
f276,-0.367908738,-0.368572622,-0.39024407,0.992241628,-0.430175293,-0.320057829,-0.385833253,-0.218896255,-0.272866075,-0.355520037,-1,-0.474992966,-0.36004061,-1
f277,-0.608446342,-0.788946632,-0.548646239,1,-0.809537204,-0.772730657,-0.54538032,-0.739990652,-0.758150342,-0.600337854,-0.969782575,-0.824517424,-0.602552672,-1
f278,-0.520748805,0.114869808,-0.523078777,0.28678745,0.137492922,0.093210012,-0.519623991,0.092203003,0.088704695,-0.696942916,-1,-1,-0.517695738,-1
f279,-0.480442053,-1,-0.268140177,0.966118947,-1,-1,-0.262905337,-1,-1,-0.118074742,-0.904641747,-1,-0.45819398,-1
f280,-0.25781759,-0.630030027,-0.148099891,1,-0.666124665,-0.60160393,-0.141938111,-0.542330692,-0.573953034,-0.25781759,-1,-0.692384521,-0.258577633,-1
f281,-0.813765924,-0.372554383,-0.834387316,-0.209146733,-0.405581044,-0.355558553,-0.833195857,-0.360139894,-0.344210134,-0.814499129,-0.485379254,-0.440282763,-0.815232334,-1
f282,-0.629460113,1,-0.789395649,-0.331974214,0.952034682,0.954461448,-0.787864625,0.872144018,0.9177745,-0.616631749,-0.361162907,0.952671454,-0.620983078,-1
f283,-0.813237433,-0.670865753,-0.836592856,-0.047357362,-0.67497733,-0.664091831,-0.835380637,-0.665449513,-0.667872189,-0.806044933,-0.245034659,-0.642927819,-0.807903669,-1
f284,-0.411480664,-0.826689187,-0.534446156,0.563917912,-0.84359756,-0.813373109,-0.531116014,-0.785606822,-0.787114845,-0.394996462,-0.737551158,-0.855898877,-0.403654831,-1
f285,-1,-0.794010919,-1,-0.82142933,-0.811349365,-0.780158674,-0.990187958,-0.746694618,-0.76701214,-1,-0.892319398,-0.825170605,-1,-1
f286,-1,0.063275039,-1,-0.611229783,0.003156385,0.089673354,-0.99679585,0.173323893,0.130517566,-1,-0.358077201,-0.020489095,-1,-1
f287,-0.612773481,-0.999997743,-0.607278112,-0.505272628,-0.999997963,-0.999997569,-0.579785085,-0.999997673,-0.999997834,-0.506787164,-0.999996962,-0.999997967,-0.66205903,-0.69340488
f288,-0.960294614,0.036323809,-1,-0.278882123,-0.024599746,0.039601682,-1,0.146050757,0.145494683,-1,-0.20138211,0.117711535,-1,-1
f289,-0.877655362,0.914622916,-0.465433066,-0.703867526,0.870702633,1,-0.860989371,0.186219707,0.202974576,-1,0.000573172,0.836097284,-0.992622305,-0.89946183
f290,-1,0.751926636,-1,-1,0.845425741,0.740804636,-1,0.220474279,0.300658262,-1,-0.071754314,1,-1,-1
f291,-0.363188777,0.645617407,-0.353509331,-0.428461951,0.822993656,0.232932568,-0.271956826,0.412323238,0.511552258,-0.13584507,-0.002848817,0.928217589,-0.467198125,-0.521023947
f292,-0.84213965,0.748956425,-0.890879015,-0.839592625,0.376114054,0.000269995,-0.856738295,-0.287006072,-0.527837214,-0.880094268,-0.573879813,1,-0.837912671,-0.864157026
f293,-1,1,-1,-0.878076909,0.968930149,0.801099291,-1,-0.006597904,0.184725811,-0.823108609,-0.01955467,0.691154392,-1,-0.997740579
f294,-1,1,-1,-0.999313349,0.91745691,0.872389825,-1,0.365632449,0.529147101,-0.7090618,0.153123128,0.876009668,-1,-0.996283867
f295,-1,0.223031354,-1,-0.748405797,0.213387716,0.271041,-1,0.228799839,0.214356203,-1,-0.126644318,0.239056242,-1,-1
f296,-1,-0.329976059,-1,-1,-0.011215172,-0.413472228,-1,-0.587581224,-0.535034903,-1,-0.721704186,1,-1,-1
f297,-0.992091142,0.498311865,-0.993739915,-0.889853542,0.79684112,0.225771862,-0.997891238,-0.256726935,0.204651078,-0.997472909,-0.086605045,0.660522875,-0.995292808,-0.995286531
f298,-0.99989655,0.705089203,-0.981841546,-0.848039579,0.484164986,0.496338098,-0.983478484,0.458829214,0.382125872,-0.999901621,1,0.462469031,-0.99831945,-0.951097733
f299,-0.999768372,0.714055108,-0.96801268,-0.733655493,0.688088482,0.680046117,-1,0.705286029,0.734407017,-0.999779727,0.243615162,0.59478877,-0.996237187,-0.954591904
f300,-1,-0.246703873,-1,-0.927004832,-0.340034503,-0.303296988,-0.998482194,-0.469982099,-0.393514387,-0.999008489,-0.578063618,-0.218484234,-0.996732289,-0.999618258
f301,-0.981072491,0.018961143,-0.902997334,-0.622120918,0.118134994,-0.168539176,-1,-0.362967118,-0.285552697,-0.947691984,-0.38048235,0.273700782,-0.946553663,-0.956974399
f302,-0.633712168,-0.001017858,-0.617012519,-0.559159577,-0.09847953,-0.129972893,-0.58122935,-0.242131873,-0.233448671,-0.518451551,-0.582580765,-0.169385635,-0.687550938,-0.681334101
f303,-0.939478379,-1,-0.812456748,-0.952957501,-1,-1,-0.875462787,-0.958977474,-0.960810695,-0.923238265,-0.943872633,-0.964411181,-0.960990016,-0.867124023
f304,-0.648080925,-0.674478177,-0.661538152,-0.570328185,-0.703134464,-0.659118025,-0.610796386,-0.608861552,-0.630686703,-0.536675959,-0.824408243,-1,-0.696812504,-0.712880887
f305,-0.863205864,0.559778673,-0.913001309,-0.9483299,0.627568609,0.504010704,-0.845158748,0.348523083,0.47659024,-0.86682064,-0.480859226,0.670387119,-0.482954925,-0.834713791
f306,-1,-0.638230481,-0.976266348,-0.852263546,-0.618358955,-0.606428549,-1,-0.498915364,-0.645613315,-0.999789315,-0.80032286,-0.652153954,-1,-1
f307,-0.999708744,-0.98651138,-0.999996195,-0.787608626,-0.98651138,-0.98651138,-0.999981964,0.115460683,0.087037816,-1,-0.749265352,-0.226459814,-0.914984748,-0.999140324
f308,-1,-0.208969362,-1,-1,-0.286143082,-0.115466343,-1,0.575596072,0.442325265,-1,-0.258187013,-0.342289132,-1,-1
f309,-1,0.852617695,-1,-0.790170957,0.671874505,1,-1,0.762794594,0.687273904,-1,-0.724847268,0.540378758,-1,-1
f310,-1,-0.360237329,-1,-1,-0.4226532,-0.393609801,-1,-0.453947324,-0.416703996,-1,-0.879513601,-0.468062499,-1,-1
f311,-0.922318895,0.074198613,-0.460383159,-0.74166184,-0.030601252,0.082568951,-0.399767488,0.124480012,0.12303844,-1,-0.690703139,-0.106846097,-0.99274447,-0.603488092
f312,-0.934237694,-0.437619696,-0.901347172,-0.79707049,-0.50136151,-0.336643105,-0.922683147,-0.120710481,-0.248388675,-1,-0.462938318,-0.539093472,-0.97532391,-0.941984838
f313,-0.215119158,-0.139088439,-0.970822427,-0.999306134,-0.222652462,0.014766931,-1,0.253027944,0.109191692,0.264334561,-0.899963642,-0.282610945,-0.977347028,-0.987793256
f314,-0.999994396,0.307096264,-0.999859345,-0.779365888,0.553765113,0.299771965,-0.999996077,0.387161057,0.293116625,-0.999511911,-0.561271629,0.432078868,-0.998244337,-0.99997086
