,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f898,-0.590678947,-0.706284822,-0.678969993,-0.382332442,-0.776230355,-0.874730654,-0.596840387,-0.379017553,-0.397660235,-0.499523995,-0.794896814,-0.753690727,0.555572896,-0.603564255,0.504871895,-0.710581262,-0.164391,-0.638237378,0.528042658,-0.40723858,-0.652946533,-0.12680066
f899,-0.873353767,-0.683741202,-0.794486215,-1,-0.71858474,-0.900176996,-0.648349484,-1,-1,-0.41596852,-0.824821314,-0.787033762,0.874785855,-0.808390613,0.709154866,-0.885365295,-0.068803159,-0.612245722,0.752033893,-0.787597486,-0.704774185,-1
f900,-0.966823459,-0.124619423,-0.839569154,-1,-0.130708661,-0.116010499,-0.709657756,-1,-1,-0.159685039,-0.090813648,-0.097112861,-0.179002625,-0.925176562,-1,-0.940892657,-0.044619423,-0.053228346,-0.189711286,-0.82712172,-0.771708102,-0.436893086
f901,-0.996806551,-0.685100057,-0.972541714,-1,-0.589068039,-0.5524757,-0.988992186,-1,-1,-0.50485992,-0.738090337,-0.667352773,-0.118376215,-0.986275342,-0.120594626,-0.996362903,0.227810177,-0.84434534,-0.118376215,-1,-1,-1
f902,-0.781299397,-0.790237981,-0.864750499,-0.679506641,-0.878793934,-0.86064555,-0.870394788,-0.66329557,-0.683839102,-0.903977037,-0.887625689,-0.840499252,-0.788066565,-0.905370777,-0.803154984,-0.907742758,0.212926637,-0.941151038,-0.797141019,-0.879150451,-0.944024349,-0.445561587
f903,-0.546464168,-0.740819751,-0.593882898,-0.638894925,-0.747191171,-0.733481241,-0.618477332,-0.636359955,-0.63821396,-0.457860455,-0.826663253,-0.776203885,0.126660409,-0.669765114,0.046448787,-0.624753333,0.825013511,-0.805614814,0.07841966,-0.50845712,-0.780883438,-0.13364711
f904,-0.683693197,-0.798954273,-0.794888305,-0.536120542,-0.831111956,-0.716741135,-0.835483288,-0.507510941,-0.540215807,-0.631967551,-0.848730868,-0.752346548,0.728009633,-0.862615333,0.613993726,-0.87612888,0.872421333,-0.909623855,0.669119371,-0.829713932,-0.916646563,-0.175994712
f905,-0.530450188,-0.818874262,-0.571655895,-0.637821338,-0.766185035,-0.858211382,-0.612846813,-0.636233084,-0.637332979,-0.9039368,-0.930582728,-0.900883609,-0.893563749,-0.656673392,-0.893392461,-0.637353709,-0.856940319,-0.868578382,-0.897894334,-0.501468857,-0.765419851,-0.136957005
f906,-0.649263701,-0.866325489,-0.76570618,-0.61982502,-0.782009872,-0.842331194,-0.804333468,-0.594112465,-0.63098432,-0.502300152,-0.907182908,-0.887019869,0.297509683,-0.776123982,0.386691276,-0.76163539,-0.434484109,-0.907658319,0.321951424,-0.682921827,-0.773381626,0.015207356
f907,-0.809058426,-0.83591634,-0.944656319,-0.933981142,-0.736713409,-0.794066797,-0.862546375,-0.911125083,-0.935342414,-0.445934984,-0.906725238,-0.862908675,-0.147861542,-0.822104162,-0.013190273,-0.953508333,-0.132303487,-0.783739935,-0.07413696,-0.945248919,-0.713677598,-0.848677281
