,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f1,-0.469947559,-1,-0.783783784,0.109915288,-1,-1,-0.697458653,0.173860428,0.106010488,-1,-1,-1,-1,-0.757160145,-1,-0.293263413,-1,-1,-1,-0.269060105,-0.628075837,-0.230334812
f2,-0.477346278,-1,-0.784789644,0.111100324,-1,-1,-0.701456311,0.175566343,0.106391586,-1,-1,-1,-1,-0.758899676,-1,-0.300970874,-1,-1,-1,-0.275889968,-0.636731392,-0.238673139
f3,-0.251300888,-1,-0.415365779,-0.519130701,-1,-1,-0.384450566,-0.504744414,-0.468319559,-1,-1,-1,-1,-0.374655647,-1,-0.338230793,-1,-1,-1,-0.272727273,-0.176002449,-0.193143557
f4,-0.331839216,-1,-0.794624668,0.733865868,-1,-1,-0.61346312,0.543531145,0.753273122,-1,-1,-1,-1,-0.743910761,-1,-1,-1,-1,-1,-0.476575118,-0.629834619,-0.023026799
f5,-0.324310475,-1,-0.684517336,0.157479073,-1,-1,-0.419074026,0.501264696,-0.003389929,-1,-1,-1,-1,-0.523667877,-1,-1,-1,-1,-1,-0.454551702,-0.664047264,-1
f6,-0.987355295,-1,-0.992608199,-0.939629798,-1,-1,-0.994434533,-0.943062563,-0.935732449,-1,-1,-1,-1,-0.990318055,-1,-1,-1,-1,-1,-0.97726116,-0.993579956,-0.990876073
f7,-0.992164934,-1,-0.99590086,-0.223653943,-1,-1,-0.994984174,-0.521836138,-0.283947628,-1,-1,-1,-1,-0.993738866,-1,-1,-1,-1,-1,-0.935866614,-0.988307937,-0.966048048
f8,-0.171029268,-1,-0.704383212,0.612446655,-1,-1,-0.331334386,0.394772674,0.691589099,-1,-1,-1,-1,-0.664667496,-1,-1,-1,-1,-1,-0.418887059,-0.407593669,-0.290394166
f9,-0.558580075,-1,-0.882180308,0.368028919,-1,-1,-0.827267655,0.239238971,0.357818047,-1,-1,-1,-1,-0.838564159,-1,-1,-1,-1,-1,-0.625346877,-0.813754372,-0.135382731
f10,-0.999325691,-1,-0.998988537,-0.978759272,-1,-1,-0.999325691,-0.985165206,-0.980445044,-1,-1,-1,-1,-0.998988537,-1,-1,-1,-1,-1,-0.994268375,-0.998651382,-0.998314228
f11,0.051207279,-1,0.219643065,-0.211944477,-1,-1,0.46576461,-0.234340371,-0.182549866,-1,-1,-1,-1,0.10952992,-1,-1,-1,-1,-1,-0.059139158,0.356118045,-0.384579494
f12,0.0984,-1,-0.0462,0.3118,-1,-1,-0.257,0.3348,0.2876,-1,-1,-1,-1,0.048,-1,-1,-1,-1,-1,0.19,-0.1634,0.4714
f13,-0.992164934,-1,-0.99590086,-0.223653943,-1,-1,-0.994984174,-0.521836138,-0.283947628,-1,-1,-1,-1,-0.993738866,-1,-1,-1,-1,-1,-0.935866614,-0.988307937,-0.966048048
f14,-0.987101449,-1,-1,-0.994295125,-1,-1,-0.994953887,-0.992819499,-0.994729908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.980500659,-0.998814229,-0.998458498
f15,-0.574916064,-1,-0.68481014,0.550027956,-1,-1,-0.285468258,0.32994073,0.629145168,-1,-1,-1,-1,-0.678662495,-1,-1,-1,-1,-1,-0.670449922,-0.34951041,-0.422473022
f16,-0.729016491,-1,-0.895919331,-0.084447457,-1,-1,-0.845213891,-0.150452837,-0.170311954,-1,-1,-1,-1,-0.837820631,-1,-1,-1,-1,-1,-0.723368862,-0.779393342,-0.267553858
f17,0.519769277,-0.98372012,-0.938817545,-0.208586254,-0.994912677,-0.968787305,-0.858243917,-0.290327122,-0.164083524,-0.982130092,-0.973865428,-0.986001581,-0.985745293,-0.829108333,-0.986087917,-1,-0.98332932,-0.972369786,-0.984913449,-0.038770992,-0.934346153,-0.380588389
f18,-0.708047426,-0.919025121,-0.936950323,0.878177998,-0.893362335,-0.843584694,-0.876157887,0.535134324,0.854419931,-0.858184377,-0.789092646,-0.868174362,-0.965561552,-0.82039922,-0.948151429,-1,-0.920968258,-0.904164753,-0.965506731,-0.673042173,-0.869428186,-0.112117665
f19,-0.581903109,-0.941274942,-0.93238051,-0.353039292,-0.96781821,-0.933291795,-0.914220299,-0.284598042,-0.371690697,-0.96100148,-0.912071028,-0.952541105,-0.989956537,-0.962008122,-0.981441336,-1,-0.977507149,-0.965182323,-0.985732116,-0.775447516,-0.969275931,-0.472269072
f20,-0.663230504,-0.698971426,-0.88473366,0.8982143,-0.88357993,-0.754666483,-0.88068664,0.617517154,0.886521785,-0.891353229,-0.591908193,-0.815701554,-0.966262048,-0.858004736,-0.923587869,-1,-0.943350421,-0.881872209,-0.958132852,-0.622637049,-0.854850767,-0.317960851
f21,-0.611800626,-0.98205207,-0.86973382,0.256085595,-0.988765397,-0.998539671,-0.812515658,0.333475992,0.26565762,-0.984121863,-0.976273644,-0.993451546,-0.988744082,-0.934457203,-0.992516203,-1,-0.966192469,-0.976586507,-0.997483481,-0.729201461,-0.910876827,-0.228444676
f22,-0.612318076,-0.944651842,-0.896568731,0.046549499,-0.980355563,-0.989549583,-0.830849783,0.060151122,0.028574265,-0.970559209,-0.991293545,-0.969820328,-0.994082565,-0.742332221,-0.987814856,-1,-0.98936813,-0.965364197,-0.997174115,-0.834134645,-0.728780228,-0.434721516
f23,-0.450641822,-0.991122014,-0.889210602,0.195920683,-0.998041184,-0.99895068,-0.756793063,0.127594649,0.225229177,-0.997027827,-0.995356743,-0.997900592,-0.999600884,-0.845709694,-0.999158781,-1,-0.997887851,-0.994057021,-0.999828791,-0.571802437,-0.788029026,0.154182755
f24,-0.732870357,-0.93467958,-0.919197458,0.412089113,-0.974454498,-0.992857362,-0.891339591,0.256177955,0.357207189,-0.989395595,-0.966844396,-0.984721898,-0.998247522,-0.886391109,-0.996144116,-1,-0.990405983,0.795695178,-0.999679825,-0.78924317,-0.900622525,-0.065205988
f25,-0.733787539,-0.941825144,-0.935383024,-0.292152677,-0.981528282,-0.890177465,-0.915534986,-0.315327777,-0.308093576,-0.936342101,-0.906874677,-0.950439779,-0.94929384,-0.948122357,-0.950694702,-1,-0.939626295,-0.901632138,-0.946823487,-0.724470089,-0.938486981,-0.519873834
f26,-0.518461377,-0.993463457,-0.886509584,0.423242514,-0.992250144,-0.988928583,-0.787429624,0.405294065,0.471740483,-0.989640147,-0.985158314,-0.990324591,-0.997504076,-0.845087602,-0.996189468,-1,-0.994319635,-0.99276148,-0.997550088,-0.370382636,-0.766670167,0.053546475
f27,-0.835638879,-0.994292337,-0.968387332,-0.420808154,-0.997087758,-0.994186661,-0.959031671,-0.457247907,-0.388423735,-0.996426472,-0.992095469,-0.995763792,-0.999106865,-0.962701129,-0.998341952,-1,-0.997909411,-0.996565581,-0.998760568,-0.935595195,-0.925161995,-0.779694212
f28,-0.32740962,-0.702508341,-0.799734267,0.15805233,-0.88468873,-0.799681036,-0.697397376,0.069901783,0.184163678,-0.904486194,-0.6473397,-0.84045648,-0.971748342,-0.749036499,-0.936117142,-1,-0.946482581,0.734711668,-0.966636287,-0.322334633,-0.626267661,0.089138798
f29,-0.263323568,-0.998336646,-0.789448121,0.296781194,-0.998861493,-0.995642028,-0.694018266,0.174754924,0.29416213,-1,-0.99369689,-0.997745254,-0.999411333,-0.708748966,-0.99913444,-1,-0.999808847,-1,-0.99666153,-0.310909387,-0.63867977,0.194090505
f30,-0.749360157,-0.994997401,-0.921663224,-0.334226749,-0.990998313,-0.993862709,-0.927980198,-0.326228052,-0.319953122,-0.993878549,-0.996597535,-0.995967059,-0.995001211,-0.931396198,-0.995387046,-1,-0.994809872,-0.99053509,-0.997010685,-0.746574803,-0.917732196,-0.579453545
f31,-0.494355096,-0.997123453,-0.840776274,0.200664809,-0.997028134,-0.999696051,-0.752464172,-0.157937898,0.192675159,-0.999880516,-1,-0.997963442,-0.993828171,-0.755143312,-0.998873566,-1,-0.998245068,-0.998716413,-0.999497371,-0.578479299,-0.65723328,0.005565287
f32,-0.341968912,-0.985105674,-0.803108808,0.738911917,-0.941109799,-0.976500937,-0.601036269,0.533678756,0.710310881,-0.984069815,-0.975375933,-0.970247412,-0.984148884,-0.769430052,-0.989999657,-1,-0.957365491,-0.97330046,-0.989994914,-0.484455959,-0.619170984,-0.038860104
f33,-0.511884377,-0.990554537,-0.86894401,0.078823374,-0.977306368,-0.986578887,-0.727442641,0.129534235,-0.029611316,-0.98991136,-0.988629517,-0.98839594,-0.990622748,-0.83642817,-0.992403581,-1,-0.985321109,-0.983920192,-0.99324304,-0.690807256,-0.799230541,-0.273558985
f34,0.401784013,-1,0.253612771,0.171744465,-1,-1,0.285759649,0.509944863,0.071598972,-1,-1,-1,-1,0.336716607,-1,-1,-1,-1,-1,0.132103577,-0.002326723,0.426032736
f35,-0.616670134,-0.999975825,-0.923999723,-1,-0.998389787,-0.998756771,-0.784897025,-0.706862677,-0.761690128,-1,-1,-0.999682549,-0.999431952,-0.827566281,-0.99905938,-0.830016411,-0.999794992,-1,-0.997085215,-0.603864734,-0.824422717,-0.656334512
f36,-0.615544349,-1,-0.794126372,-1,-1,-0.995440521,-0.716404628,-0.407297538,-1,-1,-0.974075402,-0.977735644,-1,-0.789380006,-1,-0.43636903,-0.994067819,-1,-1,-0.518243845,-0.904479383,-0.214476416
f37,-0.861593293,-0.995604543,-0.715236684,-1,-0.995037463,-0.992171199,-0.859217305,-0.599173616,-0.535451076,-0.997680919,-0.996131207,-0.997125203,-0.999674656,-0.859035835,-0.998956449,-0.583838848,-0.994406006,-1,-0.998131549,-0.815307562,-0.787970141,-0.775830317
f38,-0.360167277,-0.97611428,-0.686356508,-1,-0.998614126,-0.995869083,-0.502352326,0.997909043,-1,-0.999842749,-0.997208889,-0.998623596,-0.99759059,-0.584945112,-0.99778534,-0.081024569,-1,-0.998416196,-0.995157265,-1,-0.849451124,-1
f39,-0.848116896,-0.995585617,-0.624408314,-1,-0.998287391,-0.994850332,-0.789462852,-0.379707759,-1,-0.996572308,-0.99592248,-0.99679926,-0.999076751,-0.781024902,-0.998726528,-0.507923441,-0.998575701,-0.995408169,-0.998379816,-1,-0.922000412,-1
f40,-0.31884058,-0.787911877,-0.666666667,-1,-0.899286289,-0.735721159,-0.496376812,0.97826087,-1,-0.841152803,-0.795677764,-0.839559141,-0.958416928,-0.670289855,-0.939369132,0.09057971,-0.907055195,-0.803734039,-0.91880621,-1,-0.844202899,-1
f41,-0.247877136,-0.933093867,-0.681255897,0.301937834,-0.949095922,-0.955789914,-0.525684034,0.60567093,0.220884265,-0.955891028,-0.679978471,-0.954080272,-0.984752353,-0.597913827,-0.969239088,-0.288290177,-0.969447884,-0.957476613,-0.980960323,-0.14964881,-0.436471328,0.238547018
f42,-0.949473057,-0.998539454,-0.9484534,-0.967090341,-0.999214943,-0.998683529,-0.949389903,-0.96056098,-0.969137754,-0.998945845,-0.998323078,-0.998836019,-0.999835062,-0.946273935,-0.999612642,-0.961701477,-0.999280012,-0.999319788,-0.99984308,-0.954671319,-0.958313622,-0.951282218
f43,-0.81751192,-0.99644349,-0.818908636,-0.816982132,-0.995749354,-0.995908709,-0.825169773,-0.816982132,-0.816500506,-0.99699004,-0.995166726,-0.996683446,-0.998398286,-0.817945384,-0.998318419,-0.814092376,-0.996969582,-0.996367621,-0.998583566,-0.814574002,-0.816982132,-0.817463758
f44,-0.946093483,-0.983459409,-0.979529171,-0.988399864,-0.994748021,-0.968774661,-0.975093825,-0.987717503,-0.9860116,-0.981900441,-0.973522103,-0.985908769,-0.98558295,-0.95769362,-0.98598125,-0.949164108,-0.982834221,-0.972031516,-0.984880565,-0.920163767,-0.950187649,-0.963834869
f45,-0.311197772,-0.993558937,-0.024623955,-0.290473538,-0.992363347,-0.989090304,0.019275766,-0.321225627,-0.226963788,-0.989791474,-0.985375107,-0.99046592,-0.997540534,-0.020612813,-0.996245129,-0.37091922,-0.994402609,-0.992867213,-0.997585874,-0.177270195,0.25281337,-0.391420613
f46,0.616618774,-0.989553248,0.332136015,0.624042146,-0.994669715,-0.989359828,0.281848659,0.656609195,0.554118774,-0.993459362,-0.985532315,-0.992246456,-0.998365293,0.312260536,-0.99696527,0.682950192,-0.99617359,-0.993713973,-0.997731465,0.454741379,0.013409962,0.715038314
f47,-0.43399012,-0.883858035,-0.625347794,0.007324967,-0.954982007,-0.921794654,-0.43841917,-0.077621941,0.035829879,-0.962711018,-0.862319971,-0.937713555,-0.988970437,-0.525978082,-0.97505987,-0.752086764,-0.97910658,-0.322761443,-0.986974669,-0.671796037,-0.102606326,-0.340866504
f48,-0.228818133,-0.993237119,-0.547220723,-0.088864904,-0.991949102,-0.983716521,-0.45475805,-0.149307429,-0.094441446,-0.993521129,-0.98410072,-0.986627278,-0.997804565,-0.405828386,-0.996389693,-0.649217485,-0.976282117,-0.975654392,-0.998216163,-0.537326857,0.224500809,-0.194819212
f49,-0.815530688,-0.994581238,-0.833163784,-0.269582909,-0.986437962,-0.99240243,-0.628348593,-0.374703289,-0.234316718,-0.993169166,-0.992903917,-0.993009743,-0.994519388,-0.721939641,-0.995551789,-0.948457104,-0.990357257,-0.990124771,-0.995968288,-0.950491692,-0.535435741,-0.539504917
f50,-0.813063558,-0.979281752,-0.764240158,0.19991203,-0.973950216,-0.980444928,-0.399164284,0.086870464,0.301077634,-0.991378883,-0.976293208,-0.980642567,-0.983929285,-0.797228942,-0.986799958,-0.930943479,-0.982737514,-0.981760171,-0.982751516,-0.89223664,-0.819661315,-0.714537057
f51,-0.339844634,-0.989405093,-0.601051371,0.935483523,-0.987416011,-0.978737814,-0.247520186,0.945166397,0.994072375,-0.986120305,-0.97557005,-0.981950325,-0.996220236,-0.410115609,-0.994051821,-0.441377269,-0.978537742,-0.976688356,-0.996544812,-0.392234235,0.323584682,0.222562997
f52,-0.203182678,-0.980636449,-0.700909061,0.279424621,-0.976857204,-0.977724814,-0.611439477,0.27757224,0.278524733,-0.983612163,-0.97368506,-0.981942899,-0.99127941,-0.373601098,-0.990844568,-0.466420164,-0.983500776,-0.980223377,-0.992288173,-0.313875979,0.551420154,-0.0840531
f53,-0.639952898,-0.674443023,-0.773529629,0.250130867,-0.787917699,-0.754069049,-0.424658807,0.173963635,0.331852527,-0.872029906,-0.618138536,-0.784161314,-0.901856888,-0.331481085,-0.888376512,-0.586028862,-0.876914188,0.40943529,-0.892345498,-0.888137097,-0.006991942,-0.157211113
f54,-0.76245772,-0.428360371,-0.634381165,0.913967758,-0.378397273,-0.192639945,-0.163725819,0.973353096,1,-0.214266816,0.168238816,-0.291389564,-0.929457429,-0.848055219,-0.786049894,-0.676941565,-0.42482725,-0.880023527,-0.696424342,-0.616996397,-0.596639138,0.049745779
f55,-0.403335602,-1,-0.576242342,0.620660313,-1,-1,-0.361924211,0.620660313,0.620660313,-1,-1,-1,-1,-0.468969821,-1,-0.701213978,-1,-1,-1,-0.658554572,0.028590878,-0.21102791
f56,-0.237372071,-1,-0.740900449,0.844856186,-1,-1,-0.653601493,1,0.672145901,-1,-1,-1,-1,-0.574572994,-1,-0.573216896,-1,-1,-1,-0.301413929,0.147023253,-0.13679805
f57,-0.305953707,-1,-0.530902601,0.624466665,-1,-1,-0.370671482,0.939773249,0.614251585,-1,-1,-1,-1,-0.446689071,-1,-0.576310699,-1,-1,-1,-0.402364184,0.121729766,-0.139286067
f58,-0.268911388,-1,-0.634445714,0.469807487,-1,-1,-0.327581912,0.747061883,0.414122054,-1,-1,-1,-1,-0.540806782,-1,-0.534234883,-1,-0.942899565,-1,-0.432157047,-0.414871834,-0.225419998
f59,-0.39684347,-0.954107481,-0.529737509,0.8495104,-0.992823965,-0.923762128,-0.322910762,0.868008917,0.762957759,-0.979943407,-0.962471132,-0.960053482,-0.95702131,-0.424429405,-0.94414125,0.061395945,-1,-0.992773717,-0.944340966,-0.139002838,-0.144741144,-0.131094535
f60,-0.473299956,-0.954107481,-0.923321594,1,-0.992823965,-0.923762128,-0.882561851,0.957932034,0.760019591,-0.979943407,-0.962471132,-0.960053482,-0.95702131,-0.356971571,-0.94414125,-0.468883701,-1,-0.991272152,-0.944340966,0.171982841,-0.774502884,-0.113128147
f61,-0.327059016,-0.605972797,-0.575799694,-0.138082045,-0.659898982,-0.299763966,-0.57152573,-0.083472154,-0.20212387,-0.745333153,-0.915205793,-0.739512195,-0.731086229,-0.582068314,-0.691150236,-0.257457449,-0.953863301,-0.419848985,-0.692254498,-0.286720915,-0.523247053,-0.225748574
f62,0.547653234,-0.818715364,-0.554219268,0.637704019,-0.964783303,-1,-0.222162687,0.820685381,0.496505634,-0.956677556,-0.949513561,-1,-0.959972212,-0.440125317,-0.905812933,0.046877719,-1,-0.812896586,-0.906149688,0.400360164,0.013535741,0.464590639
f63,0.390516496,-0.637418914,-0.499867739,0.198105727,-0.589025652,-0.242636746,-0.119015773,0.422145751,0.12336916,-0.754498169,-0.602370691,-0.687172414,-0.715499443,-0.462177584,-0.674325646,-0.154179579,-0.366777822,-0.518930956,-0.675490057,0.442569434,0.009301131,0.378982939
f64,-0.262603823,-1,-0.770285987,0.266348363,-1,-0.988966803,-0.463938691,0.493012833,0.163178126,-1,-1,-1,-1,-0.655734989,-1,-0.098284057,-1,-0.947438757,-1,-0.018840095,-0.534910027,0.205431514
f65,-0.555517654,-0.563078889,-0.888630194,0.059965392,-0.596554451,-0.286612678,-0.88153941,0.582828945,0.190206786,-0.746981439,-0.600806453,-0.707354839,-0.712274939,-0.620213368,-0.644559709,-0.829172217,-0.407630866,-0.425820822,-0.645830545,-0.777141691,-0.841098981,-0.357309195
f66,-0.109281961,-0.940574962,-0.642206655,0.00262697,-0.986740355,-1,-0.643432574,0.130122592,0.061821366,-0.990515051,-0.990820037,-1,-0.985287864,-0.252189142,-0.967416979,-0.673730298,-1,-0.943417762,-0.967533475,-0.599824869,-0.278458844,0.829422067
f67,-0.904004314,-0.672182328,-0.955912094,-0.190103816,-0.58973153,-0.314787184,-0.925441553,-0.467439666,-0.366725091,-0.69988255,-0.659005956,-0.694215523,-0.722525641,-0.919778886,-0.663981436,-1,-0.140591307,-0.403056855,-0.665182831,-0.961170284,-0.905352568,-0.535391668
f68,-0.622257193,-1,-0.850153914,0.197654679,-0.996030927,-0.988325803,-0.835660131,0.10351224,0.17862506,-1,-0.973627163,-1,-1,-0.87965469,-1,-1,-1,-0.941604338,-1,-0.201381448,-0.952447363,-0.536522692
f69,-0.475228477,-1,-0.816918858,0.525315102,-1,-1,-0.664619344,0.854060734,0.267144496,-1,-1,-1,-1,-0.707661042,-1,-0.707014296,-1,-1,-1,-0.563406889,-0.795783516,-0.525745997
f70,-0.57381767,-1,-0.82390337,0.443607711,-1,-1,-0.709862891,0.807480739,0.146305573,-1,-1,-1,-1,-0.69813882,-1,-0.726321348,-1,-1,-1,-0.464266161,-0.774575056,-0.313820548
f71,-0.489023512,-1,-0.854031223,-0.031600501,-1,-1,-0.656593362,0.405080924,-0.062029973,-1,-1,-1,-1,-0.720850976,-1,-0.74832071,-1,-1,-1,-0.36420354,-0.646274823,-0.12088777
f72,-0.414132956,-1,-0.805098244,0.314579648,-1,-1,-0.657042029,0.538890432,0.192411215,-1,-1,-1,-1,-0.717280484,-1,-0.68674577,-1,-0.796197972,-1,-0.487339687,-0.71881972,-0.077525058
f73,0.081467543,-0.603044007,-0.770720931,0.446344085,-0.631797323,-0.431078476,-0.469957824,0.657703506,0.298115265,-0.73156301,-0.69424673,-0.746927968,-0.739250367,-0.556893104,-0.653011872,-1,-0.288739878,-0.441737282,-0.654252485,-0.171823234,-0.673218711,0.250433211
f74,-0.48668904,-0.603044007,-0.869151161,0.262682322,-0.631797323,-0.431078476,-0.765357133,0.278967159,-0.100910504,-0.73156301,-0.69424673,-0.746927968,-0.739250367,-0.825359909,-0.653011872,-1,-0.288739878,-0.377175302,-0.654252485,-0.65950086,-0.7973121,-0.30998564
f75,-0.417300242,-1,-0.80631887,0.253547746,0.630054558,-1,-0.707885721,0.304673922,0.179079689,-1,-1,-1,0.921362664,-0.768210551,0.937591648,-1,-1,-1,0.930663945,-0.517928795,-0.554209062,-0.036145139
f76,-0.168539326,-1,-0.775280899,0.483146067,-1,-0.1805093,-0.707865169,0.483146067,0.483146067,-0.08601607,-1,-1,-1,-0.685393258,-1,-0.168539326,-0.903410598,-0.855407857,-1,0.775280899,-0.93258427,0.505617978
f77,-0.296912114,-1,-0.762470309,0.790973872,-1,-1,-0.610451306,0.942992874,0.73871734,-1,-1,-1,-1,-0.617577197,-1,-0.16152019,-1,-1,-1,-0.102137767,-0.496437055,0.268408551
f78,-0.647218453,-1,-0.899592944,-0.335142469,-1,-1,-0.803708729,-0.329715061,-0.341474446,-1,-1,-1,-1,-0.825418363,-1,-0.656264134,-1,-1,-1,-0.436454093,-0.622795115,-0.113523293
f79,-0.650943396,-0.813536324,-0.773584906,-0.075471698,-0.963406077,-0.638005036,-0.877358491,-0.113207547,-0.188679245,-0.263175607,-1,-0.829578313,0.006310169,-0.830188679,-0.136254421,-0.339622642,-0.832672881,-0.977309013,-0.118845715,0.179245283,-0.58490566,-0.226415094
f80,-0.17801892,-0.817655551,-0.838221143,0.230810227,-0.961746518,-0.626947062,-0.726124739,0.252661031,0.200846793,-0.258200936,-1,-0.833343152,-0.013011524,-1,-0.152402104,-1,-0.834123445,-0.974448209,-0.135388467,-1,-0.942915513,0.767724171
f81,-0.359512541,-0.733573361,-0.727896289,0.208130416,-0.560069355,-0.301797785,-0.570981092,0.308114411,0.186341084,0.32290502,-1,-0.757818182,0.157479823,-0.701968585,0.251298961,-0.191668381,0.015167612,-0.88013768,0.246825096,-0.260420239,-0.297299769,0.01010586
f82,-0.264340117,-0.563034346,-0.673789284,0.116390126,-0.915114225,-0.847074634,-0.461282513,0.209267877,0.097686347,-0.112398253,-1,-0.71962227,0.082746454,-0.667090413,1,-0.083271614,-1,-1,0.992849231,-0.262615655,-0.371566276,0.327282978
f83,-0.287458721,-0.75138831,-0.352891483,0.280546809,-0.59552285,-0.192078674,-0.620152062,0.247984026,0.20543737,-0.118723444,-1,-0.672095808,-0.15524766,-0.581752554,-0.581744737,0.045849013,0.177241692,-0.851966447,-0.583240157,-0.0312572,-0.240457722,0.217418017
f84,-0.231933611,-1,-0.806393948,-0.032191064,-1,-0.348827885,-0.69513119,-0.026402631,-0.041609563,0.245011965,-1,-1,-0.84662275,-1,-0.523092346,-1,-0.388188857,-0.586382437,-0.524797481,-1,-0.905429115,1
f85,-0.495934959,-0.69053856,-0.772357724,-0.1,-0.64431031,-0.164523048,-0.674796748,-0.073170732,-0.079186992,0.18736378,-1,-0.661704036,-0.013020841,-0.739837398,-0.086351231,-0.333333333,0.098059025,-0.795260021,-0.089617872,-0.447154472,-0.398373984,-0.138211382
f86,-0.281045752,-0.970197661,-0.673202614,0.021568627,-0.98618064,-0.989691657,-0.424836601,0.019607843,0.026013072,-0.953767944,-1,-0.985681711,-0.911687365,-0.647058824,-0.918675389,-0.032679739,-0.99866353,-1,-0.918966155,-0.189542484,-0.189542484,0.437908497
f87,-0.459304941,-0.789750089,-0.895522297,-0.176013957,-0.637964946,-0.271898632,-0.873279677,-0.176013957,-0.176013957,-0.067866712,-1,-0.730586285,-0.104075073,-0.880042431,-0.173981192,-0.344775811,0.559793475,-0.845570858,-0.176934526,-0.315317561,-0.366829986,-0.560828308
f88,-0.573590488,-1,-0.703461406,-0.274244693,-0.996075305,-0.3557585,-0.813342388,-0.356647851,-0.35271292,-0.349679614,-1,-0.997381162,-0.852115854,-0.794843967,-0.834599323,-0.13865024,-0.334714958,-0.810440451,-0.835190696,-0.413016194,-0.478091104,0.09286195
f89,-0.421778092,-1,-0.901712841,-0.07828486,0.875670605,-1,-0.861757509,-0.07828486,-0.07828486,-1,-1,-1,0.527264579,-1,0.540164691,0.276753212,-1,-1,0.534658019,-0.103421849,-0.94797979,1
f90,-0.292536069,-1,-0.656192144,-0.689859061,-1,0.090859194,-0.616178801,-0.689859061,-0.691818864,-0.034475671,-1,-1,-1,-1,-1,-1,-0.856073562,-0.745371791,-1,-1,-0.894095572,0.018513885
f91,-0.767727093,-1,-0.828035658,-0.883622794,-1,-1,-0.886819455,-0.883622794,-0.895794183,-1,-1,-1,-1,-0.817148284,-1,-0.646387706,-1,-1,-1,-1,-0.688037932,-0.628692378
f92,-0.5,-1,-0.772727273,-0.393939394,-1,-1,-0.924242424,-0.393939394,-0.393939394,-1,-1,-1,-1,-0.545454545,-1,-1,-1,-1,-1,-0.537878788,-0.583333333,-0.598484848
f93,-0.409171523,-0.682034568,-0.866480872,0.901570813,-0.705210724,-0.398134394,-0.418039017,0.969343805,0.850561692,-0.034808677,-1,-0.71180989,0.13683247,-0.788700279,0.048777619,-0.411451735,0.366515002,-0.876283989,0.04502784,-0.772738789,-0.710919686,-0.078287307
f94,-0.69556412,-0.682034568,-0.886750877,-0.501177202,-0.639854671,-0.237748129,-0.742560769,-0.501177202,-0.512844074,0.107149921,-1,-0.71180989,0.190048631,-0.806893147,0.102443273,-1,0.387676142,-0.838846651,0.098501619,-1,-0.901471617,-0.768792945
f95,-0.173184358,-0.918137052,-0.530726257,0.094972067,-0.895846358,-0.76824142,-0.675977654,0.094972067,0.094972067,-0.697664595,-0.891429173,-0.900513709,-0.735757933,-0.575418994,-0.829149903,0.251396648,-0.735785056,-0.877158476,-0.782336305,-0.061452514,-0.74301676,-1
f96,-0.693430657,-0.789816718,-0.503649635,-1,-1,-0.701906198,0.255474453,-1,-1,-0.709585046,-0.421531054,-0.111855346,-0.65120527,-0.854014599,-0.651454392,-1,-0.669353491,-0.795359359,-0.649649434,-1,-0.854014599,-1
f97,-0.45470852,-0.827720069,-0.748878924,0.078026906,-0.882397781,-0.750370372,-0.793721973,-0.348878924,0.065470852,-0.761956957,-0.525849112,-0.271389773,-0.326815946,-0.788340807,-0.323748896,-0.207174888,-0.72898055,-0.83226318,-0.323665837,-0.269955157,-0.772197309,-0.517488789
f98,0.025899039,-0.996367052,-0.598186507,0.64670516,-1,-0.99969499,-0.482201418,0.624519999,0.573422653,-1,-0.999391717,-1,-0.995089501,-0.654076856,-0.994407016,0.276116265,-0.996624695,-0.999796694,-0.99506573,0.160915996,-0.502060151,0.274490568
f99,-0.225332769,-0.859851187,-0.75275328,-0.146124677,-1,-0.988233597,-0.663991846,0.173126258,-0.174249164,-1,-0.976534153,-0.864526003,-0.430738395,-0.677794957,-0.378845748,-0.079907749,-0.869790307,-0.99204169,-0.427982633,-0.286056093,-0.638303202,0.013569892
f100,-0.555555556,-0.900574958,-0.759259259,0.568783069,-0.811517007,-1,-0.772486772,0.568783069,0.568783069,-0.765892124,-0.854554219,-1,-0.958433144,-0.666666667,-0.885824758,-0.526455026,-0.914336393,-1,-0.910043125,-0.412698413,-0.476190476,-0.714285714
f101,-0.397292475,-0.467428325,-0.803485378,0.979741642,-0.539331936,-0.376326754,-0.695312583,0.979741642,0.979741642,-0.328740743,-0.485996306,-0.265779432,-0.418244489,-0.651440844,-0.593586662,-0.370644613,-0.22347882,-0.830632635,-0.557808351,-0.455075809,-0.39402293,0.173382056
f102,-0.230263183,-0.968078994,-0.590797562,1,-0.883335619,-0.737581027,-0.539488898,1,1,-0.747815666,-0.933077351,-0.931565082,-0.552062361,-0.646273196,-0.597815837,-0.259012215,-0.365015282,-0.630366954,-0.598852104,-0.199423035,-0.092806637,0.785217945
f103,-0.922512215,-0.70318917,-0.96322385,-0.79485891,-0.663167113,-0.536618597,-0.963837418,-0.79485891,-0.79485891,-0.466442629,-0.67922668,-0.606927163,-0.429409544,-0.938884886,-0.525165013,-0.943697333,-0.207912365,-0.685035202,-0.514378244,-0.914572864,-0.93510116,-0.791236954
